term,log_odds,corpus 1,corpus 2,count 1,count 2
public,-5.383312147035108,democrat_2024,democrat_2020,53,146
racial,-3.3314158917733576,democrat_2024,democrat_2020,7,33
rural,-3.2795196293699815,democrat_2024,democrat_2020,9,36
educational,-2.7028301457653767,democrat_2024,democrat_2020,3,19
universal,-2.7028301457653767,democrat_2024,democrat_2020,3,19
early,-2.642133571591099,democrat_2024,democrat_2020,2,17
equitable,-2.642133571591099,democrat_2024,democrat_2020,2,17
effective,-2.5874607438390154,democrat_2024,democrat_2020,7,25
foreign,-2.554673759097289,democrat_2024,democrat_2020,10,30
pandemic,-2.507353530312837,democrat_2024,democrat_2020,25,54
federal,-2.4974617120394553,democrat_2024,democrat_2020,97,157
st,-2.4170207769427448,democrat_2024,democrat_2020,4,18
competitive,-2.2426775242936965,democrat_2024,democrat_2020,2,13
great,-2.234583262303796,democrat_2024,democrat_2020,13,32
anti,-2.1551238966198736,democrat_2024,democrat_2020,3,14
social,-2.13327530242046,democrat_2024,democrat_2020,7,21
systemic,-2.040077673305072,democrat_2024,democrat_2020,1,10
english,-2.040077673305072,democrat_2024,democrat_2020,1,10
urban,-2.0241093316913026,democrat_2024,democrat_2020,3,13
discriminatory,-2.0241093316913026,democrat_2024,democrat_2020,3,13
committed,-1.9609359705472158,democrat_2024,democrat_2020,9,23
primary,-1.927625703839888,democrat_2024,democrat_2020,1,9
necessary,-1.8836645039662092,democrat_2024,democrat_2020,3,12
recent,-1.8022369263152862,democrat_2024,democrat_2020,1,8
profound,-1.8022369263152862,democrat_2024,democrat_2020,1,8
religious,-1.764219587857579,democrat_2024,democrat_2020,4,13
essential,-1.7570293707896572,democrat_2024,democrat_2020,10,23
sustainable,-1.742460574680357,democrat_2024,democrat_2020,7,18
robust,-1.7324019124059704,democrat_2024,democrat_2020,3,11
scientific,-1.7324019124059704,democrat_2024,democrat_2020,3,11
international,-1.725597090094523,democrat_2024,democrat_2020,14,29
aggressive,-1.703938524847776,democrat_2024,democrat_2020,2,9
asian,-1.703938524847776,democrat_2024,democrat_2020,2,9
democratic,-1.6832480559344973,democrat_2024,democrat_2020,11,24
american,-1.682744414508238,democrat_2024,democrat_2020,99,145
sufficient,-1.6606531279889587,democrat_2024,democrat_2020,1,7
deep,-1.6606531279889587,democrat_2024,democrat_2020,1,7
high,-1.6438327554861332,democrat_2024,democrat_2020,52,82
domestic,-1.6138863961371077,democrat_2024,democrat_2020,12,25
human,-1.6138863961371077,democrat_2024,democrat_2020,12,25
civil,-1.6078065511357782,democrat_2024,democrat_2020,14,28
healthy,-1.5686177384932158,democrat_2024,democrat_2020,3,10
meaningful,-1.5347694448095786,democrat_2024,democrat_2020,2,8
professional,-1.5347694448095786,democrat_2024,democrat_2020,2,8
cultural,-1.5347694448095786,democrat_2024,democrat_2020,2,8
bad,-1.5123416048753644,democrat_2024,democrat_2020,8,18
technical,-1.4982430599861831,democrat_2024,democrat_2020,1,6
agricultural,-1.4982430599861831,democrat_2024,democrat_2020,1,6
dental,-1.4982430599861831,democrat_2024,democrat_2020,1,6
typical,-1.4982430599861831,democrat_2024,democrat_2020,1,6
indigenous,-1.4932598276603126,democrat_2024,democrat_2020,5,13
responsible,-1.4404317409035445,democrat_2024,democrat_2020,4,11
able,-1.4230458231709817,democrat_2024,democrat_2020,13,25
net,-1.3901925920684115,democrat_2024,democrat_2020,3,9
old,-1.3901925920684115,democrat_2024,democrat_2020,3,9
financial,-1.3627920052009088,democrat_2024,democrat_2020,14,26
common,-1.345703407677285,democrat_2024,democrat_2020,2,7
mandatory,-1.345703407677285,democrat_2024,democrat_2020,2,7
immigrant,-1.345703407677285,democrat_2024,democrat_2020,2,7
annual,-1.345703407677285,democrat_2024,democrat_2020,2,7
immediate,-1.3254605331575646,democrat_2024,democrat_2020,5,12
green,-1.3081253334180165,democrat_2024,democrat_2020,1,5
disproportionate,-1.3081253334180165,democrat_2024,democrat_2020,1,5
underrepresented,-1.3081253334180165,democrat_2024,democrat_2020,1,5
partisan,-1.3081253334180165,democrat_2024,democrat_2020,1,5
multiple,-1.3081253334180165,democrat_2024,democrat_2020,1,5
ethnic,-1.3081253334180165,democrat_2024,democrat_2020,1,5
individual,-1.3081253334180165,democrat_2024,democrat_2020,1,5
reckless,-1.2600487304432364,democrat_2024,democrat_2020,4,10
white,-1.2111612974850707,democrat_2024,democrat_2020,8,16
broad,-1.1944528032262987,democrat_2024,democrat_2020,3,8
appropriate,-1.1673151543807674,democrat_2024,democrat_2020,0,11
diverse,-1.1463992952874313,democrat_2024,democrat_2020,5,11
criminal,-1.1340237212995596,democrat_2024,democrat_2020,9,17
transparent,-1.1317721053669794,democrat_2024,democrat_2020,2,6
enormous,-1.1317721053669794,democrat_2024,democrat_2020,2,6
ongoing,-1.1317721053669794,democrat_2024,democrat_2020,2,6
structural,-1.1221131041211443,democrat_2024,democrat_2020,0,9
economic,-1.0978353386423538,democrat_2024,democrat_2020,46,67
core,-1.0794790365863778,democrat_2024,democrat_2020,1,4
post,-1.0794790365863778,democrat_2024,democrat_2020,1,4
cruel,-1.0794790365863778,democrat_2024,democrat_2020,1,4
crucial,-1.0794790365863778,democrat_2024,democrat_2020,1,4
proactive,-1.0794790365863778,democrat_2024,democrat_2020,1,4
civic,-1.0794790365863778,democrat_2024,democrat_2020,1,4
unjust,-1.0794790365863778,democrat_2024,democrat_2020,1,4
united,-1.0794790365863778,democrat_2024,democrat_2020,1,4
current,-1.0794790365863778,democrat_2024,democrat_2020,1,4
sick,-1.0654960731421945,democrat_2024,democrat_2020,0,7
pre,-1.0648386630732143,democrat_2024,democrat_2020,4,9
likely,-1.0648386630732143,democrat_2024,democrat_2020,4,9
advanced,-1.0470131611822417,democrat_2024,democrat_2020,6,12
metropolitan,-1.0307632353000356,democrat_2024,democrat_2020,0,6
unacceptable,-1.0307632353000356,democrat_2024,democrat_2020,0,6
political,-1.0005010775256018,democrat_2024,democrat_2020,16,26
native,-1.0005010775256018,democrat_2024,democrat_2020,16,26
forever,-0.9896785127505131,democrat_2024,democrat_2020,0,5
peaceful,-0.9896785127505131,democrat_2024,democrat_2020,0,5
intellectual,-0.9896785127505131,democrat_2024,democrat_2020,0,5
institutional,-0.9896785127505131,democrat_2024,democrat_2020,0,5
unpaid,-0.9779744341261042,democrat_2024,democrat_2020,3,7
modern,-0.9779744341261042,democrat_2024,democrat_2020,3,7
local,-0.9774723891757393,democrat_2024,democrat_2020,25,38
diplomatic,-0.9760430667751409,democrat_2024,democrat_2020,9,16
possible,-0.9546105445012896,democrat_2024,democrat_2020,5,10
preventive,-0.9393923740905304,democrat_2024,democrat_2020,0,4
automatic,-0.9393923740905304,democrat_2024,democrat_2020,0,4
protective,-0.9393923740905304,democrat_2024,democrat_2020,0,4
indian,-0.9393923740905304,democrat_2024,democrat_2020,0,4
neutral,-0.9393923740905304,democrat_2024,democrat_2020,0,4
excessive,-0.9393923740905304,democrat_2024,democrat_2020,0,4
digital,-0.9393923740905304,democrat_2024,democrat_2020,0,4
