term,log_odds,corpus 1,corpus 2,count 1,count 2
illegal,-5.792113950388844,democrat_2024,republican_2024,7,10
great,-4.462657003269628,democrat_2024,republican_2024,13,8
unfair,-3.9516705843036584,democrat_2024,republican_2024,9,6
young,-3.2750559957971297,democrat_2024,republican_2024,10,5
bright,-3.126087597182429,democrat_2024,republican_2024,1,3
th,-3.126087597182429,democrat_2024,republican_2024,1,3
educational,-3.0505193355200824,democrat_2024,republican_2024,3,3
everyday,-2.8838886858642407,democrat_2024,republican_2024,4,3
reliable,-2.8838886858642407,democrat_2024,republican_2024,4,3
open,-2.8838886858642407,democrat_2024,republican_2024,4,3
clear,-2.654971617529719,democrat_2024,republican_2024,10,4
very,-2.613780340821947,democrat_2024,republican_2024,1,2
wasteful,-2.613780340821947,democrat_2024,republican_2024,1,2
political,-2.580646840769181,democrat_2024,republican_2024,16,5
prosperous,-2.5411692390877767,democrat_2024,republican_2024,6,3
common,-2.4980818103240496,democrat_2024,republican_2024,2,2
future,-2.38024055859665,democrat_2024,republican_2024,7,3
necessary,-2.2918402397010107,democrat_2024,republican_2024,3,2
robust,-2.2918402397010107,democrat_2024,republican_2024,3,2
bad,-2.2285187003458993,democrat_2024,republican_2024,8,3
vital,-2.2285187003458993,democrat_2024,republican_2024,8,3
accountable,-2.1747579508947728,democrat_2024,republican_2024,14,4
harmful,-2.0836696248597386,democrat_2024,republican_2024,4,2
essential,-1.951835829939774,democrat_2024,republican_2024,10,3
safe,-1.9516113385994283,democrat_2024,republican_2024,30,6
late,-1.7857938377051834,democrat_2024,republican_2024,1,1
tidal,-1.7857938377051834,democrat_2024,republican_2024,1,1
united,-1.7857938377051834,democrat_2024,republican_2024,1,1
unnecessary,-1.7857938377051834,democrat_2024,republican_2024,1,1
recent,-1.7857938377051834,democrat_2024,republican_2024,1,1
various,-1.7857938377051834,democrat_2024,republican_2024,1,1
chinese,-1.7857938377051834,democrat_2024,republican_2024,1,1
burdensome,-1.7857938377051834,democrat_2024,republican_2024,1,1
jewish,-1.7857938377051834,democrat_2024,republican_2024,1,1
powerful,-1.7127809624335257,democrat_2024,republican_2024,6,2
violent,-1.7127809624335257,democrat_2024,republican_2024,6,2
advanced,-1.7127809624335257,democrat_2024,republican_2024,6,2
fentanyl,-1.7127809624335257,democrat_2024,republican_2024,6,2
dangerous,-1.7067176521375318,democrat_2024,republican_2024,12,3
strong,-1.6334984861895372,democrat_2024,republican_2024,27,5
american,-1.5258634642118207,democrat_2024,republican_2024,99,13
foundational,-1.4960036410633388,democrat_2024,republican_2024,2,1
unlawful,-1.4960036410633388,democrat_2024,republican_2024,2,1
early,-1.4960036410633388,democrat_2024,republican_2024,2,1
aggressive,-1.4960036410633388,democrat_2024,republican_2024,2,1
homeless,-1.4960036410633388,democrat_2024,republican_2024,2,1
successful,-1.4960036410633388,democrat_2024,republican_2024,2,1
confident,-1.4960036410633388,democrat_2024,republican_2024,2,1
meaningful,-1.4960036410633388,democrat_2024,republican_2024,2,1
corrupt,-1.4598384730776737,democrat_2024,republican_2024,0,3
excessive,-1.3656758590019764,democrat_2024,republican_2024,0,2
geopolitical,-1.3656758590019764,democrat_2024,republican_2024,0,2
regulatory,-1.3656758590019764,democrat_2024,republican_2024,0,2
migrant,-1.3656758590019764,democrat_2024,republican_2024,0,2
healthy,-1.2353351193814168,democrat_2024,republican_2024,3,1
modern,-1.2353351193814168,democrat_2024,republican_2024,3,1
active,-1.2353351193814168,democrat_2024,republican_2024,3,1
