term,log_odds,corpus 1,corpus 2,count 1,count 2
federal,-1.867480960966601,harris_2024,harris_2020,6,45
sure,-1.463391169566905,harris_2024,harris_2020,2,20
key,-1.0700321776239854,harris_2024,harris_2020,0,20
black,-1.058381101159793,harris_2024,harris_2020,0,19
criminal,-1.0513604392189677,harris_2024,harris_2020,2,15
legal,-1.020676007955602,harris_2024,harris_2020,1,10
equal,-1.0047759599469221,harris_2024,harris_2020,0,15
immigrant,-0.9891552384060284,harris_2024,harris_2020,0,14
racial,-0.9723872908864857,harris_2024,harris_2020,0,13
white,-0.9723872908864857,harris_2024,harris_2020,0,13
public,-0.9597807168199465,harris_2024,harris_2020,6,31
full,-0.9542883423719138,harris_2024,harris_2020,0,12
executive,-0.9542883423719138,harris_2024,harris_2020,0,12
environmental,-0.9131041002442032,harris_2024,harris_2020,0,10
civil,-0.9131041002442032,harris_2024,harris_2020,0,10
right,-0.9131041002442032,harris_2024,harris_2020,0,10
average,-0.8627687797244955,harris_2024,harris_2020,0,8
likely,-0.8627687797244955,harris_2024,harris_2020,0,8
well,-0.8627687797244955,harris_2024,harris_2020,0,8
vulnerable,-0.8627687797244955,harris_2024,harris_2020,0,8
native,-0.8627687797244955,harris_2024,harris_2020,0,8
pharmaceutical,-0.8326813506853643,harris_2024,harris_2020,0,7
cofa,-0.8326813506853643,harris_2024,harris_2020,0,7
english,-0.8326813506853643,harris_2024,harris_2020,0,7
tribal,-0.8326813506853643,harris_2024,harris_2020,0,7
entire,-0.8326813506853643,harris_2024,harris_2020,0,7
bold,-0.8326813506853643,harris_2024,harris_2020,0,7
diverse,-0.7979784522186312,harris_2024,harris_2020,0,6
real,-0.7979784522186312,harris_2024,harris_2020,0,6
asian,-0.7979784522186312,harris_2024,harris_2020,0,6
such,-0.793692278952978,harris_2024,harris_2020,1,8
untested,-0.7569771577797711,harris_2024,harris_2020,0,5
special,-0.7569771577797711,harris_2024,harris_2020,0,5
simple,-0.7569771577797711,harris_2024,harris_2020,0,5
discriminatory,-0.7569771577797711,harris_2024,harris_2020,0,5
critical,-0.7569771577797711,harris_2024,harris_2020,0,5
great,-0.7569771577797711,harris_2024,harris_2020,0,5
able,-0.7569771577797711,harris_2024,harris_2020,0,5
young,-0.7569771577797711,harris_2024,harris_2020,0,5
military,-0.7389940367157468,harris_2024,harris_2020,2,12
comprehensive,-0.7389940367157468,harris_2024,harris_2020,2,12
old,-0.7068671239757454,harris_2024,harris_2020,0,4
humanitarian,-0.7068671239757454,harris_2024,harris_2020,0,4
essential,-0.7068671239757454,harris_2024,harris_2020,0,4
nationwide,-0.7068671239757454,harris_2024,harris_2020,0,4
third,-0.7068671239757454,harris_2024,harris_2020,0,4
equitable,-0.7068671239757454,harris_2024,harris_2020,0,4
serious,-0.7068671239757454,harris_2024,harris_2020,0,4
lgbtq,-0.7068671239757454,harris_2024,harris_2020,0,4
social,-0.7068671239757454,harris_2024,harris_2020,0,4
healthy,-0.7068671239757454,harris_2024,harris_2020,0,4
vital,-0.7068671239757454,harris_2024,harris_2020,0,4
next,-0.7068671239757454,harris_2024,harris_2020,0,4
similar,-0.7068671239757454,harris_2024,harris_2020,0,4
