term,log_odds,corpus 1,corpus 2,count 1,count 2
foreign,-2.1123255826748886,harris_2024,trump_2024,2,1
same,-1.8871129443825734,harris_2024,trump_2024,3,1
violent,-1.5161094437978124,harris_2024,trump_2024,5,1
burdensome,-1.3661421845920385,harris_2024,trump_2024,0,1
racial,-1.3661421845920385,harris_2024,trump_2024,0,1
hamas,-1.3661421845920385,harris_2024,trump_2024,0,1
core,-1.3661421845920385,harris_2024,trump_2024,0,1
large,-1.3649482545253777,harris_2024,trump_2024,6,1
new,-1.1107565261703114,harris_2024,trump_2024,8,1
other,-1.1107565261703114,harris_2024,trump_2024,8,1
labor,-0.022736947265999813,harris_2024,trump_2024,1,0
korean,-0.022736947265999813,harris_2024,trump_2024,1,0
former,-0.022736947265999813,harris_2024,trump_2024,1,0
responsible,-0.022736947265999813,harris_2024,trump_2024,1,0
intergenerational,-0.022736947265999813,harris_2024,trump_2024,1,0
free,-0.022736947265999813,harris_2024,trump_2024,1,0
independent,-0.022736947265999813,harris_2024,trump_2024,1,0
rich,-0.022736947265999813,harris_2024,trump_2024,1,0
generous,-0.022736947265999813,harris_2024,trump_2024,1,0
legal,-0.022736947265999813,harris_2024,trump_2024,1,0
hispanic,-0.022736947265999813,harris_2024,trump_2024,1,0
secure,-0.022736947265999813,harris_2024,trump_2024,1,0
hardworking,-0.022736947265999813,harris_2024,trump_2024,1,0
hard,-0.022736947265999813,harris_2024,trump_2024,1,0
giant,-0.022736947265999813,harris_2024,trump_2024,1,0
serving,-0.022736947265999813,harris_2024,trump_2024,1,0
second,-0.022736947265999813,harris_2024,trump_2024,1,0
lethal,-0.022736947265999813,harris_2024,trump_2024,1,0
palestinian,-0.022736947265999813,harris_2024,trump_2024,1,0
permanent,-0.022736947265999813,harris_2024,trump_2024,1,0
political,-0.022736947265999813,harris_2024,trump_2024,1,0
north,-0.022736947265999813,harris_2024,trump_2024,1,0
non,-0.022736947265999813,harris_2024,trump_2024,1,0
newborn,-0.022736947265999813,harris_2024,trump_2024,1,0
necessary,-0.022736947265999813,harris_2024,trump_2024,1,0
powerful,-0.022736947265999813,harris_2024,trump_2024,1,0
preschool,-0.022736947265999813,harris_2024,trump_2024,1,0
less,-0.022736947265999813,harris_2024,trump_2024,1,0
minimum,-0.022736947265999813,harris_2024,trump_2024,1,0
proud,-0.022736947265999813,harris_2024,trump_2024,1,0
maximum,-0.022736947265999813,harris_2024,trump_2024,1,0
maternal,-0.022736947265999813,harris_2024,trump_2024,1,0
marriage,-0.022736947265999813,harris_2024,trump_2024,1,0
ready,-0.022736947265999813,harris_2024,trump_2024,1,0
relentless,-0.022736947265999813,harris_2024,trump_2024,1,0
rental,-0.022736947265999813,harris_2024,trump_2024,1,0
lgbtqi,-0.022736947265999813,harris_2024,trump_2024,1,0
price,-0.022736947265999813,harris_2024,trump_2024,1,0
smart,-0.022736947265999813,harris_2024,trump_2024,1,0
accessible,-0.022736947265999813,harris_2024,trump_2024,1,0
stark,-0.022736947265999813,harris_2024,trump_2024,1,0
common,-0.022736947265999813,harris_2024,trump_2024,1,0
college,-0.022736947265999813,harris_2024,trump_2024,1,0
toxic,-0.022736947265999813,harris_2024,trump_2024,1,0
brutal,-0.022736947265999813,harris_2024,trump_2024,1,0
typical,-0.022736947265999813,harris_2024,trump_2024,1,0
unchecked,-0.022736947265999813,harris_2024,trump_2024,1,0
beautiful,-0.022736947265999813,harris_2024,trump_2024,1,0
baseless,-0.022736947265999813,harris_2024,trump_2024,1,0
unfit,-0.022736947265999813,harris_2024,trump_2024,1,0
union,-0.022736947265999813,harris_2024,trump_2024,1,0
attainable,-0.022736947265999813,harris_2024,trump_2024,1,0
artificial,-0.022736947265999813,harris_2024,trump_2024,1,0
universal,-0.022736947265999813,harris_2024,trump_2024,1,0
unprecedented,-0.022736947265999813,harris_2024,trump_2024,1,0
ambitious,-0.022736947265999813,harris_2024,trump_2024,1,0
afraid,-0.022736947265999813,harris_2024,trump_2024,1,0
unreasonable,-0.022736947265999813,harris_2024,trump_2024,1,0
advanced,-0.022736947265999813,harris_2024,trump_2024,1,0
unwavering,-0.022736947265999813,harris_2024,trump_2024,1,0
tipped,-0.022736947265999813,harris_2024,trump_2024,1,0
thriving,-0.022736947265999813,harris_2024,trump_2024,1,0
tireless,-0.022736947265999813,harris_2024,trump_2024,1,0
cruel,-0.022736947265999813,harris_2024,trump_2024,1,0
startup,-0.022736947265999813,harris_2024,trump_2024,1,0
statewide,-0.022736947265999813,harris_2024,trump_2024,1,0
extreme,-0.022736947265999813,harris_2024,trump_2024,1,0
extensive,-0.022736947265999813,harris_2024,trump_2024,1,0
sub,-0.022736947265999813,harris_2024,trump_2024,1,0
electric,-0.022736947265999813,harris_2024,trump_2024,1,0
effective,-0.022736947265999813,harris_2024,trump_2024,1,0
such,-0.022736947265999813,harris_2024,trump_2024,1,0
early,-0.022736947265999813,harris_2024,trump_2024,1,0
down,-0.022736947265999813,harris_2024,trump_2024,1,0
terrorist,-0.022736947265999813,harris_2024,trump_2024,1,0
past,-0.022736947265999813,harris_2024,trump_2024,1,0
discrimination,-0.022736947265999813,harris_2024,trump_2024,1,0
direct,-0.022736947265999813,harris_2024,trump_2024,1,0
developed,-0.022736947265999813,harris_2024,trump_2024,1,0
devastating,-0.022736947265999813,harris_2024,trump_2024,1,0
destructive,-0.022736947265999813,harris_2024,trump_2024,1,0
domestic,-0.022736947265999813,harris_2024,trump_2024,1,0
pro,0.125352282717091,harris_2024,trump_2024,2,0
unfair,0.125352282717091,harris_2024,trump_2024,2,0
sacred,0.125352282717091,harris_2024,trump_2024,2,0
transnational,0.125352282717091,harris_2024,trump_2024,2,0
significant,0.125352282717091,harris_2024,trump_2024,2,0
top,0.125352282717091,harris_2024,trump_2024,2,0
single,0.125352282717091,harris_2024,trump_2024,2,0
st,0.125352282717091,harris_2024,trump_2024,2,0
sure,0.125352282717091,harris_2024,trump_2024,2,0
private,0.125352282717091,harris_2024,trump_2024,2,0
long,0.125352282717091,harris_2024,trump_2024,2,0
illicit,0.125352282717091,harris_2024,trump_2024,2,0
illegal,0.125352282717091,harris_2024,trump_2024,2,0
good,0.125352282717091,harris_2024,trump_2024,2,0
comprehensive,0.125352282717091,harris_2024,trump_2024,2,0
corporate,0.125352282717091,harris_2024,trump_2024,2,0
local,0.125352282717091,harris_2024,trump_2024,2,0
brave,0.125352282717091,harris_2024,trump_2024,2,0
criminal,0.125352282717091,harris_2024,trump_2024,2,0
committed,0.125352282717091,harris_2024,trump_2024,2,0
major,0.125352282717091,harris_2024,trump_2024,2,0
financial,0.125352282717091,harris_2024,trump_2024,2,0
bad,0.125352282717091,harris_2024,trump_2024,2,0
