term,log_odds,corpus 1,corpus 2,count 1,count 2
federal,-2.433422720922767,republican_2024,republican_2016,2,119
republican,-1.711795617642016,republican_2024,republican_2016,1,60
economic,-1.6396220701425777,republican_2024,republican_2016,1,56
military,-1.2082527347588201,republican_2024,republican_2016,1,37
current,-1.0760229826154573,republican_2024,republican_2016,0,65
national,-1.0652607116291686,republican_2024,republican_2016,0,62
many,-1.0580796680965832,republican_2024,republican_2016,1,32
public,-1.0577976829721762,republican_2024,republican_2016,0,60
private,-1.0295986282512988,republican_2024,republican_2016,0,53
religious,-0.9924803081876878,republican_2024,republican_2016,0,45
constitutional,-0.9153717589749764,republican_2024,republican_2016,0,32
human,-0.9153717589749764,republican_2024,republican_2016,0,32
such,-0.8685291843060957,republican_2024,republican_2016,0,26
financial,-0.8504917838271023,republican_2024,republican_2016,0,24
last,-0.8308953155013344,republican_2024,republican_2016,0,22
legal,-0.820422775260131,republican_2024,republican_2016,0,21
international,-0.7979023113676219,republican_2024,republican_2016,0,19
mental,-0.7857418441293307,republican_2024,republican_2016,0,18
small,-0.7857418441293307,republican_2024,republican_2016,0,18
civil,-0.7857418441293307,republican_2024,republican_2016,0,18
social,-0.7728902072941527,republican_2024,republican_2016,0,17
tribal,-0.7592636814659618,republican_2024,republican_2016,0,16
environmental,-0.7592636814659618,republican_2024,republican_2016,0,16
natural,-0.7592636814659618,republican_2024,republican_2016,0,16
fundamental,-0.7447623600346076,republican_2024,republican_2016,0,15
medical,-0.7292656890448767,republican_2024,republican_2016,0,14
non,-0.7292656890448767,republican_2024,republican_2016,0,14
special,-0.7126263572478301,republican_2024,republican_2016,0,13
congressional,-0.6946617454071963,republican_2024,republican_2016,0,12
domestic,-0.6946617454071963,republican_2024,republican_2016,0,12
much,-0.6946617454071963,republican_2024,republican_2016,0,12
effective,-0.6751416630434586,republican_2024,republican_2016,0,11
appropriate,-0.6537702538445487,republican_2024,republican_2016,0,10
cultural,-0.6537702538445487,republican_2024,republican_2016,0,10
anti,-0.6537702538445487,republican_2024,republican_2016,0,10
inalienable,-0.6537702538445487,republican_2024,republican_2016,0,10
intellectual,-0.6537702538445487,republican_2024,republican_2016,0,10
old,-0.6537702538445487,republican_2024,republican_2016,0,10
democratic,-0.630158391333324,republican_2024,republican_2016,0,9
hard,-0.630158391333324,republican_2024,republican_2016,0,9
major,-0.630158391333324,republican_2024,republican_2016,0,9
responsible,-0.6037798596046666,republican_2024,republican_2016,0,8
commercial,-0.6037798596046666,republican_2024,republican_2016,0,8
ethnic,-0.6037798596046666,republican_2024,republican_2016,0,8
indian,-0.6037798596046666,republican_2024,republican_2016,0,8
moral,-0.6037798596046666,republican_2024,republican_2016,0,8
enormous,-0.6037798596046666,republican_2024,republican_2016,0,8
executive,-0.6037798596046666,republican_2024,republican_2016,0,8
determined,-0.6037798596046666,republican_2024,republican_2016,0,8
average,-0.6037798596046666,republican_2024,republican_2016,0,8
several,-0.6037798596046666,republican_2024,republican_2016,0,8
few,-0.6037798596046666,republican_2024,republican_2016,0,8
bipartisan,-0.6037798596046666,republican_2024,republican_2016,0,8
technological,-0.573898358963164,republican_2024,republican_2016,0,7
sexual,-0.573898358963164,republican_2024,republican_2016,0,7
individual,-0.573898358963164,republican_2024,republican_2016,0,7
independent,-0.573898358963164,republican_2024,republican_2016,0,7
real,-0.573898358963164,republican_2024,republican_2016,0,7
mandatory,-0.573898358963164,republican_2024,republican_2016,0,7
st,-0.573898358963164,republican_2024,republican_2016,0,7
original,-0.573898358963164,republican_2024,republican_2016,0,7
grave,-0.573898358963164,republican_2024,republican_2016,0,7
easy,-0.573898358963164,republican_2024,republican_2016,0,7
agricultural,-0.573898358963164,republican_2024,republican_2016,0,7
corporate,-0.573898358963164,republican_2024,republican_2016,0,7
competitive,-0.573898358963164,republican_2024,republican_2016,0,7
entire,-0.573898358963164,republican_2024,republican_2016,0,7
legitimate,-0.573898358963164,republican_2024,republican_2016,0,7
inherent,-0.573898358963164,republican_2024,republican_2016,0,7
more,-0.5427631160247713,republican_2024,republican_2016,3,45
single,-0.5394384184334804,republican_2024,republican_2016,0,6
little,-0.5394384184334804,republican_2024,republican_2016,0,6
timely,-0.5394384184334804,republican_2024,republican_2016,0,6
costly,-0.5394384184334804,republican_2024,republican_2016,0,6
fellow,-0.5394384184334804,republican_2024,republican_2016,0,6
due,-0.5394384184334804,republican_2024,republican_2016,0,6
sound,-0.5394384184334804,republican_2024,republican_2016,0,6
central,-0.5394384184334804,republican_2024,republican_2016,0,6
present,-0.5394384184334804,republican_2024,republican_2016,0,6
judicial,-0.5394384184334804,republican_2024,republican_2016,0,6
authoritarian,-0.5394384184334804,republican_2024,republican_2016,0,6
vast,-0.5394384184334804,republican_2024,republican_2016,0,6
foreign,-0.5237510056291076,republican_2024,republican_2016,2,32
needy,-0.49873900075917615,republican_2024,republican_2016,0,5
elderly,-0.49873900075917615,republican_2024,republican_2016,0,5
mutual,-0.49873900075917615,republican_2024,republican_2016,0,5
legislative,-0.49873900075917615,republican_2024,republican_2016,0,5
transparent,-0.49873900075917615,republican_2024,republican_2016,0,5
likely,-0.49873900075917615,republican_2024,republican_2016,0,5
reasonable,-0.49873900075917615,republican_2024,republican_2016,0,5
basic,-0.49873900075917615,republican_2024,republican_2016,0,5
significant,-0.49873900075917615,republican_2024,republican_2016,0,5
particular,-0.49873900075917615,republican_2024,republican_2016,0,5
direct,-0.49873900075917615,republican_2024,republican_2016,0,5
proper,-0.49873900075917615,republican_2024,republican_2016,0,5
certain,-0.49873900075917615,republican_2024,republican_2016,0,5
ideological,-0.49873900075917615,republican_2024,republican_2016,0,5
territorial,-0.49873900075917615,republican_2024,republican_2016,0,5
most,-0.46948373444469144,republican_2024,republican_2016,1,18
technical,-0.4490330731267042,republican_2024,republican_2016,0,4
urban,-0.4490330731267042,republican_2024,republican_2016,0,4
academic,-0.4490330731267042,republican_2024,republican_2016,0,4
governmental,-0.4490330731267042,republican_2024,republican_2016,0,4
activist,-0.4490330731267042,republican_2024,republican_2016,0,4
true,-0.4490330731267042,republican_2024,republican_2016,0,4
renewable,-0.4490330731267042,republican_2024,republican_2016,0,4
difficult,-0.4490330731267042,republican_2024,republican_2016,0,4
overseas,-0.4490330731267042,republican_2024,republican_2016,0,4
sovereign,-0.4490330731267042,republican_2024,republican_2016,0,4
subject,-0.4490330731267042,republican_2024,republican_2016,0,4
administrative,-0.4490330731267042,republican_2024,republican_2016,0,4
ultimate,-0.4490330731267042,republican_2024,republican_2016,0,4
multilateral,-0.4490330731267042,republican_2024,republican_2016,0,4
fetal,-0.4490330731267042,republican_2024,republican_2016,0,4
comprehensive,-0.4490330731267042,republican_2024,republican_2016,0,4
