term,log_odds,corpus 1,corpus 2,count 1,count 2
american,-0.7737386388812627,trump_2024,trump_2016,0,48
more,-0.655495819197432,trump_2024,trump_2016,0,29
federal,-0.5581062574068458,trump_2024,trump_2016,0,19
private,-0.5188598149533626,trump_2024,trump_2016,0,16
economic,-0.5041618512348467,trump_2024,trump_2016,0,15
illegal,-0.5041618512348467,trump_2024,trump_2016,0,15
low,-0.4716451276022041,trump_2024,trump_2016,0,13
national,-0.4122664930764988,trump_2024,trump_2016,0,10
good,-0.36198664135093794,trump_2024,trump_2016,0,8
current,-0.36198664135093794,trump_2024,trump_2016,0,8
criminal,-0.36198664135093794,trump_2024,trump_2016,0,8
public,-0.36198664135093794,trump_2024,trump_2016,0,8
natural,-0.36198664135093794,trump_2024,trump_2016,0,8
less,-0.33199260629839333,trump_2024,trump_2016,0,7
average,-0.33199260629839333,trump_2024,trump_2016,0,7
major,-0.33199260629839333,trump_2024,trump_2016,0,7
high,-0.33199260629839333,trump_2024,trump_2016,0,7
small,-0.33199260629839333,trump_2024,trump_2016,0,7
last,-0.2974554748453903,trump_2024,trump_2016,0,6
single,-0.2974554748453903,trump_2024,trump_2016,0,6
many,-0.2974554748453903,trump_2024,trump_2016,0,6
clean,-0.2567348526830334,trump_2024,trump_2016,0,5
entire,-0.2567348526830334,trump_2024,trump_2016,0,5
eligible,-0.2567348526830334,trump_2024,trump_2016,0,5
local,-0.2567348526830334,trump_2024,trump_2016,0,5
joint,-0.2567348526830334,trump_2024,trump_2016,0,5
corporate,-0.2567348526830334,trump_2024,trump_2016,0,5
minimum,-0.2567348526830334,trump_2024,trump_2016,0,5
most,-0.2567348526830334,trump_2024,trump_2016,0,5
next,-0.2567348526830334,trump_2024,trump_2016,0,5
open,-0.2567348526830334,trump_2024,trump_2016,0,5
regulatory,-0.2567348526830334,trump_2024,trump_2016,0,5
mental,-0.20710455253061663,trump_2024,trump_2016,0,4
total,-0.20710455253061663,trump_2024,trump_2016,0,4
safe,-0.20710455253061663,trump_2024,trump_2016,0,4
red,-0.20710455253061663,trump_2024,trump_2016,0,4
executive,-0.20710455253061663,trump_2024,trump_2016,0,4
real,-0.20710455253061663,trump_2024,trump_2016,0,4
free,-0.20710455253061663,trump_2024,trump_2016,0,4
massive,-0.20710455253061663,trump_2024,trump_2016,0,4
own,-0.20710455253061663,trump_2024,trump_2016,0,4
great,-0.20710455253061663,trump_2024,trump_2016,0,4
non,-0.20710455253061663,trump_2024,trump_2016,0,4
least,-0.20710455253061663,trump_2024,trump_2016,0,4
radical,-0.20710455253061663,trump_2024,trump_2016,0,4
middle,-0.20710455253061663,trump_2024,trump_2016,0,4
able,-0.20710455253061663,trump_2024,trump_2016,0,4
additional,-0.20710455253061663,trump_2024,trump_2016,0,4
anti,-0.20710455253061663,trump_2024,trump_2016,0,4
classified,-0.20710455253061663,trump_2024,trump_2016,0,4
available,-0.20710455253061663,trump_2024,trump_2016,0,4
international,-0.14351842720179628,trump_2024,trump_2016,0,3
individual,-0.14351842720179628,trump_2024,trump_2016,0,3
cheap,-0.14351842720179628,trump_2024,trump_2016,0,3
effective,-0.14351842720179628,trump_2024,trump_2016,0,3
married,-0.14351842720179628,trump_2024,trump_2016,0,3
easy,-0.14351842720179628,trump_2024,trump_2016,0,3
dynamic,-0.14351842720179628,trump_2024,trump_2016,0,3
responsible,-0.14351842720179628,trump_2024,trump_2016,0,3
active,-0.14351842720179628,trump_2024,trump_2016,0,3
first,-0.14351842720179628,trump_2024,trump_2016,0,3
african,-0.14351842720179628,trump_2024,trump_2016,0,3
dependent,-0.14351842720179628,trump_2024,trump_2016,0,3
specific,-0.14351842720179628,trump_2024,trump_2016,0,3
full,-0.14351842720179628,trump_2024,trump_2016,0,3
past,-0.14351842720179628,trump_2024,trump_2016,0,3
annual,-0.14351842720179628,trump_2024,trump_2016,0,3
subject,-0.14351842720179628,trump_2024,trump_2016,0,3
constitutional,-0.14351842720179628,trump_2024,trump_2016,0,3
modern,-0.14351842720179628,trump_2024,trump_2016,0,3
necessary,-0.14351842720179628,trump_2024,trump_2016,0,3
bad,-0.14351842720179628,trump_2024,trump_2016,0,3
much,-0.14351842720179628,trump_2024,trump_2016,0,3
immediate,-0.054905777586397364,trump_2024,trump_2016,0,2
state,-0.054905777586397364,trump_2024,trump_2016,0,2
stable,-0.054905777586397364,trump_2024,trump_2016,0,2
honest,-0.054905777586397364,trump_2024,trump_2016,0,2
inner,-0.054905777586397364,trump_2024,trump_2016,0,2
innovative,-0.054905777586397364,trump_2024,trump_2016,0,2
intellectual,-0.054905777586397364,trump_2024,trump_2016,0,2
such,-0.054905777586397364,trump_2024,trump_2016,0,2
standard,-0.054905777586397364,trump_2024,trump_2016,0,2
intrusive,-0.054905777586397364,trump_2024,trump_2016,0,2
sanctuary,-0.054905777586397364,trump_2024,trump_2016,0,2
lawful,-0.054905777586397364,trump_2024,trump_2016,0,2
political,-0.054905777586397364,trump_2024,trump_2016,0,2
physical,-0.054905777586397364,trump_2024,trump_2016,0,2
prior,-0.054905777586397364,trump_2024,trump_2016,0,2
overall,-0.054905777586397364,trump_2024,trump_2016,0,2
alternative,-0.054905777586397364,trump_2024,trump_2016,0,2
neutral,-0.054905777586397364,trump_2024,trump_2016,0,2
ballistic,-0.054905777586397364,trump_2024,trump_2016,0,2
similar,-0.054905777586397364,trump_2024,trump_2016,0,2
basic,-0.054905777586397364,trump_2024,trump_2016,0,2
maximum,-0.054905777586397364,trump_2024,trump_2016,0,2
second,-0.054905777586397364,trump_2024,trump_2016,0,2
sensitive,-0.054905777586397364,trump_2024,trump_2016,0,2
