term,log_odds,corpus 1,corpus 2,count 1,count 2
republicans,-13.392593717521295,democrat_2024,republican_2024,29,71
our,-11.121390837986276,democrat_2024,republican_2024,304,126
american,-9.777485252891655,democrat_2024,republican_2024,142,74
will,-8.959128660198147,democrat_2024,republican_2024,452,138
restore,-7.934482759490408,democrat_2024,republican_2024,11,25
great,-7.080923913703327,democrat_2024,republican_2024,10,20
illegal,-6.298646618332872,democrat_2024,republican_2024,9,16
republican,-6.042312295085982,democrat_2024,republican_2024,13,16
policies,-5.879196712360016,democrat_2024,republican_2024,15,16
stop,-5.599342093310319,democrat_2024,republican_2024,12,14
again,-5.530314602689492,democrat_2024,republican_2024,19,16
inflation,-5.520051715028068,democrat_2024,republican_2024,16,15
we,-5.439309333761436,democrat_2024,republican_2024,425,100
must,-5.398613579131755,democrat_2024,republican_2024,27,18
party,-5.309918765145473,democrat_2024,republican_2024,2,14
common,-5.185682606803305,democrat_2024,republican_2024,2,13
bring,-5.12646039385936,democrat_2024,republican_2024,14,13
foreign,-5.116808503202115,democrat_2024,republican_2024,11,12
peace,-5.116808503202115,democrat_2024,republican_2024,11,12
education,-5.069534587180484,democrat_2024,republican_2024,42,21
commitment,-4.917971417587055,democrat_2024,republican_2024,13,12
regulations,-4.7302501112673365,democrat_2024,republican_2024,3,9
policy,-4.689695615365,democrat_2024,republican_2024,9,10
trade,-4.593837574170266,democrat_2024,republican_2024,13,11
offer,-4.483469020521438,democrat_2024,republican_2024,3,8
strength,-4.422139117257523,democrat_2024,republican_2024,5,8
government,-4.269354487295881,democrat_2024,republican_2024,34,16
borders,-4.195781024520014,democrat_2024,republican_2024,1,10
manufacturing,-4.136976586365914,democrat_2024,republican_2024,14,10
country,-4.136024726959472,democrat_2024,republican_2024,48,19
protect,-4.1329291916988,democrat_2024,republican_2024,61,22
ensure,-4.124718010680503,democrat_2024,republican_2024,44,18
schools,-4.115074538140488,democrat_2024,republican_2024,21,12
defend,-4.113947803199085,democrat_2024,republican_2024,11,9
commit,-4.078138278443287,democrat_2024,republican_2024,5,7
be,-3.9929654515186113,democrat_2024,republican_2024,59,21
defense,-3.9770934911085636,democrat_2024,republican_2024,9,8
chapter,-3.9656791891180987,democrat_2024,republican_2024,19,11
invasion,-3.885511311179305,democrat_2024,republican_2024,3,6
base,-3.885511311179305,democrat_2024,republican_2024,3,6
return,-3.8371932118073975,democrat_2024,republican_2024,7,7
healthcare,-3.808247162091436,democrat_2024,republican_2024,4,6
future,-3.733368451788626,democrat_2024,republican_2024,29,13
production,-3.6902701393192663,democrat_2024,republican_2024,5,6
industrial,-3.6902701393192663,democrat_2024,republican_2024,5,6
liberty,-3.5896804076661253,democrat_2024,republican_2024,1,6
border,-3.5777738766219693,democrat_2024,republican_2024,48,17
stability,-3.571307587511776,democrat_2024,republican_2024,9,7
open,-3.554373858566663,democrat_2024,republican_2024,6,6
economic,-3.547300078248553,democrat_2024,republican_2024,53,18
men,-3.3943700199408124,democrat_2024,republican_2024,4,5
democrat,-3.3696300504794725,democrat_2024,republican_2024,1,5
speech,-3.3696300504794725,democrat_2024,republican_2024,1,5
tells,-3.3696300504794725,democrat_2024,republican_2024,1,5
clearly,-3.3696300504794725,democrat_2024,republican_2024,1,5
seniors,-3.247558962041945,democrat_2024,republican_2024,15,8
all,-3.2022192879917926,democrat_2024,republican_2024,89,24
love,-3.178213504967661,democrat_2024,republican_2024,2,4
unleash,-3.178213504967661,democrat_2024,republican_2024,2,4
immediately,-3.178213504967661,democrat_2024,republican_2024,2,4
promote,-3.134393284108584,democrat_2024,republican_2024,16,8
unfair,-3.1245019416055726,democrat_2024,republican_2024,9,6
parental,-3.0985575029475445,democrat_2024,republican_2024,1,4
champion,-3.0692097629510906,democrat_2024,republican_2024,3,4
wall,-2.9076729948095674,democrat_2024,republican_2024,4,4
greatest,-2.9076729948095674,democrat_2024,republican_2024,4,4
everyday,-2.9076729948095674,democrat_2024,republican_2024,4,4
reverse,-2.9076729948095674,democrat_2024,republican_2024,4,4
washington,-2.9076729948095674,democrat_2024,republican_2024,4,4
reliable,-2.9076729948095674,democrat_2024,republican_2024,4,4
dream,-2.9076729948095674,democrat_2024,republican_2024,4,4
end,-2.8949769612437155,democrat_2024,republican_2024,40,13
america,-2.889542373171605,democrat_2024,republican_2024,135,31
secure,-2.8524181402926945,democrat_2024,republican_2024,27,10
ensuring,-2.8124351727277053,democrat_2024,republican_2024,19,8
allow,-2.778238050192232,democrat_2024,republican_2024,8,5
history,-2.7765300353787157,democrat_2024,republican_2024,37,12
producers,-2.7482068207664208,democrat_2024,republican_2024,1,3
destroy,-2.7482068207664208,democrat_2024,republican_2024,1,3
pillars,-2.7482068207664208,democrat_2024,republican_2024,1,3
southern,-2.7482068207664208,democrat_2024,republican_2024,1,3
th,-2.7482068207664208,democrat_2024,republican_2024,1,3
wasteful,-2.7482068207664208,democrat_2024,republican_2024,1,3
overcome,-2.7482068207664208,democrat_2024,republican_2024,1,3
assets,-2.7482068207664208,democrat_2024,republican_2024,1,3
gang,-2.7482068207664208,democrat_2024,republican_2024,1,3
seal,-2.7482068207664208,democrat_2024,republican_2024,1,3
dominant,-2.7482068207664208,democrat_2024,republican_2024,1,3
defeat,-2.7482068207664208,democrat_2024,republican_2024,1,3
deport,-2.7482068207664208,democrat_2024,republican_2024,1,3
taxpayer,-2.7324114536299566,democrat_2024,republican_2024,5,4
want,-2.7324114536299566,democrat_2024,republican_2024,5,4
religious,-2.7324114536299566,democrat_2024,republican_2024,5,4
cities,-2.7324114536299566,democrat_2024,republican_2024,5,4
founding,-2.7021873588917447,democrat_2024,republican_2024,2,3
creation,-2.7021873588917447,democrat_2024,republican_2024,2,3
space,-2.7021873588917447,democrat_2024,republican_2024,2,3
reinstate,-2.7021873588917447,democrat_2024,republican_2024,2,3
become,-2.7021873588917447,democrat_2024,republican_2024,2,3
missile,-2.7021873588917447,democrat_2024,republican_2024,2,3
political,-2.702099106475107,democrat_2024,republican_2024,16,7
stand,-2.702099106475107,democrat_2024,republican_2024,16,7
quickly,-2.59169079275422,democrat_2024,republican_2024,13,6
prosperous,-2.557380640859426,democrat_2024,republican_2024,6,4
spending,-2.523099013219171,democrat_2024,republican_2024,3,3
prepare,-2.523099013219171,democrat_2024,republican_2024,3,3
educational,-2.523099013219171,democrat_2024,republican_2024,3,3
constitution,-2.523099013219171,democrat_2024,republican_2024,3,3
right,-2.5049660485155925,democrat_2024,republican_2024,36,11
young,-2.484453943326804,democrat_2024,republican_2024,10,5
cuts,-2.484453943326804,democrat_2024,republican_2024,10,5
strengthen,-2.4706206993886988,democrat_2024,republican_2024,27,9
safe,-2.4220642545233004,democrat_2024,republican_2024,23,8
dc,-2.387991384584108,democrat_2024,republican_2024,7,4
goods,-2.3462840837641497,democrat_2024,republican_2024,11,5
yet,-2.3208609581875033,democrat_2024,republican_2024,4,3
everything,-2.3208609581875033,democrat_2024,republican_2024,4,3
amendment,-2.3208609581875033,democrat_2024,republican_2024,4,3
independence,-2.3208609581875033,democrat_2024,republican_2024,4,3
critical,-2.29377016392491,democrat_2024,republican_2024,34,10
bad,-2.2599047457425163,democrat_2024,republican_2024,1,2
deportation,-2.2599047457425163,democrat_2024,republican_2024,1,2
spurred,-2.2599047457425163,democrat_2024,republican_2024,1,2
heroes,-2.2599047457425163,democrat_2024,republican_2024,1,2
merit,-2.2599047457425163,democrat_2024,republican_2024,1,2
regulatory,-2.2599047457425163,democrat_2024,republican_2024,1,2
burdensome,-2.2599047457425163,democrat_2024,republican_2024,1,2
proven,-2.2599047457425163,democrat_2024,republican_2024,1,2
politicians,-2.2599047457425163,democrat_2024,republican_2024,1,2
buyers,-2.2599047457425163,democrat_2024,republican_2024,1,2
crushed,-2.2599047457425163,democrat_2024,republican_2024,1,2
drill,-2.2599047457425163,democrat_2024,republican_2024,1,2
models,-2.2599047457425163,democrat_2024,republican_2024,1,2
voter,-2.2599047457425163,democrat_2024,republican_2024,1,2
reversing,-2.2599047457425163,democrat_2024,republican_2024,1,2
promises,-2.2599047457425163,democrat_2024,republican_2024,1,2
