term,log_odds,corpus 1,corpus 2,count 1,count 2
kamala,-5.9885535564501025,harris_2024,harris_2020,10,213
we,-4.692292020014645,harris_2024,harris_2020,8,136
of,-2.763056443792492,harris_2024,harris_2020,84,362
are,-2.632180659935187,harris_2024,harris_2020,19,113
community,-2.57255917840037,harris_2024,harris_2020,2,40
people,-2.542735976682455,harris_2024,harris_2020,7,60
it,-2.5257178949922143,harris_2024,harris_2020,11,77
communities,-2.5173488675534132,harris_2024,harris_2020,6,55
health,-2.508994297292781,harris_2024,harris_2020,9,68
justice,-2.4652227806911906,harris_2024,harris_2020,4,45
country,-2.4320988421230014,harris_2024,harris_2020,3,40
black,-2.370465493043323,harris_2024,harris_2020,1,34
pay,-2.3412983531807576,harris_2024,harris_2020,3,38
every,-2.2396372195068746,harris_2024,harris_2020,1,30
or,-2.226411116232456,harris_2024,harris_2020,4,40
believes,-2.2008555915062167,harris_2024,harris_2020,2,31
access,-2.0923350084563337,harris_2024,harris_2020,3,33
need,-2.090096679703948,harris_2024,harris_2020,1,26
can,-2.0878947987085206,harris_2024,harris_2020,9,59
children,-2.069053299591222,harris_2024,harris_2020,4,37
federal,-2.025720222473281,harris_2024,harris_2020,6,45
disabilities,-1.9454128845172216,harris_2024,harris_2020,2,26
plan,-1.834651498731979,harris_2024,harris_2020,8,50
services,-1.7681121769158394,harris_2024,harris_2020,2,23
family,-1.7681121769158394,harris_2024,harris_2020,2,23
at,-1.7165211434624508,harris_2024,harris_2020,10,56
but,-1.6492839829068155,harris_2024,harris_2020,4,30
percent,-1.6469428793357965,harris_2024,harris_2020,1,17
ll,-1.6284230158429933,harris_2024,harris_2020,14,70
today,-1.5839107874137708,harris_2024,harris_2020,1,16
what,-1.5839107874137708,harris_2024,harris_2020,1,16
sure,-1.5669953041276647,harris_2024,harris_2020,2,20
relief,-1.5168944628264127,harris_2024,harris_2020,1,15
they,-1.5150076777848056,harris_2024,harris_2020,13,64
infrastructure,-1.4935063849782757,harris_2024,harris_2020,2,19
companies,-1.4935063849782757,harris_2024,harris_2020,2,19
rights,-1.487897451478736,harris_2024,harris_2020,6,36
take,-1.487897451478736,harris_2024,harris_2020,6,36
provide,-1.4407796404341329,harris_2024,harris_2020,4,27
us,-1.4275229896968458,harris_2024,harris_2020,5,31
students,-1.4162582188955288,harris_2024,harris_2020,2,18
income,-1.4162582188955288,harris_2024,harris_2020,2,18
were,-1.3686825787633987,harris_2024,harris_2020,1,13
part,-1.3686825787633987,harris_2024,harris_2020,1,13
how,-1.3686825787633987,harris_2024,harris_2020,1,13
based,-1.3686825787633987,harris_2024,harris_2020,1,13
housing,-1.3560152233821599,harris_2024,harris_2020,5,30
for,-1.3162250512035882,harris_2024,harris_2020,79,289
fight,-1.310605268208483,harris_2024,harris_2020,14,64
corporations,-1.3061751178116934,harris_2024,harris_2020,3,21
why,-1.2896926896955268,harris_2024,harris_2020,4,25
action,-1.2896926896955268,harris_2024,harris_2020,4,25
career,-1.2860621529311946,harris_2024,harris_2020,1,12
tribal,-1.2860621529311946,harris_2024,harris_2020,1,12
money,-1.2860621529311946,harris_2024,harris_2020,1,12
pacific,-1.2860621529311946,harris_2024,harris_2020,1,12
assault,-1.2860621529311946,harris_2024,harris_2020,1,12
also,-1.2366684763679703,harris_2024,harris_2020,9,44
united,-1.2063768626035902,harris_2024,harris_2020,5,28
apia,-1.2051273782766307,harris_2024,harris_2020,0,34
wealth,-1.1965279629912495,harris_2024,harris_2020,1,11
citizenship,-1.1965279629912495,harris_2024,harris_2020,1,11
together,-1.1965279629912495,harris_2024,harris_2020,1,11
congress,-1.1965279629912495,harris_2024,harris_2020,1,11
employment,-1.1965279629912495,harris_2024,harris_2020,1,11
must,-1.161549739011884,harris_2024,harris_2020,0,28
water,-1.1576743036787702,harris_2024,harris_2020,2,15
laws,-1.1576743036787702,harris_2024,harris_2020,2,15
rent,-1.1576743036787702,harris_2024,harris_2020,2,15
immigrants,-1.1533879054395655,harris_2024,harris_2020,0,27
re,-1.1449182053922518,harris_2024,harris_2020,0,26
when,-1.1355084331180965,harris_2024,harris_2020,3,19
reform,-1.1355084331180965,harris_2024,harris_2020,3,19
system,-1.1343046594036428,harris_2024,harris_2020,6,31
lgbtq,-1.117404900583174,harris_2024,harris_2020,0,23
teachers,-1.0988463338629664,harris_2024,harris_2020,1,10
individuals,-1.0988463338629664,harris_2024,harris_2020,1,10
environmental,-1.0988463338629664,harris_2024,harris_2020,1,10
legal,-1.0988463338629664,harris_2024,harris_2020,1,10
wages,-1.0988463338629664,harris_2024,harris_2020,1,10
barriers,-1.0988463338629664,harris_2024,harris_2020,1,10
language,-1.096990713244022,harris_2024,harris_2020,0,21
key,-1.0860423582926286,harris_2024,harris_2020,0,20
equal,-1.0860423582926286,harris_2024,harris_2020,0,20
program,-1.0745324374759917,harris_2024,harris_2020,0,19
here,-1.0745324374759917,harris_2024,harris_2020,0,19
means,-1.0745324374759917,harris_2024,harris_2020,0,19
native,-1.0745324374759917,harris_2024,harris_2020,0,19
data,-1.0624001766681663,harris_2024,harris_2020,0,18
all,-1.0613328039268204,harris_2024,harris_2020,13,56
policies,-1.0607215672888242,harris_2024,harris_2020,2,14
prescription,-1.0607215672888242,harris_2024,harris_2020,2,14
so,-1.057636487422649,harris_2024,harris_2020,6,30
dreamers,-1.0495743743925956,harris_2024,harris_2020,0,17
points,-1.0495743743925956,harris_2024,harris_2020,0,17
criminal,-1.0439941143674234,harris_2024,harris_2020,3,18
executive,-1.0359708720174288,harris_2024,harris_2020,0,16
use,-1.0359708720174288,harris_2024,harris_2020,0,16
immigrant,-1.0214892072436754,harris_2024,harris_2020,0,15
rape,-1.0214892072436754,harris_2024,harris_2020,0,15
gap,-1.0214892072436754,harris_2024,harris_2020,0,15
households,-1.0060081126419278,harris_2024,harris_2020,0,14
fully,-1.0060081126419278,harris_2024,harris_2020,0,14
resources,-1.0060081126419278,harris_2024,harris_2020,0,14
racial,-1.0060081126419278,harris_2024,harris_2020,0,14
agencies,-1.0060081126419278,harris_2024,harris_2020,0,14
make,-1.0008448202672338,harris_2024,harris_2020,13,55
taking,-0.9914276727949045,harris_2024,harris_2020,1,9
average,-0.9914276727949045,harris_2024,harris_2020,1,9
kits,-0.9893793454224853,harris_2024,harris_2020,0,13
full,-0.9893793454224853,harris_2024,harris_2020,0,13
color,-0.9893793454224853,harris_2024,harris_2020,0,13
lift,-0.9714190465379224,harris_2024,harris_2020,0,12
apias,-0.9714190465379224,harris_2024,harris_2020,0,12
school,-0.9714190465379224,harris_2024,harris_2020,0,12
have,-0.965693877269981,harris_2024,harris_2020,22,86
was,-0.9572250917536967,harris_2024,harris_2020,2,13
equality,-0.9572250917536967,harris_2024,harris_2020,2,13
within,-0.9518953384092133,harris_2024,harris_2020,0,11
disparities,-0.9518953384092133,harris_2024,harris_2020,0,11
truth,-0.9518953384092133,harris_2024,harris_2020,0,11
between,-0.9518953384092133,harris_2024,harris_2020,0,11
teacher,-0.9518953384092133,harris_2024,harris_2020,0,11
home,-0.9518869718382792,harris_2024,harris_2020,4,21
worker,-0.9305100086304886,harris_2024,harris_2020,0,10
funds,-0.9305100086304886,harris_2024,harris_2020,0,10
backlog,-0.9305100086304886,harris_2024,harris_2020,0,10
speak,-0.9305100086304886,harris_2024,harris_2020,0,10
much,-0.9305100086304886,harris_2024,harris_2020,0,10
asian,-0.9305100086304886,harris_2024,harris_2020,0,10
change,-0.9305100086304886,harris_2024,harris_2020,0,10
immediately,-0.9305100086304886,harris_2024,harris_2020,0,10
public,-0.9199542742475094,harris_2024,harris_2020,7,32
right,-0.9199542742475094,harris_2024,harris_2020,7,32
development,-0.9068705375482637,harris_2024,harris_2020,0,9
assistance,-0.9068705375482637,harris_2024,harris_2020,0,9
citizens,-0.9068705375482637,harris_2024,harris_2020,0,9
residents,-0.9068705375482637,harris_2024,harris_2020,0,9
english,-0.9068705375482637,harris_2024,harris_2020,0,9
still,-0.9068705375482637,harris_2024,harris_2020,0,9
lep,-0.9068705375482637,harris_2024,harris_2020,0,9
cofa,-0.9068705375482637,harris_2024,harris_2020,0,9
example,-0.9068705375482637,harris_2024,harris_2020,0,9
programs,-0.8974508059583702,harris_2024,harris_2020,6,28
an,-0.8830786248745633,harris_2024,harris_2020,11,46
cents,-0.8804456378274413,harris_2024,harris_2020,0,8
treatment,-0.8804456378274413,harris_2024,harris_2020,0,8
introduced,-0.8804456378274413,harris_2024,harris_2020,0,8
opportunities,-0.8804456378274413,harris_2024,harris_2020,0,8
participation,-0.8804456378274413,harris_2024,harris_2020,0,8
pharmaceutical,-0.8804456378274413,harris_2024,harris_2020,0,8
used,-0.8804456378274413,harris_2024,harris_2020,0,8
reverse,-0.8804456378274413,harris_2024,harris_2020,0,8
likely,-0.8804456378274413,harris_2024,harris_2020,0,8
vulnerable,-0.8804456378274413,harris_2024,harris_2020,0,8
broadband,-0.8804456378274413,harris_2024,harris_2020,0,8
hold,-0.8721775912715581,harris_2024,harris_2020,1,8
weapons,-0.8721775912715581,harris_2024,harris_2020,1,8
receive,-0.8721775912715581,harris_2024,harris_2020,1,8
such,-0.8721775912715581,harris_2024,harris_2020,1,8
living,-0.8721775912715581,harris_2024,harris_2020,1,8
allow,-0.8721775912715581,harris_2024,harris_2020,1,8
hbcus,-0.8721775912715581,harris_2024,harris_2020,1,8
per,-0.8721775912715581,harris_2024,harris_2020,1,8
job,-0.8721775912715581,harris_2024,harris_2020,1,8
life,-0.8721775912715581,harris_2024,harris_2020,1,8
improve,-0.8504910761188591,harris_2024,harris_2020,0,7
race,-0.8504910761188591,harris_2024,harris_2020,0,7
well,-0.8504910761188591,harris_2024,harris_2020,0,7
shot,-0.8504910761188591,harris_2024,harris_2020,0,7
historically,-0.8504910761188591,harris_2024,harris_2020,0,7
entire,-0.8504910761188591,harris_2024,harris_2020,0,7
decision,-0.8504910761188591,harris_2024,harris_2020,0,7
collection,-0.8504910761188591,harris_2024,harris_2020,0,7
bold,-0.8504910761188591,harris_2024,harris_2020,0,7
visa,-0.8504910761188591,harris_2024,harris_2020,0,7
ve,-0.8504910761188591,harris_2024,harris_2020,0,7
stay,-0.8504910761188591,harris_2024,harris_2020,0,7
better,-0.8504910761188591,harris_2024,harris_2020,0,7
treat,-0.8504910761188591,harris_2024,harris_2020,0,7
without,-0.8462730551421153,harris_2024,harris_2020,2,12
fair,-0.8462730551421153,harris_2024,harris_2020,2,12
where,-0.8462730551421153,harris_2024,harris_2020,2,12
any,-0.8462730551421153,harris_2024,harris_2020,2,12
comprehensive,-0.8462730551421153,harris_2024,harris_2020,2,12
into,-0.8462730551421153,harris_2024,harris_2020,2,12
with,-0.8338849589703097,harris_2024,harris_2020,26,97
protection,-0.8159182346230055,harris_2024,harris_2020,0,6
waiting,-0.8159182346230055,harris_2024,harris_2020,0,6
movement,-0.8159182346230055,harris_2024,harris_2020,0,6
nations,-0.8159182346230055,harris_2024,harris_2020,0,6
real,-0.8159182346230055,harris_2024,harris_2020,0,6
often,-0.8159182346230055,harris_2024,harris_2020,0,6
priorities,-0.8159182346230055,harris_2024,harris_2020,0,6
refugee,-0.8159182346230055,harris_2024,harris_2020,0,6
diverse,-0.8159182346230055,harris_2024,harris_2020,0,6
half,-0.8159182346230055,harris_2024,harris_2020,0,6
giving,-0.8159182346230055,harris_2024,harris_2020,0,6
don,-0.8159182346230055,harris_2024,harris_2020,0,6
neighborhoods,-0.8159182346230055,harris_2024,harris_2020,0,6
issue,-0.8159182346230055,harris_2024,harris_2020,0,6
hate,-0.8159182346230055,harris_2024,harris_2020,0,6
centers,-0.8159182346230055,harris_2024,harris_2020,0,6
cards,-0.8159182346230055,harris_2024,harris_2020,0,6
admissions,-0.8159182346230055,harris_2024,harris_2020,0,6
develop,-0.8159182346230055,harris_2024,harris_2020,0,6
standards,-0.8159182346230055,harris_2024,harris_2020,0,6
longer,-0.8159182346230055,harris_2024,harris_2020,0,6
charge,-0.8159182346230055,harris_2024,harris_2020,0,6
equity,-0.8159182346230055,harris_2024,harris_2020,0,6
advantage,-0.8159182346230055,harris_2024,harris_2020,0,6
remain,-0.8159182346230055,harris_2024,harris_2020,0,6
each,-0.8159182346230055,harris_2024,harris_2020,0,6
wall,-0.8159182346230055,harris_2024,harris_2020,0,6
rebuild,-0.8159182346230055,harris_2024,harris_2020,0,6
education,-0.8136657969641965,harris_2024,harris_2020,6,27
immigration,-0.8136657969641965,harris_2024,harris_2020,6,27
their,-0.8041338343555217,harris_2024,harris_2020,25,93
group,-0.7750425924476944,harris_2024,harris_2020,0,5
something,-0.7750425924476944,harris_2024,harris_2020,0,5
providing,-0.7750425924476944,harris_2024,harris_2020,0,5
protected,-0.7750425924476944,harris_2024,harris_2020,0,5
nra,-0.7750425924476944,harris_2024,harris_2020,0,5
systems,-0.7750425924476944,harris_2024,harris_2020,0,5
disproportionately,-0.7750425924476944,harris_2024,harris_2020,0,5
simple,-0.7750425924476944,harris_2024,harris_2020,0,5
alone,-0.7750425924476944,harris_2024,harris_2020,0,5
partners,-0.7750425924476944,harris_2024,harris_2020,0,5
night,-0.7750425924476944,harris_2024,harris_2020,0,5
supports,-0.7750425924476944,harris_2024,harris_2020,0,5
allowing,-0.7750425924476944,harris_2024,harris_2020,0,5
growing,-0.7750425924476944,harris_2024,harris_2020,0,5
net,-0.7750425924476944,harris_2024,harris_2020,0,5
requires,-0.7750425924476944,harris_2024,harris_2020,0,5
needed,-0.7750425924476944,harris_2024,harris_2020,0,5
green,-0.7750425924476944,harris_2024,harris_2020,0,5
message,-0.7750425924476944,harris_2024,harris_2020,0,5
daca,-0.7750425924476944,harris_2024,harris_2020,0,5
untested,-0.7750425924476944,harris_2024,harris_2020,0,5
deserves,-0.7750425924476944,harris_2024,harris_2020,0,5
status,-0.7750425924476944,harris_2024,harris_2020,0,5
covered,-0.7750425924476944,harris_2024,harris_2020,0,5
whom,-0.7750425924476944,harris_2024,harris_2020,0,5
loans,-0.7750425924476944,harris_2024,harris_2020,0,5
prioritize,-0.7750425924476944,harris_2024,harris_2020,0,5
closing,-0.7750425924476944,harris_2024,harris_2020,0,5
further,-0.7750425924476944,harris_2024,harris_2020,0,5
bills,-0.7750425924476944,harris_2024,harris_2020,0,5
able,-0.7750425924476944,harris_2024,harris_2020,0,5
muslim,-0.7750425924476944,harris_2024,harris_2020,0,5
prevent,-0.7750425924476944,harris_2024,harris_2020,0,5
discriminatory,-0.7750425924476944,harris_2024,harris_2020,0,5
critical,-0.7750425924476944,harris_2024,harris_2020,0,5
join,-0.7750425924476944,harris_2024,harris_2020,0,5
finally,-0.7750425924476944,harris_2024,harris_2020,0,5
elections,-0.7750425924476944,harris_2024,harris_2020,0,5
claim,-0.7750425924476944,harris_2024,harris_2020,0,5
had,-0.7750425924476944,harris_2024,harris_2020,0,5
special,-0.7750425924476944,harris_2024,harris_2020,0,5
limited,-0.7750425924476944,harris_2024,harris_2020,0,5
table,-0.7750425924476944,harris_2024,harris_2020,0,5
diversity,-0.7750425924476944,harris_2024,harris_2020,0,5
islands,-0.7750425924476944,harris_2024,harris_2020,0,5
making,-0.7612486947832086,harris_2024,harris_2020,4,19
that,-0.7538185726376327,harris_2024,harris_2020,61,211
military,-0.7395104610532883,harris_2024,harris_2020,3,15
cost,-0.7395104610532883,harris_2024,harris_2020,3,15
them,-0.7395104610532883,harris_2024,harris_2020,3,15
many,-0.7395104610532883,harris_2024,harris_2020,3,15
discrimination,-0.7395104610532883,harris_2024,harris_2020,3,15
areas,-0.7382627563251898,harris_2024,harris_2020,1,7
policy,-0.7382627563251898,harris_2024,harris_2020,1,7
state,-0.7382627563251898,harris_2024,harris_2020,1,7
championed,-0.7382627563251898,harris_2024,harris_2020,1,7
insurance,-0.7382627563251898,harris_2024,harris_2020,1,7
harder,-0.7382627563251898,harris_2024,harris_2020,1,7
throughout,-0.7382627563251898,harris_2024,harris_2020,1,7
values,-0.7267555064671909,harris_2024,harris_2020,2,11
labor,-0.7267555064671909,harris_2024,harris_2020,2,11
human,-0.7267555064671909,harris_2024,harris_2020,2,11
civil,-0.7267555064671909,harris_2024,harris_2020,2,11
nearly,-0.7267555064671909,harris_2024,harris_2020,2,11
drinking,-0.7250506514370639,harris_2024,harris_2020,0,4
concerns,-0.7250506514370639,harris_2024,harris_2020,0,4
spent,-0.7250506514370639,harris_2024,harris_2020,0,4
preserve,-0.7250506514370639,harris_2024,harris_2020,0,4
old,-0.7250506514370639,harris_2024,harris_2020,0,4
essential,-0.7250506514370639,harris_2024,harris_2020,0,4
entry,-0.7250506514370639,harris_2024,harris_2020,0,4
challenges,-0.7250506514370639,harris_2024,harris_2020,0,4
equitable,-0.7250506514370639,harris_2024,harris_2020,0,4
sovereignty,-0.7250506514370639,harris_2024,harris_2020,0,4
ceiling,-0.7250506514370639,harris_2024,harris_2020,0,4
center,-0.7250506514370639,harris_2024,harris_2020,0,4
fails,-0.7250506514370639,harris_2024,harris_2020,0,4
forced,-0.7250506514370639,harris_2024,harris_2020,0,4
cancer,-0.7250506514370639,harris_2024,harris_2020,0,4
politics,-0.7250506514370639,harris_2024,harris_2020,0,4
next,-0.7250506514370639,harris_2024,harris_2020,0,4
skilled,-0.7250506514370639,harris_2024,harris_2020,0,4
course,-0.7250506514370639,harris_2024,harris_2020,0,4
order,-0.7250506514370639,harris_2024,harris_2020,0,4
ethnicity,-0.7250506514370639,harris_2024,harris_2020,0,4
sexual,-0.7250506514370639,harris_2024,harris_2020,0,4
enter,-0.7250506514370639,harris_2024,harris_2020,0,4
speed,-0.7250506514370639,harris_2024,harris_2020,0,4
targeting,-0.7250506514370639,harris_2024,harris_2020,0,4
serious,-0.7250506514370639,harris_2024,harris_2020,0,4
partner,-0.7250506514370639,harris_2024,harris_2020,0,4
practice,-0.7250506514370639,harris_2024,harris_2020,0,4
six,-0.7250506514370639,harris_2024,harris_2020,0,4
responsibility,-0.7250506514370639,harris_2024,harris_2020,0,4
similar,-0.7250506514370639,harris_2024,harris_2020,0,4
enact,-0.7250506514370639,harris_2024,harris_2020,0,4
come,-0.7250506514370639,harris_2024,harris_2020,0,4
predatory,-0.7250506514370639,harris_2024,harris_2020,0,4
boyfriend,-0.7250506514370639,harris_2024,harris_2020,0,4
rising,-0.7250506514370639,harris_2024,harris_2020,0,4
eligibility,-0.7250506514370639,harris_2024,harris_2020,0,4
deferred,-0.7250506514370639,harris_2024,harris_2020,0,4
islanders,-0.7250506514370639,harris_2024,harris_2020,0,4
leaves,-0.7250506514370639,harris_2024,harris_2020,0,4
repair,-0.7250506514370639,harris_2024,harris_2020,0,4
transgender,-0.7250506514370639,harris_2024,harris_2020,0,4
am,-0.7250506514370639,harris_2024,harris_2020,0,4
hawaiians,-0.7250506514370639,harris_2024,harris_2020,0,4
humanitarian,-0.7250506514370639,harris_2024,harris_2020,0,4
mass,-0.7250506514370639,harris_2024,harris_2020,0,4
ideas,-0.7250506514370639,harris_2024,harris_2020,0,4
increased,-0.7250506514370639,harris_2024,harris_2020,0,4
harms,-0.7250506514370639,harris_2024,harris_2020,0,4
transportation,-0.7250506514370639,harris_2024,harris_2020,0,4
jurisdictions,-0.7250506514370639,harris_2024,harris_2020,0,4
addressing,-0.7250506514370639,harris_2024,harris_2020,0,4
authority,-0.7250506514370639,harris_2024,harris_2020,0,4
include,-0.7250506514370639,harris_2024,harris_2020,0,4
vital,-0.7250506514370639,harris_2024,harris_2020,0,4
incarceration,-0.7250506514370639,harris_2024,harris_2020,0,4
late,-0.7250506514370639,harris_2024,harris_2020,0,4
wait,-0.7250506514370639,harris_2024,harris_2020,0,4
until,-0.7250506514370639,harris_2024,harris_2020,0,4
tribes,-0.7250506514370639,harris_2024,harris_2020,0,4
mandate,-0.7250506514370639,harris_2024,harris_2020,0,4
backlogs,-0.7250506514370639,harris_2024,harris_2020,0,4
reinstate,-0.7250506514370639,harris_2024,harris_2020,0,4
recipients,-0.7250506514370639,harris_2024,harris_2020,0,4
washington,-0.7250506514370639,harris_2024,harris_2020,0,4
islander,-0.7250506514370639,harris_2024,harris_2020,0,4
disaggregation,-0.7250506514370639,harris_2024,harris_2020,0,4
relationship,-0.7250506514370639,harris_2024,harris_2020,0,4
deportation,-0.7250506514370639,harris_2024,harris_2020,0,4
instead,-0.7250506514370639,harris_2024,harris_2020,0,4
reality,-0.7250506514370639,harris_2024,harris_2020,0,4
best,-0.7250506514370639,harris_2024,harris_2020,0,4
reforming,-0.7250506514370639,harris_2024,harris_2020,0,4
valued,-0.7250506514370639,harris_2024,harris_2020,0,4
mother,-0.7250506514370639,harris_2024,harris_2020,0,4
gi,-0.7250506514370639,harris_2024,harris_2020,0,4
annual,-0.7250506514370639,harris_2024,harris_2020,0,4
third,-0.7250506514370639,harris_2024,harris_2020,0,4
utilities,-0.7250506514370639,harris_2024,harris_2020,0,4
worse,-0.7250506514370639,harris_2024,harris_2020,0,4
left,-0.7250506514370639,harris_2024,harris_2020,0,4
refugees,-0.7250506514370639,harris_2024,harris_2020,0,4
purchase,-0.7250506514370639,harris_2024,harris_2020,0,4
her,-0.6935614985508247,harris_2024,harris_2020,15,57
society,-0.6606958309050381,harris_2024,harris_2020,0,3
exactly,-0.6606958309050381,harris_2024,harris_2020,0,3
age,-0.6606958309050381,harris_2024,harris_2020,0,3
difficult,-0.6606958309050381,harris_2024,harris_2020,0,3
steps,-0.6606958309050381,harris_2024,harris_2020,0,3
exchange,-0.6606958309050381,harris_2024,harris_2020,0,3
urban,-0.6606958309050381,harris_2024,harris_2020,0,3
approach,-0.6606958309050381,harris_2024,harris_2020,0,3
funded,-0.6606958309050381,harris_2024,harris_2020,0,3
diplomatic,-0.6606958309050381,harris_2024,harris_2020,0,3
apply,-0.6606958309050381,harris_2024,harris_2020,0,3
agency,-0.6606958309050381,harris_2024,harris_2020,0,3
choice,-0.6606958309050381,harris_2024,harris_2020,0,3
latinx,-0.6606958309050381,harris_2024,harris_2020,0,3
va,-0.6606958309050381,harris_2024,harris_2020,0,3
standing,-0.6606958309050381,harris_2024,harris_2020,0,3
learning,-0.6606958309050381,harris_2024,harris_2020,0,3
victims,-0.6606958309050381,harris_2024,harris_2020,0,3
paychecks,-0.6606958309050381,harris_2024,harris_2020,0,3
existing,-0.6606958309050381,harris_2024,harris_2020,0,3
proficiency,-0.6606958309050381,harris_2024,harris_2020,0,3
lenders,-0.6606958309050381,harris_2024,harris_2020,0,3
however,-0.6606958309050381,harris_2024,harris_2020,0,3
digital,-0.6606958309050381,harris_2024,harris_2020,0,3
idea,-0.6606958309050381,harris_2024,harris_2020,0,3
visas,-0.6606958309050381,harris_2024,harris_2020,0,3
participating,-0.6606958309050381,harris_2024,harris_2020,0,3
collect,-0.6606958309050381,harris_2024,harris_2020,0,3
starts,-0.6606958309050381,harris_2024,harris_2020,0,3
value,-0.6606958309050381,harris_2024,harris_2020,0,3
later,-0.6606958309050381,harris_2024,harris_2020,0,3
sponsored,-0.6606958309050381,harris_2024,harris_2020,0,3
api,-0.6606958309050381,harris_2024,harris_2020,0,3
large,-0.6606958309050381,harris_2024,harris_2020,0,3
infected,-0.6606958309050381,harris_2024,harris_2020,0,3
isn,-0.6606958309050381,harris_2024,harris_2020,0,3
information,-0.6606958309050381,harris_2024,harris_2020,0,3
engineering,-0.6606958309050381,harris_2024,harris_2020,0,3
engine,-0.6606958309050381,harris_2024,harris_2020,0,3
san,-0.6606958309050381,harris_2024,harris_2020,0,3
population,-0.6606958309050381,harris_2024,harris_2020,0,3
injustice,-0.6606958309050381,harris_2024,harris_2020,0,3
contribute,-0.6606958309050381,harris_2024,harris_2020,0,3
empowering,-0.6606958309050381,harris_2024,harris_2020,0,3
innovative,-0.6606958309050381,harris_2024,harris_2020,0,3
employers,-0.6606958309050381,harris_2024,harris_2020,0,3
employees,-0.6606958309050381,harris_2024,harris_2020,0,3
yet,-0.6606958309050381,harris_2024,harris_2020,0,3
seek,-0.6606958309050381,harris_2024,harris_2020,0,3
sba,-0.6606958309050381,harris_2024,harris_2020,0,3
section,-0.6606958309050381,harris_2024,harris_2020,0,3
secretary,-0.6606958309050381,harris_2024,harris_2020,0,3
prepare,-0.6606958309050381,harris_2024,harris_2020,0,3
young,-0.6606958309050381,harris_2024,harris_2020,0,3
corinthian,-0.6606958309050381,harris_2024,harris_2020,0,3
screenings,-0.6606958309050381,harris_2024,harris_2020,0,3
instruct,-0.6606958309050381,harris_2024,harris_2020,0,3
effectively,-0.6606958309050381,harris_2024,harris_2020,0,3
everything,-0.6606958309050381,harris_2024,harris_2020,0,3
inequality,-0.6606958309050381,harris_2024,harris_2020,0,3
effect,-0.6606958309050381,harris_2024,harris_2020,0,3
ethnic,-0.6606958309050381,harris_2024,harris_2020,0,3
recognized,-0.6606958309050381,harris_2024,harris_2020,0,3
importance,-0.6606958309050381,harris_2024,harris_2020,0,3
persons,-0.6606958309050381,harris_2024,harris_2020,0,3
