term,log_odds,corpus 1,corpus 2,count 1,count 2
the,-5.84313349032725,republican_2024,republican_2016,250,2318
of,-4.927291279683405,republican_2024,republican_2016,133,1319
their,-4.2966758497113275,republican_2024,republican_2016,14,290
is,-4.234055510176456,republican_2024,republican_2016,16,303
or,-3.4372692772118016,republican_2024,republican_2016,7,169
its,-3.3142918786223334,republican_2024,republican_2016,3,133
should,-3.202001356693255,republican_2024,republican_2016,2,125
as,-3.0216407411547084,republican_2024,republican_2016,13,198
has,-2.7420482284126755,republican_2024,republican_2016,10,157
an,-2.6721475614418413,republican_2024,republican_2016,6,118
it,-2.6577163798709416,republican_2024,republican_2016,17,213
with,-2.64527943450437,republican_2024,republican_2016,23,262
to,-2.59435788499004,republican_2024,republican_2016,155,1233
be,-2.5782123497787617,republican_2024,republican_2016,21,242
congress,-2.546772588152198,republican_2024,republican_2016,1,82
which,-2.518463340060706,republican_2024,republican_2016,2,78
this,-2.515538304354455,republican_2024,republican_2016,4,93
state,-2.4680479674795444,republican_2024,republican_2016,1,76
have,-2.4543857277548016,republican_2024,republican_2016,15,186
in,-2.4040815873692307,republican_2024,republican_2016,72,621
public,-2.3618514018395254,republican_2024,republican_2016,2,70
been,-2.3491984472758958,republican_2024,republican_2016,3,77
are,-2.1699326756324924,republican_2024,republican_2016,17,189
both,-2.054841495278847,republican_2024,republican_2016,1,51
call,-1.9920710921418072,republican_2024,republican_2016,1,48
not,-1.9488072421027822,republican_2024,republican_2016,16,171
administration,-1.916137584163572,republican_2024,republican_2016,5,78
human,-1.750336545431255,republican_2024,republican_2016,1,38
for,-1.7019626578045355,republican_2024,republican_2016,53,435
oppose,-1.6589576271099258,republican_2024,republican_2016,2,43
federal,-1.6519737414492726,republican_2024,republican_2016,13,135
any,-1.6422558216464052,republican_2024,republican_2016,5,69
advance,-1.604529014955614,republican_2024,republican_2016,1,33
many,-1.5727502378980396,republican_2024,republican_2016,1,32
upon,-1.5727502378980396,republican_2024,republican_2016,1,32
because,-1.53997313730708,republican_2024,republican_2016,1,31
communities,-1.53997313730708,republican_2024,republican_2016,1,31
business,-1.5061334428760667,republican_2024,republican_2016,1,30
institutions,-1.4711605090446374,republican_2024,republican_2016,1,29
continue,-1.4349764470130728,republican_2024,republican_2016,1,28
government,-1.410121999971459,republican_2024,republican_2016,16,149
need,-1.4042584692661233,republican_2024,republican_2016,2,36
citizens,-1.3974951044378128,republican_2024,republican_2016,1,27
market,-1.3974951044378128,republican_2024,republican_2016,1,27
more,-1.3879139849245261,republican_2024,republican_2016,7,78
amendment,-1.3704665160024352,republican_2024,republican_2016,3,44
based,-1.3704665160024352,republican_2024,republican_2016,3,44
financial,-1.358620859685377,republican_2024,republican_2016,1,26
they,-1.3354443066981425,republican_2024,republican_2016,11,108
than,-1.3319630227279406,republican_2024,republican_2016,5,60
that,-1.2861885223506475,republican_2024,republican_2016,57,438
time,-1.2800092514034807,republican_2024,republican_2016,2,33
when,-1.2800092514034807,republican_2024,republican_2016,2,33
just,-1.2762549522134123,republican_2024,republican_2016,1,24
program,-1.2762549522134123,republican_2024,republican_2016,1,24
abortion,-1.2762549522134123,republican_2024,republican_2016,1,24
department,-1.2325103322543005,republican_2024,republican_2016,1,23
act,-1.228866759424071,republican_2024,republican_2016,4,49
religious,-1.1880283317763298,republican_2024,republican_2016,4,48
current,-1.18763245420399,republican_2024,republican_2016,0,65
sector,-1.1868623342150546,republican_2024,republican_2016,1,22
other,-1.1776448642894992,republican_2024,republican_2016,6,64
private,-1.1501794430509582,republican_2024,republican_2016,0,55
so,-1.1463801669761358,republican_2024,republican_2016,4,47
