term,log_odds,corpus 1,corpus 2,count 1,count 2
kamala,-6.053136369790548,harris_2024,harris_2020,10,213
community,-2.592228597815655,harris_2024,harris_2020,2,40
people,-2.578680933931161,harris_2024,harris_2020,7,60
communities,-2.5505495355762955,harris_2024,harris_2020,6,55
health,-2.5496945747158937,harris_2024,harris_2020,9,68
justice,-2.4922891399031597,harris_2024,harris_2020,4,45
country,-2.4555859528258903,harris_2024,harris_2020,3,40
black,-2.3845454181058496,harris_2024,harris_2020,1,34
pay,-2.364591994775581,harris_2024,harris_2020,3,38
believes,-2.219831274911647,harris_2024,harris_2020,2,31
access,-2.115126517327586,harris_2024,harris_2020,3,33
need,-2.103754410125331,harris_2024,harris_2020,1,26
children,-2.095199729425625,harris_2024,harris_2020,4,37
federal,-2.05752985229211,harris_2024,harris_2020,6,45
disabilities,-1.9639698603890228,harris_2024,harris_2020,2,26
plan,-1.8708053728487444,harris_2024,harris_2020,8,50
family,-1.7863985166062473,harris_2024,harris_2020,2,23
services,-1.7863985166062473,harris_2024,harris_2020,2,23
ll,-1.6756989375672915,harris_2024,harris_2020,14,70
percent,-1.6600649701094514,harris_2024,harris_2020,1,17
today,-1.5969651136465552,harris_2024,harris_2020,1,16
sure,-1.5849889660362406,harris_2024,harris_2020,2,20
relief,-1.5298782223631187,harris_2024,harris_2020,1,15
rights,-1.5183331688896082,harris_2024,harris_2020,6,36
companies,-1.511395912794452,harris_2024,harris_2020,2,19
infrastructure,-1.511395912794452,harris_2024,harris_2020,2,19
provide,-1.465626255896815,harris_2024,harris_2020,4,27
income,-1.4340394810124635,harris_2024,harris_2020,2,18
students,-1.4340394810124635,harris_2024,harris_2020,2,18
housing,-1.3835414909059895,harris_2024,harris_2020,5,30
based,-1.3815143585163847,harris_2024,harris_2020,1,13
fight,-1.356602761472979,harris_2024,harris_2020,14,64
corporations,-1.32756493368165,harris_2024,harris_2020,3,21
action,-1.3142449265927376,harris_2024,harris_2020,4,25
assault,-1.2988108235839966,harris_2024,harris_2020,1,12
tribal,-1.2988108235839966,harris_2024,harris_2020,1,12
money,-1.2988108235839966,harris_2024,harris_2020,1,12
career,-1.2988108235839966,harris_2024,harris_2020,1,12
pacific,-1.2988108235839966,harris_2024,harris_2020,1,12
united,-1.233578777103381,harris_2024,harris_2020,5,28
congress,-1.2091871690848484,harris_2024,harris_2020,1,11
wealth,-1.2091871690848484,harris_2024,harris_2020,1,11
employment,-1.2091871690848484,harris_2024,harris_2020,1,11
citizenship,-1.2091871690848484,harris_2024,harris_2020,1,11
apia,-1.2082744041324418,harris_2024,harris_2020,0,34
laws,-1.1750984605317096,harris_2024,harris_2020,2,15
rent,-1.1750984605317096,harris_2024,harris_2020,2,15
water,-1.1750984605317096,harris_2024,harris_2020,2,15
reform,-1.1566133598397748,harris_2024,harris_2020,3,19
immigrants,-1.1564646794863136,harris_2024,harris_2020,0,27
lgbtq,-1.1204414225881043,harris_2024,harris_2020,0,23
barriers,-1.1114079546033533,harris_2024,harris_2020,1,10
teachers,-1.1114079546033533,harris_2024,harris_2020,1,10
individuals,-1.1114079546033533,harris_2024,harris_2020,1,10
wages,-1.1114079546033533,harris_2024,harris_2020,1,10
legal,-1.1114079546033533,harris_2024,harris_2020,1,10
environmental,-1.1114079546033533,harris_2024,harris_2020,1,10
language,-1.100007055337433,harris_2024,harris_2020,0,21
equal,-1.0890485913860155,harris_2024,harris_2020,0,20
key,-1.0890485913860155,harris_2024,harris_2020,0,20
policies,-1.0780124439325518,harris_2024,harris_2020,2,14
prescription,-1.0780124439325518,harris_2024,harris_2020,2,14
means,-1.0775285458613038,harris_2024,harris_2020,0,19
program,-1.0775285458613038,harris_2024,harris_2020,0,19
native,-1.0775285458613038,harris_2024,harris_2020,0,19
data,-1.0653861417541273,harris_2024,harris_2020,0,18
criminal,-1.0649470148851023,harris_2024,harris_2020,3,18
points,-1.0525501740298713,harris_2024,harris_2020,0,17
dreamers,-1.0525501740298713,harris_2024,harris_2020,0,17
make,-1.0439847499859762,harris_2024,harris_2020,13,55
use,-1.0389364796140559,harris_2024,harris_2020,0,16
executive,-1.0389364796140559,harris_2024,harris_2020,0,16
immigrant,-1.0244445905873414,harris_2024,harris_2020,0,15
rape,-1.0244445905873414,harris_2024,harris_2020,0,15
gap,-1.0244445905873414,harris_2024,harris_2020,0,15
racial,-1.0089532323042483,harris_2024,harris_2020,0,14
fully,-1.0089532323042483,harris_2024,harris_2020,0,14
resources,-1.0089532323042483,harris_2024,harris_2020,0,14
households,-1.0089532323042483,harris_2024,harris_2020,0,14
agencies,-1.0089532323042483,harris_2024,harris_2020,0,14
taking,-1.0038811019207803,harris_2024,harris_2020,1,9
average,-1.0038811019207803,harris_2024,harris_2020,1,9
color,-0.9923141525536415,harris_2024,harris_2020,0,13
kits,-0.9923141525536415,harris_2024,harris_2020,0,13
home,-0.9757929052265923,harris_2024,harris_2020,4,21
equality,-0.9743731087542252,harris_2024,harris_2020,2,13
apias,-0.9743434797490461,harris_2024,harris_2020,0,12
lift,-0.9743434797490461,harris_2024,harris_2020,0,12
school,-0.9743434797490461,harris_2024,harris_2020,0,12
teacher,-0.954809319248845,harris_2024,harris_2020,0,11
truth,-0.954809319248845,harris_2024,harris_2020,0,11
disparities,-0.954809319248845,harris_2024,harris_2020,0,11
public,-0.9513491014097776,harris_2024,harris_2020,7,32
right,-0.9513491014097776,harris_2024,harris_2020,7,32
change,-0.9334134348188698,harris_2024,harris_2020,0,10
backlog,-0.9334134348188698,harris_2024,harris_2020,0,10
immediately,-0.9334134348188698,harris_2024,harris_2020,0,10
asian,-0.9334134348188698,harris_2024,harris_2020,0,10
worker,-0.9334134348188698,harris_2024,harris_2020,0,10
funds,-0.9334134348188698,harris_2024,harris_2020,0,10
speak,-0.9334134348188698,harris_2024,harris_2020,0,10
programs,-0.9264862249325959,harris_2024,harris_2020,6,28
example,-0.9097632724890585,harris_2024,harris_2020,0,9
lep,-0.9097632724890585,harris_2024,harris_2020,0,9
development,-0.9097632724890585,harris_2024,harris_2020,0,9
residents,-0.9097632724890585,harris_2024,harris_2020,0,9
citizens,-0.9097632724890585,harris_2024,harris_2020,0,9
assistance,-0.9097632724890585,harris_2024,harris_2020,0,9
cofa,-0.9097632724890585,harris_2024,harris_2020,0,9
english,-0.9097632724890585,harris_2024,harris_2020,0,9
living,-0.8845086075993971,harris_2024,harris_2020,1,8
allow,-0.8845086075993971,harris_2024,harris_2020,1,8
hbcus,-0.8845086075993971,harris_2024,harris_2020,1,8
job,-0.8845086075993971,harris_2024,harris_2020,1,8
hold,-0.8845086075993971,harris_2024,harris_2020,1,8
receive,-0.8845086075993971,harris_2024,harris_2020,1,8
life,-0.8845086075993971,harris_2024,harris_2020,1,8
weapons,-0.8845086075993971,harris_2024,harris_2020,1,8
used,-0.8833274936351309,harris_2024,harris_2020,0,8
broadband,-0.8833274936351309,harris_2024,harris_2020,0,8
cents,-0.8833274936351309,harris_2024,harris_2020,0,8
likely,-0.8833274936351309,harris_2024,harris_2020,0,8
treatment,-0.8833274936351309,harris_2024,harris_2020,0,8
vulnerable,-0.8833274936351309,harris_2024,harris_2020,0,8
participation,-0.8833274936351309,harris_2024,harris_2020,0,8
opportunities,-0.8833274936351309,harris_2024,harris_2020,0,8
reverse,-0.8833274936351309,harris_2024,harris_2020,0,8
introduced,-0.8833274936351309,harris_2024,harris_2020,0,8
pharmaceutical,-0.8833274936351309,harris_2024,harris_2020,0,8
fair,-0.8632665034967696,harris_2024,harris_2020,2,12
comprehensive,-0.8632665034967696,harris_2024,harris_2020,2,12
race,-0.8533617846723446,harris_2024,harris_2020,0,7
better,-0.8533617846723446,harris_2024,harris_2020,0,7
entire,-0.8533617846723446,harris_2024,harris_2020,0,7
ve,-0.8533617846723446,harris_2024,harris_2020,0,7
improve,-0.8533617846723446,harris_2024,harris_2020,0,7
visa,-0.8533617846723446,harris_2024,harris_2020,0,7
decision,-0.8533617846723446,harris_2024,harris_2020,0,7
collection,-0.8533617846723446,harris_2024,harris_2020,0,7
bold,-0.8533617846723446,harris_2024,harris_2020,0,7
treat,-0.8533617846723446,harris_2024,harris_2020,0,7
shot,-0.8533617846723446,harris_2024,harris_2020,0,7
stay,-0.8533617846723446,harris_2024,harris_2020,0,7
historically,-0.8533617846723446,harris_2024,harris_2020,0,7
education,-0.8425074695558671,harris_2024,harris_2020,6,27
immigration,-0.8425074695558671,harris_2024,harris_2020,6,27
hate,-0.8187773948434888,harris_2024,harris_2020,0,6
half,-0.8187773948434888,harris_2024,harris_2020,0,6
develop,-0.8187773948434888,harris_2024,harris_2020,0,6
refugee,-0.8187773948434888,harris_2024,harris_2020,0,6
real,-0.8187773948434888,harris_2024,harris_2020,0,6
priorities,-0.8187773948434888,harris_2024,harris_2020,0,6
movement,-0.8187773948434888,harris_2024,harris_2020,0,6
rebuild,-0.8187773948434888,harris_2024,harris_2020,0,6
advantage,-0.8187773948434888,harris_2024,harris_2020,0,6
issue,-0.8187773948434888,harris_2024,harris_2020,0,6
admissions,-0.8187773948434888,harris_2024,harris_2020,0,6
remain,-0.8187773948434888,harris_2024,harris_2020,0,6
nations,-0.8187773948434888,harris_2024,harris_2020,0,6
waiting,-0.8187773948434888,harris_2024,harris_2020,0,6
diverse,-0.8187773948434888,harris_2024,harris_2020,0,6
equity,-0.8187773948434888,harris_2024,harris_2020,0,6
protection,-0.8187773948434888,harris_2024,harris_2020,0,6
longer,-0.8187773948434888,harris_2024,harris_2020,0,6
charge,-0.8187773948434888,harris_2024,harris_2020,0,6
standards,-0.8187773948434888,harris_2024,harris_2020,0,6
neighborhoods,-0.8187773948434888,harris_2024,harris_2020,0,6
giving,-0.8187773948434888,harris_2024,harris_2020,0,6
cards,-0.8187773948434888,harris_2024,harris_2020,0,6
wall,-0.8187773948434888,harris_2024,harris_2020,0,6
don,-0.8187773948434888,harris_2024,harris_2020,0,6
centers,-0.8187773948434888,harris_2024,harris_2020,0,6
making,-0.7847921624730616,harris_2024,harris_2020,4,19
critical,-0.7778895657598618,harris_2024,harris_2020,0,5
nra,-0.7778895657598618,harris_2024,harris_2020,0,5
able,-0.7778895657598618,harris_2024,harris_2020,0,5
requires,-0.7778895657598618,harris_2024,harris_2020,0,5
daca,-0.7778895657598618,harris_2024,harris_2020,0,5
night,-0.7778895657598618,harris_2024,harris_2020,0,5
