term,log_odds,corpus 1,corpus 2,count 1,count 2
trump,-1.0107281267860158,trump_2024,trump_2016,1,57
clinton,-0.9805345890026336,trump_2024,trump_2016,0,80
hillary,-0.9597662993998689,trump_2024,trump_2016,0,73
jobs,-0.8504038139925949,trump_2024,trump_2016,0,45
million,-0.8238535320637895,trump_2024,trump_2016,0,40
plan,-0.8122985614330301,trump_2024,trump_2016,0,38
donald,-0.8122985614330301,trump_2024,trump_2016,0,38
trade,-0.7872567145383436,trump_2024,trump_2016,0,34
infrastructure,-0.7805386280160581,trump_2024,trump_2016,0,33
year,-0.7664731871590859,trump_2024,trump_2016,0,31
obama,-0.759098482178902,trump_2024,trump_2016,0,30
years,-0.7181181263920713,trump_2024,trump_2016,0,25
income,-0.7089481553642917,trump_2024,trump_2016,0,24
state,-0.7089481553642917,trump_2024,trump_2016,0,24
percent,-0.7089481553642917,trump_2024,trump_2016,0,24
va,-0.7089481553642917,trump_2024,trump_2016,0,24
billion,-0.6894089704154585,trump_2024,trump_2016,0,22
national,-0.6789660004093336,trump_2024,trump_2016,0,21
care,-0.6680159984159703,trump_2024,trump_2016,0,20
economic,-0.6680159984159703,trump_2024,trump_2016,0,20
release,-0.6680159984159703,trump_2024,trump_2016,0,20
health,-0.6680159984159703,trump_2024,trump_2016,0,20
press,-0.6565070285078655,trump_2024,trump_2016,0,19
immigration,-0.6443787463968298,trump_2024,trump_2016,0,18
veterans,-0.6443787463968298,trump_2024,trump_2016,0,18
rate,-0.6443787463968298,trump_2024,trump_2016,0,18
cost,-0.6443787463968298,trump_2024,trump_2016,0,18
china,-0.6443787463968298,trump_2024,trump_2016,0,18
times,-0.6315604810652874,trump_2024,trump_2016,0,17
increase,-0.6315604810652874,trump_2024,trump_2016,0,17
law,-0.6315604810652874,trump_2024,trump_2016,0,17
obamacare,-0.6179687362347989,trump_2024,trump_2016,0,16
ensure,-0.6179687362347989,trump_2024,trump_2016,0,16
private,-0.6179687362347989,trump_2024,trump_2016,0,16
administration,-0.6179687362347989,trump_2024,trump_2016,0,16
economy,-0.6035038875642089,trump_2024,trump_2016,0,15
key,-0.6035038875642089,trump_2024,trump_2016,0,15
contrast,-0.6035038875642089,trump_2024,trump_2016,0,15
illegal,-0.6035038875642089,trump_2024,trump_2016,0,15
vision,-0.6035038875642089,trump_2024,trump_2016,0,15
issues,-0.6035038875642089,trump_2024,trump_2016,0,15
sept,-0.6035038875642089,trump_2024,trump_2016,0,15
choice,-0.6035038875642089,trump_2024,trump_2016,0,15
secretary,-0.6035038875642089,trump_2024,trump_2016,0,15
cyber,-0.5880457435129475,trump_2024,trump_2016,0,14
americans,-0.5880457435129475,trump_2024,trump_2016,0,14
work,-0.5880457435129475,trump_2024,trump_2016,0,14
time,-0.5714474660116725,trump_2024,trump_2016,0,13
june,-0.5714474660116725,trump_2024,trump_2016,0,13
create,-0.5714474660116725,trump_2024,trump_2016,0,13
provide,-0.5714474660116725,trump_2024,trump_2016,0,13
july,-0.5714474660116725,trump_2024,trump_2016,0,13
new,-0.5659991938356879,trump_2024,trump_2016,1,37
dollars,-0.5535270655868877,trump_2024,trump_2016,0,12
nearly,-0.5535270655868877,trump_2024,trump_2016,0,12
reform,-0.5535270655868877,trump_2024,trump_2016,0,12
growth,-0.5535270655868877,trump_2024,trump_2016,0,12
need,-0.5535270655868877,trump_2024,trump_2016,0,12
student,-0.5535270655868877,trump_2024,trump_2016,0,12
immigrants,-0.5535270655868877,trump_2024,trump_2016,0,12
force,-0.5535270655868877,trump_2024,trump_2016,0,12
reduce,-0.5535270655868877,trump_2024,trump_2016,0,12
today,-0.5535270655868877,trump_2024,trump_2016,0,12
foundation,-0.5340552087179623,trump_2024,trump_2016,0,11
isis,-0.5340552087179623,trump_2024,trump_2016,0,11
deficit,-0.5340552087179623,trump_2024,trump_2016,0,11
childcare,-0.5340552087179623,trump_2024,trump_2016,0,11
labor,-0.5340552087179623,trump_2024,trump_2016,0,11
costs,-0.512737235861374,trump_2024,trump_2016,0,10
policy,-0.512737235861374,trump_2024,trump_2016,0,10
systems,-0.512737235861374,trump_2024,trump_2016,0,10
public,-0.512737235861374,trump_2024,trump_2016,0,10
wall,-0.512737235861374,trump_2024,trump_2016,0,10
york,-0.512737235861374,trump_2024,trump_2016,0,10
countries,-0.512737235861374,trump_2024,trump_2016,0,10
joint,-0.512737235861374,trump_2024,trump_2016,0,10
average,-0.512737235861374,trump_2024,trump_2016,0,10
water,-0.512737235861374,trump_2024,trump_2016,0,10
education,-0.512737235861374,trump_2024,trump_2016,0,10
coal,-0.512737235861374,trump_2024,trump_2016,0,10
taxpayers,-0.4891857440853233,trump_2024,trump_2016,0,9
projects,-0.4891857440853233,trump_2024,trump_2016,0,9
business,-0.4891857440853233,trump_2024,trump_2016,0,9
second,-0.4891857440853233,trump_2024,trump_2016,0,9
aliens,-0.4891857440853233,trump_2024,trump_2016,0,9
street,-0.4891857440853233,trump_2024,trump_2016,0,9
office,-0.4891857440853233,trump_2024,trump_2016,0,9
states,-0.4795476619428067,trump_2024,trump_2016,1,34
taxes,-0.46287709348396,trump_2024,trump_2016,0,8
establish,-0.46287709348396,trump_2024,trump_2016,0,8
programs,-0.46287709348396,trump_2024,trump_2016,0,8
journal,-0.46287709348396,trump_2024,trump_2016,0,8
employees,-0.46287709348396,trump_2024,trump_2016,0,8
eliminate,-0.46287709348396,trump_2024,trump_2016,0,8
april,-0.46287709348396,trump_2024,trump_2016,0,8
affairs,-0.46287709348396,trump_2024,trump_2016,0,8
department,-0.46287709348396,trump_2024,trump_2016,0,8
current,-0.46287709348396,trump_2024,trump_2016,0,8
natural,-0.46287709348396,trump_2024,trump_2016,0,8
center,-0.46287709348396,trump_2024,trump_2016,0,8
