term,log_odds,corpus 1,corpus 2,count 1,count 2
republicans,-13.466732789296426,democrat_2024,republican_2024,29,71
our,-11.268052669152343,democrat_2024,republican_2024,304,126
american,-9.895112366133162,democrat_2024,republican_2024,142,74
will,-9.122476195013824,democrat_2024,republican_2024,452,138
restore,-7.984890585440762,democrat_2024,republican_2024,11,25
we will,-7.274585180660815,democrat_2024,republican_2024,175,64
great,-7.128561947690914,democrat_2024,republican_2024,10,20
illegal,-6.343334832374759,democrat_2024,republican_2024,9,16
republicans will,-6.213612384753379,democrat_2024,republican_2024,0,60
republican,-6.092213490196999,democrat_2024,republican_2024,13,16
policies,-5.931066363260317,democrat_2024,republican_2024,15,16
our country,-5.6469168417156625,democrat_2024,republican_2024,12,14
stop,-5.6469168417156625,democrat_2024,republican_2024,12,14
we,-5.595889476423592,democrat_2024,republican_2024,425,100
again,-5.585314885485859,democrat_2024,republican_2024,19,16
inflation,-5.572056506384608,democrat_2024,republican_2024,16,15
president trump,-5.490931540141974,democrat_2024,republican_2024,4,12
must,-5.459801977003809,democrat_2024,republican_2024,27,18
party,-5.33482484872824,democrat_2024,republican_2024,0,14
common,-5.210524788087533,democrat_2024,republican_2024,0,13
bring,-5.175189086225448,democrat_2024,republican_2024,14,13
peace,-5.161846081022026,democrat_2024,republican_2024,11,12
foreign,-5.161846081022026,democrat_2024,republican_2024,11,12
education,-5.139035111884557,democrat_2024,republican_2024,42,21
american workers,-5.04749628870985,democrat_2024,republican_2024,9,11
commitment,-4.96495423131771,democrat_2024,republican_2024,13,12
policies that,-4.795791343843109,democrat_2024,republican_2024,4,9
will restore,-4.766649488005117,democrat_2024,republican_2024,0,10
regulations,-4.758705043188168,democrat_2024,republican_2024,3,9
policy,-4.730791126565136,democrat_2024,republican_2024,9,10
trade,-4.639856785494336,democrat_2024,republican_2024,13,11
make america,-4.51383732167858,democrat_2024,republican_2024,4,8
offer,-4.511551925660913,democrat_2024,republican_2024,3,8
strength,-4.455422889071276,democrat_2024,republican_2024,5,8
the republican,-4.4262132919712,democrat_2024,republican_2024,0,12
government,-4.331191977487216,democrat_2024,republican_2024,34,16
the american,-4.331191977487216,democrat_2024,republican_2024,34,16
our commitment,-4.325275693616365,democrat_2024,republican_2024,0,11
commit to,-4.232377274060395,democrat_2024,republican_2024,3,7
borders,-4.2140974108911005,democrat_2024,republican_2024,0,10
protect,-4.207891462511596,democrat_2024,republican_2024,61,22
country,-4.205007212183012,democrat_2024,republican_2024,48,19
stop the,-4.197392471845092,democrat_2024,republican_2024,4,7
ensure,-4.191616931489736,democrat_2024,republican_2024,44,18
manufacturing,-4.182631795028708,democrat_2024,republican_2024,14,10
schools,-4.167165721407228,democrat_2024,republican_2024,21,12
to our,-4.156074805288268,democrat_2024,republican_2024,11,9
defend,-4.156074805288268,democrat_2024,republican_2024,11,9
commit,-4.110620717296525,democrat_2024,republican_2024,5,7
be,-4.066457127045177,democrat_2024,republican_2024,59,21
defense,-4.016140348001816,democrat_2024,republican_2024,9,8
chapter,-4.015523571567715,democrat_2024,republican_2024,19,11
the border,-3.9226892024453,democrat_2024,republican_2024,13,9
invasion,-3.9125206715935636,democrat_2024,republican_2024,3,6
base,-3.9125206715935636,democrat_2024,republican_2024,3,6
industrial base,-3.891511794862804,democrat_2024,republican_2024,0,6
will end,-3.872768528285821,democrat_2024,republican_2024,7,7
return,-3.872768528285821,democrat_2024,republican_2024,7,7
will support,-3.872768528285821,democrat_2024,republican_2024,7,7
healthcare,-3.837799086182944,democrat_2024,republican_2024,4,6
american energy,-3.792423090366091,democrat_2024,republican_2024,0,7
future,-3.7898482699015608,democrat_2024,republican_2024,29,13
industrial,-3.721757551045306,democrat_2024,republican_2024,5,6
production,-3.721757551045306,democrat_2024,republican_2024,5,6
border,-3.6443325154252233,democrat_2024,republican_2024,48,17
economic,-3.6161055246300773,democrat_2024,republican_2024,53,18
stability,-3.6090511702866044,democrat_2024,republican_2024,9,7
plan to,-3.6090511702866044,democrat_2024,republican_2024,9,7
liberty,-3.607610508098485,democrat_2024,republican_2024,0,6
open,-3.587393439357997,democrat_2024,republican_2024,6,6
and ensure,-3.587393439357997,democrat_2024,republican_2024,6,6
on american,-3.5791858669632384,democrat_2024,republican_2024,0,5
and restore,-3.5791858669632384,democrat_2024,republican_2024,0,5
by and,-3.5394799941443966,democrat_2024,republican_2024,3,5
we must,-3.4769657056834227,democrat_2024,republican_2024,10,7
men,-3.4228779425452025,democrat_2024,republican_2024,4,5
if we,-3.3873428699008175,democrat_2024,republican_2024,0,5
future for,-3.3873428699008175,democrat_2024,republican_2024,0,5
tells,-3.3873428699008175,democrat_2024,republican_2024,0,5
of illegal,-3.3873428699008175,democrat_2024,republican_2024,0,5
speech,-3.3873428699008175,democrat_2024,republican_2024,0,5
clearly,-3.3873428699008175,democrat_2024,republican_2024,0,5
democrat,-3.3873428699008175,democrat_2024,republican_2024,0,5
law and,-3.3873428699008175,democrat_2024,republican_2024,0,5
the people,-3.3025010411799247,democrat_2024,republican_2024,8,6
seniors,-3.290962692271725,democrat_2024,republican_2024,15,8
all,-3.2836092722466157,democrat_2024,republican_2024,89,24
and stop,-3.2773389101105708,democrat_2024,republican_2024,5,5
will be,-3.2773389101105708,democrat_2024,republican_2024,5,5
we don,-3.2004340835173566,democrat_2024,republican_2024,0,4
must be,-3.2004340835173566,democrat_2024,republican_2024,0,4
bring down,-3.2004340835173566,democrat_2024,republican_2024,0,4
