term,log_odds,corpus 1,corpus 2,count 1,count 2
kamala,-5.917987892606428,harris_2024,harris_2020,10,213
we,-4.633521549061995,harris_2024,harris_2020,8,136
of,-2.5866383045687336,harris_2024,harris_2020,84,362
are,-2.550682087319403,harris_2024,harris_2020,19,113
community,-2.545012535139436,harris_2024,harris_2020,2,40
people,-2.4929259235943673,harris_2024,harris_2020,7,60
communities,-2.471147015760051,harris_2024,harris_2020,6,55
it,-2.4637476723048897,harris_2024,harris_2020,11,77
health,-2.452830635965442,harris_2024,harris_2020,9,68
justice,-2.42723471255145,harris_2024,harris_2020,4,45
country,-2.398991939626179,harris_2024,harris_2020,3,40
black,-2.350619231882915,harris_2024,harris_2020,1,34
pay,-2.308320881550405,harris_2024,harris_2020,3,38
every,-2.2199118516547163,harris_2024,harris_2020,1,30
or,-2.188811323070581,harris_2024,harris_2020,4,40
believes,-2.173753858204344,harris_2024,harris_2020,2,31
need,-2.070503497184777,harris_2024,harris_2020,1,26
president trump,-2.070503497184777,harris_2024,harris_2020,1,26
access,-2.059710174593237,harris_2024,harris_2020,3,33
can,-2.0327385322705975,harris_2024,harris_2020,9,59
children,-2.0317085584453927,harris_2024,harris_2020,4,37
federal,-1.9804859278904154,harris_2024,harris_2020,6,45
disabilities,-1.918610189810367,harris_2024,harris_2020,2,26
we have,-1.8477034012115219,harris_2024,harris_2020,1,21
plan,-1.7831237303736547,harris_2024,harris_2020,8,50
family,-1.741519026483935,harris_2024,harris_2020,2,23
services,-1.741519026483935,harris_2024,harris_2020,2,23
in america,-1.7085931839868875,harris_2024,harris_2020,3,27
we need,-1.6871664027214297,harris_2024,harris_2020,1,18
with disabilities,-1.6775024052012513,harris_2024,harris_2020,2,22
at,-1.6593962981798256,harris_2024,harris_2020,10,56
percent,-1.6277278924791887,harris_2024,harris_2020,1,17
but,-1.6126281527019715,harris_2024,harris_2020,4,30
access to,-1.574926858845643,harris_2024,harris_2020,3,25
our country,-1.5647504805608574,harris_2024,harris_2020,1,16
what,-1.5647504805608574,harris_2024,harris_2020,1,16
today,-1.5647504805608574,harris_2024,harris_2020,1,16
ll,-1.5613341753382,harris_2024,harris_2020,14,70
make sure,-1.5406458367396225,harris_2024,harris_2020,2,20
sure,-1.5406458367396225,harris_2024,harris_2020,2,20
relief,-1.497793129213752,harris_2024,harris_2020,1,15
sure that,-1.497793129213752,harris_2024,harris_2020,1,15
infrastructure,-1.4672483192086958,harris_2024,harris_2020,2,19
companies,-1.4672483192086958,harris_2024,harris_2020,2,19
health care,-1.4565001109685505,harris_2024,harris_2020,5,32
they,-1.450638185232102,harris_2024,harris_2020,13,64
take,-1.4437319314461157,harris_2024,harris_2020,6,36
rights,-1.4437319314461157,harris_2024,harris_2020,6,36
we can,-1.4263279078370186,harris_2024,harris_2020,1,14
provide,-1.4044767202518535,harris_2024,harris_2020,4,27
income,-1.39009794448836,harris_2024,harris_2020,2,18
students,-1.39009794448836,harris_2024,harris_2020,2,18
of our,-1.39009794448836,harris_2024,harris_2020,2,18
us,-1.3871678588826544,harris_2024,harris_2020,5,31
kamala will,-1.352922916345149,harris_2024,harris_2020,0,67
how,-1.3497158012116985,harris_2024,harris_2020,1,13
were,-1.3497158012116985,harris_2024,harris_2020,1,13
based,-1.3497158012116985,harris_2024,harris_2020,1,13
part,-1.3497158012116985,harris_2024,harris_2020,1,13
the us,-1.3497158012116985,harris_2024,harris_2020,1,13
housing,-1.3157957494525128,harris_2024,harris_2020,5,30
corporations,-1.274704643654031,harris_2024,harris_2020,3,21
