term,log_odds,corpus 1,corpus 2,count 1,count 2
again,-3.71392907110921,harris_2024,trump_2024,3,4
stop,-3.1793957691519767,harris_2024,trump_2024,1,3
make america,-3.1793957691519767,harris_2024,trump_2024,1,3
world,-3.0279684258739947,harris_2024,trump_2024,8,4
our,-2.9675312180597646,harris_2024,trump_2024,45,10
including,-2.8895400978189008,harris_2024,trump_2024,9,4
cuts,-2.561164694597837,harris_2024,trump_2024,2,2
no,-2.4696616526153603,harris_2024,trump_2024,7,3
the world,-2.4696616526153603,harris_2024,trump_2024,7,3
make,-2.3928307266735813,harris_2024,trump_2024,13,4
out,-2.3610096242608867,harris_2024,trump_2024,3,2
country,-2.3610096242608867,harris_2024,trump_2024,3,2
keep,-2.3199060048070876,harris_2024,trump_2024,8,3
making,-2.1567383821462025,harris_2024,trump_2024,4,2
for workers,-1.8321446538196107,harris_2024,trump_2024,1,1
american history,-1.8321446538196107,harris_2024,trump_2024,1,1
and cut,-1.8321446538196107,harris_2024,trump_2024,1,1
protect social,-1.8321446538196107,harris_2024,trump_2024,1,1
made in,-1.8321446538196107,harris_2024,trump_2024,1,1
bill of,-1.8321446538196107,harris_2024,trump_2024,1,1
pushing,-1.8321446538196107,harris_2024,trump_2024,1,1
voter,-1.8321446538196107,harris_2024,trump_2024,1,1
president trump,-1.8321446538196107,harris_2024,trump_2024,1,1
regulations,-1.8321446538196107,harris_2024,trump_2024,1,1
of rights,-1.8321446538196107,harris_2024,trump_2024,1,1
war,-1.8321446538196107,harris_2024,trump_2024,1,1
america the,-1.8321446538196107,harris_2024,trump_2024,1,1
on tips,-1.8321446538196107,harris_2024,trump_2024,1,1
in american,-1.8321446538196107,harris_2024,trump_2024,1,1
and build,-1.8321446538196107,harris_2024,trump_2024,1,1
unite,-1.8321446538196107,harris_2024,trump_2024,1,1
on our,-1.8321446538196107,harris_2024,trump_2024,1,1
cartels,-1.8321446538196107,harris_2024,trump_2024,1,1
offenders,-1.8321446538196107,harris_2024,trump_2024,1,1
beautiful,-1.8321446538196107,harris_2024,trump_2024,1,1
the us,-1.8321446538196107,harris_2024,trump_2024,1,1
dollar,-1.8321446538196107,harris_2024,trump_2024,1,1
citizenship,-1.8321446538196107,harris_2024,trump_2024,1,1
electric vehicle,-1.8321446538196107,harris_2024,trump_2024,1,1
political,-1.8321446538196107,harris_2024,trump_2024,1,1
promises to,-1.8321446538196107,harris_2024,trump_2024,1,1
gang,-1.8321446538196107,harris_2024,trump_2024,1,1
border and,-1.8321446538196107,harris_2024,trump_2024,1,1
promises,-1.8321446538196107,harris_2024,trump_2024,1,1
tips,-1.8321446538196107,harris_2024,trump_2024,1,1
far,-1.8321446538196107,harris_2024,trump_2024,1,1
east,-1.8321446538196107,harris_2024,trump_2024,1,1
make our,-1.8321446538196107,harris_2024,trump_2024,1,1
vehicle,-1.8321446538196107,harris_2024,trump_2024,1,1
powerful,-1.8321446538196107,harris_2024,trump_2024,1,1
our country,-1.8321446538196107,harris_2024,trump_2024,1,1
violent offenders,-1.8321446538196107,harris_2024,trump_2024,1,1
strengthen and,-1.8321446538196107,harris_2024,trump_2024,1,1
american people,-1.8321446538196107,harris_2024,trump_2024,1,1
bringing,-1.8321446538196107,harris_2024,trump_2024,1,1
safe and,-1.8321446538196107,harris_2024,trump_2024,1,1
cuts for,-1.8321446538196107,harris_2024,trump_2024,1,1
the electric,-1.8321446538196107,harris_2024,trump_2024,1,1
electric,-1.8321446538196107,harris_2024,trump_2024,1,1
america,-1.7088034054198347,harris_2024,trump_2024,20,4
safe,-1.6308132886188378,harris_2024,trump_2024,7,2
foreign,-1.5494430318703762,harris_2024,trump_2024,2,1
any,-1.5494430318703762,harris_2024,trump_2024,2,1
into,-1.5494430318703762,harris_2024,trump_2024,2,1
defense,-1.5494430318703762,harris_2024,trump_2024,2,1
and protect,-1.5494430318703762,harris_2024,trump_2024,2,1
epidemic,-1.5494430318703762,harris_2024,trump_2024,2,1
day,-1.5494430318703762,harris_2024,trump_2024,2,1
of women,-1.5494430318703762,harris_2024,trump_2024,2,1
tax cuts,-1.5494430318703762,harris_2024,trump_2024,2,1
tax on,-1.5494430318703762,harris_2024,trump_2024,2,1
workers and,-1.5494430318703762,harris_2024,trump_2024,2,1
to keep,-1.5494430318703762,harris_2024,trump_2024,2,1
cancel,-1.5494430318703762,harris_2024,trump_2024,2,1
funding for,-1.5494430318703762,harris_2024,trump_2024,2,1
cities,-1.5494430318703762,harris_2024,trump_2024,2,1
the border,-1.5494430318703762,harris_2024,trump_2024,2,1
without,-1.5494430318703762,harris_2024,trump_2024,2,1
end,-1.4844440639528305,harris_2024,trump_2024,8,2
cut,-1.4844440639528305,harris_2024,trump_2024,8,2
in the,-1.3912475025434077,harris_2024,trump_2024,16,3
and make,-1.379370456954214,harris_2024,trump_2024,0,2
the migrant,-1.379370456954214,harris_2024,trump_2024,0,2
freedom of,-1.379370456954214,harris_2024,trump_2024,0,2
great,-1.379370456954214,harris_2024,trump_2024,0,2
stop the,-1.379370456954214,harris_2024,trump_2024,0,2
migrant,-1.379370456954214,harris_2024,trump_2024,0,2
as the,-1.29215680129899,harris_2024,trump_2024,3,1
pro,-1.29215680129899,harris_2024,trump_2024,3,1
military,-1.29215680129899,harris_2024,trump_2024,3,1
out of,-1.29215680129899,harris_2024,trump_2024,3,1
the right,-1.29215680129899,harris_2024,trump_2024,3,1
secure our,-1.29215680129899,harris_2024,trump_2024,3,1
three,-1.29215680129899,harris_2024,trump_2024,3,1
violence and,-1.29215680129899,harris_2024,trump_2024,3,1
the strongest,-1.29215680129899,harris_2024,trump_2024,3,1
rights and,-1.29215680129899,harris_2024,trump_2024,3,1
strongest,-1.29215680129899,harris_2024,trump_2024,3,1
the american,-1.29215680129899,harris_2024,trump_2024,3,1
restore,-1.29215680129899,harris_2024,trump_2024,3,1
in america,-1.29215680129899,harris_2024,trump_2024,3,1
them,-1.29215680129899,harris_2024,trump_2024,3,1
history,-1.29215680129899,harris_2024,trump_2024,3,1
same,-1.29215680129899,harris_2024,trump_2024,3,1
manufacturing,-1.29215680129899,harris_2024,trump_2024,3,1
missile defense,-1.2175577396341424,harris_2024,trump_2024,0,1
speech,-1.2175577396341424,harris_2024,trump_2024,0,1
and record,-1.2175577396341424,harris_2024,trump_2024,0,1
speech freedom,-1.2175577396341424,harris_2024,trump_2024,0,1
and patriotic,-1.2175577396341424,harris_2024,trump_2024,0,1
modernize,-1.2175577396341424,harris_2024,trump_2024,0,1
clean and,-1.2175577396341424,harris_2024,trump_2024,0,1
pro hamas,-1.2175577396341424,harris_2024,trump_2024,0,1
and our,-1.2175577396341424,harris_2024,trump_2024,0,1
and proof,-1.2175577396341424,harris_2024,trump_2024,0,1
modernize our,-1.2175577396341424,harris_2024,trump_2024,0,1
producer,-1.2175577396341424,harris_2024,trump_2024,0,1
producer in,-1.2175577396341424,harris_2024,trump_2024,0,1
and modernize,-1.2175577396341424,harris_2024,trump_2024,0,1
and most,-1.2175577396341424,harris_2024,trump_2024,0,1
and no,-1.2175577396341424,harris_2024,trump_2024,0,1
and lock,-1.2175577396341424,harris_2024,trump_2024,0,1
beautiful again,-1.2175577396341424,harris_2024,trump_2024,0,1
middle east,-1.2175577396341424,harris_2024,trump_2024,0,1
college campuses,-1.2175577396341424,harris_2024,trump_2024,0,1
and burdensome,-1.2175577396341424,harris_2024,trump_2024,0,1
and beautiful,-1.2175577396341424,harris_2024,trump_2024,0,1
and bear,-1.2175577396341424,harris_2024,trump_2024,0,1
sexual or,-1.2175577396341424,harris_2024,trump_2024,0,1
sexual,-1.2175577396341424,harris_2024,trump_2024,0,1
in europe,-1.2175577396341424,harris_2024,trump_2024,0,1
pushing critical,-1.2175577396341424,harris_2024,trump_2024,0,1
