term,log_odds,corpus 1,corpus 2,count 1,count 2
stop,-3.0712382305295876,harris_2024,trump_2024,1,3
make america,-3.0712382305295876,harris_2024,trump_2024,1,3
world,-2.827305685644029,harris_2024,trump_2024,8,4
including,-2.684948682368104,harris_2024,trump_2024,9,4
cuts,-2.436593500611651,harris_2024,trump_2024,2,2
country,-2.2246980200953215,harris_2024,trump_2024,3,2
make,-2.1773271791740862,harris_2024,trump_2024,13,4
making,-2.013035361188734,harris_2024,trump_2024,4,2
political,-1.7426083203948302,harris_2024,trump_2024,1,1
gang,-1.7426083203948302,harris_2024,trump_2024,1,1
protect social,-1.7426083203948302,harris_2024,trump_2024,1,1
dollar,-1.7426083203948302,harris_2024,trump_2024,1,1
american people,-1.7426083203948302,harris_2024,trump_2024,1,1
electric,-1.7426083203948302,harris_2024,trump_2024,1,1
electric vehicle,-1.7426083203948302,harris_2024,trump_2024,1,1
bringing,-1.7426083203948302,harris_2024,trump_2024,1,1
violent offenders,-1.7426083203948302,harris_2024,trump_2024,1,1
president trump,-1.7426083203948302,harris_2024,trump_2024,1,1
tips,-1.7426083203948302,harris_2024,trump_2024,1,1
pushing,-1.7426083203948302,harris_2024,trump_2024,1,1
voter,-1.7426083203948302,harris_2024,trump_2024,1,1
vehicle,-1.7426083203948302,harris_2024,trump_2024,1,1
cartels,-1.7426083203948302,harris_2024,trump_2024,1,1
beautiful,-1.7426083203948302,harris_2024,trump_2024,1,1
unite,-1.7426083203948302,harris_2024,trump_2024,1,1
far,-1.7426083203948302,harris_2024,trump_2024,1,1
powerful,-1.7426083203948302,harris_2024,trump_2024,1,1
american history,-1.7426083203948302,harris_2024,trump_2024,1,1
offenders,-1.7426083203948302,harris_2024,trump_2024,1,1
citizenship,-1.7426083203948302,harris_2024,trump_2024,1,1
regulations,-1.7426083203948302,harris_2024,trump_2024,1,1
regulations cut,-1.7426083203948302,harris_2024,trump_2024,1,1
war,-1.7426083203948302,harris_2024,trump_2024,1,1
promises,-1.7426083203948302,harris_2024,trump_2024,1,1
east,-1.7426083203948302,harris_2024,trump_2024,1,1
america,-1.4829362267443051,harris_2024,trump_2024,20,4
safe,-1.4753303661878083,harris_2024,trump_2024,7,2
foreign,-1.4464175416154108,harris_2024,trump_2024,2,1
cities,-1.4464175416154108,harris_2024,trump_2024,2,1
cancel,-1.4464175416154108,harris_2024,trump_2024,2,1
defense,-1.4464175416154108,harris_2024,trump_2024,2,1
tax cuts,-1.4464175416154108,harris_2024,trump_2024,2,1
day,-1.4464175416154108,harris_2024,trump_2024,2,1
epidemic,-1.4464175416154108,harris_2024,trump_2024,2,1
stop migrant,-1.3522162553044634,harris_2024,trump_2024,0,2
great,-1.3522162553044634,harris_2024,trump_2024,0,2
migrant,-1.3522162553044634,harris_2024,trump_2024,0,2
cut,-1.3266534624404596,harris_2024,trump_2024,8,2
end,-1.3266534624404596,harris_2024,trump_2024,8,2
lock violent,-1.1905760839482316,harris_2024,trump_2024,0,1
tips defend,-1.1905760839482316,harris_2024,trump_2024,0,1
great seal,-1.1905760839482316,harris_2024,trump_2024,0,1
beautiful strengthen,-1.1905760839482316,harris_2024,trump_2024,0,1
make college,-1.1905760839482316,harris_2024,trump_2024,0,1
lock,-1.1905760839482316,harris_2024,trump_2024,0,1
theory,-1.1905760839482316,harris_2024,trump_2024,0,1
end inflation,-1.1905760839482316,harris_2024,trump_2024,0,1
people stop,-1.1905760839482316,harris_2024,trump_2024,0,1
rights fundamental,-1.1905760839482316,harris_2024,trump_2024,0,1
end weaponization,-1.1905760839482316,harris_2024,trump_2024,0,1
government american,-1.1905760839482316,harris_2024,trump_2024,0,1
content,-1.1905760839482316,harris_2024,trump_2024,0,1
peace,-1.1905760839482316,harris_2024,trump_2024,0,1
content children,-1.1905760839482316,harris_2024,trump_2024,0,1
patriotic secure,-1.1905760839482316,harris_2024,trump_2024,0,1
patriotic,-1.1905760839482316,harris_2024,trump_2024,0,1
energy producer,-1.1905760839482316,harris_2024,trump_2024,0,1
theory radical,-1.1905760839482316,harris_2024,trump_2024,0,1
great iron,-1.1905760839482316,harris_2024,trump_2024,0,1
peace europe,-1.1905760839482316,harris_2024,trump_2024,0,1
hamas,-1.1905760839482316,harris_2024,trump_2024,0,1
bear,-1.1905760839482316,harris_2024,trump_2024,0,1
trump core,-1.1905760839482316,harris_2024,trump_2024,0,1
political content,-1.1905760839482316,harris_2024,trump_2024,0,1
arms prevent,-1.1905760839482316,harris_2024,trump_2024,0,1
arms,-1.1905760839482316,harris_2024,trump_2024,0,1
turn,-1.1905760839482316,harris_2024,trump_2024,0,1
turn united,-1.1905760839482316,harris_2024,trump_2024,0,1
