term,log_odds,corpus 1,corpus 2,count 1,count 2
congress,-2.7830323393802363,republican_2024,republican_2016,1,82
state,-2.7040737729168556,republican_2024,republican_2016,1,76
public,-2.6889146329461378,republican_2024,republican_2016,2,70
federal,-2.453468269656714,republican_2024,republican_2016,13,135
administration,-2.420804153619383,republican_2024,republican_2016,5,78
government,-2.294880351927699,republican_2024,republican_2016,16,149
human,-1.9840432585790342,republican_2024,republican_2016,1,38
oppose,-1.9824251636465124,republican_2024,republican_2016,2,43
advance,-1.8376667043996289,republican_2024,republican_2016,1,33
communities,-1.7728417275959591,republican_2024,republican_2016,1,31
based,-1.7609413761592518,republican_2024,republican_2016,3,44
amendment,-1.7609413761592518,republican_2024,republican_2016,3,44
business,-1.7388562852891285,republican_2024,republican_2016,1,30
need,-1.7261228197292582,republican_2024,republican_2016,2,36
institutions,-1.703729136725771,republican_2024,republican_2016,1,29
national,-1.684116294431306,republican_2024,republican_2016,9,83
act,-1.6761146268640872,republican_2024,republican_2016,4,49
continue,-1.6673815118504347,republican_2024,republican_2016,1,28
religious,-1.6348849402439356,republican_2024,republican_2016,4,48
market,-1.6297262503811702,republican_2024,republican_2016,1,27
citizens,-1.6297262503811702,republican_2024,republican_2016,1,27
time,-1.6010113725467123,republican_2024,republican_2016,2,33
financial,-1.5906665724488003,republican_2024,republican_2016,1,26
law,-1.5183739580948392,republican_2024,republican_2016,8,72
abortion,-1.5078896896815865,republican_2024,republican_2016,1,24
just,-1.5078896896815865,republican_2024,republican_2016,1,24
program,-1.5078896896815865,republican_2024,republican_2016,1,24
believe,-1.4643420352667804,republican_2024,republican_2016,2,30
department,-1.4639161604853186,republican_2024,republican_2016,1,23
americans,-1.4411919261033432,republican_2024,republican_2016,6,57
sector,-1.4180209023019563,republican_2024,republican_2016,1,22
best,-1.4158361049768815,republican_2024,republican_2016,2,29
local,-1.4158361049768815,republican_2024,republican_2016,2,29
investment,-1.37003016870062,republican_2024,republican_2016,1,21
court,-1.37003016870062,republican_2024,republican_2016,1,21
given,-1.37003016870062,republican_2024,republican_2016,1,21
federal government,-1.3656926763002357,republican_2024,republican_2016,2,28
discrimination,-1.3197457423950913,republican_2024,republican_2016,1,20
rule,-1.3197457423950913,republican_2024,republican_2016,1,20
create,-1.3197457423950913,republican_2024,republican_2016,1,20
nuclear,-1.3197457423950913,republican_2024,republican_2016,1,20
opportunity,-1.3197457423950913,republican_2024,republican_2016,1,20
marriage,-1.2669401465669934,republican_2024,republican_2016,1,19
businesses,-1.2669401465669934,republican_2024,republican_2016,1,19
change,-1.2669401465669934,republican_2024,republican_2016,1,19
development,-1.2600312739376074,republican_2024,republican_2016,2,26
current,-1.2394382742951686,republican_2024,republican_2016,0,65
work,-1.2223242815629776,republican_2024,republican_2016,4,39
growth,-1.2223242815629776,republican_2024,republican_2016,4,39
rights,-1.2159942310805316,republican_2024,republican_2016,11,83
needs,-1.2113506321343588,republican_2024,republican_2016,1,18
long,-1.2082889613707968,republican_2024,republican_2016,3,32
family,-1.2042509139784732,republican_2024,republican_2016,2,25
private,-1.2019391514561153,republican_2024,republican_2016,0,55
health,-1.161841538249145,republican_2024,republican_2016,0,46
constitution,-1.1536974104242588,republican_2024,republican_2016,3,31
century,-1.1526715476148945,republican_2024,republican_2016,1,17
platform,-1.1526715476148945,republican_2024,republican_2016,1,17
criminal,-1.1526715476148945,republican_2024,republican_2016,1,17
treatment,-1.1526715476148945,republican_2024,republican_2016,1,17
israel,-1.1526715476148945,republican_2024,republican_2016,1,17
research,-1.1526715476148945,republican_2024,republican_2016,1,17
today,-1.1463045507800536,republican_2024,republican_2016,2,24
urge,-1.1304875262495597,republican_2024,republican_2016,0,40
especially,-1.1005364513773683,republican_2024,republican_2016,0,35
resources,-1.0974315825626062,republican_2024,republican_2016,3,30
constitutional,-1.0940351228339327,republican_2024,republican_2016,0,34
important,-1.0905445433639829,republican_2024,republican_2016,1,16
money,-1.0905445433639829,republican_2024,republican_2016,1,16
does,-1.0905445433639829,republican_2024,republican_2016,1,16
respect,-1.0860206079021315,republican_2024,republican_2016,2,23
current administration,-1.0804388128005609,republican_2024,republican_2016,0,32
legislation,-1.073318816968092,republican_2024,republican_2016,0,31
encourage,-1.0659655395916234,republican_2024,republican_2016,0,30
service,-1.0659655395916234,republican_2024,republican_2016,0,30
