term,log_odds,corpus 1,corpus 2,count 1,count 2
democrats,-10.793580219425227,democrat_2024,democrat_2020,196,469
color,-5.332238482844199,democrat_2024,democrat_2020,8,58
covid,-5.317814594697376,democrat_2024,democrat_2020,6,57
policy,-5.176758858566946,democrat_2024,democrat_2020,24,78
health,-5.105776044213771,democrat_2024,democrat_2020,166,266
student,-5.06577105586873,democrat_2024,democrat_2020,42,103
school,-4.9454186841700025,democrat_2024,democrat_2020,49,111
system,-4.678493969739707,democrat_2024,democrat_2020,45,101
worker,-4.580959164735867,democrat_2024,democrat_2020,78,144
society,-4.041427954202449,democrat_2024,democrat_2020,4,33
education,-3.9623918434037786,democrat_2024,democrat_2020,42,86
need,-3.7517671941099624,democrat_2024,democrat_2020,8,34
use,-3.6042796788734703,democrat_2024,democrat_2020,15,43
pandemic,-3.4542776141870166,democrat_2024,democrat_2020,4,25
gender,-3.3314164537262396,democrat_2024,democrat_2020,11,34
income,-3.3091604301478035,democrat_2024,democrat_2020,42,77
disparity,-3.2451352904549005,democrat_2024,democrat_2020,5,24
support,-3.1965845339037027,democrat_2024,democrat_2020,31,61
native,-3.095061902434906,democrat_2024,democrat_2020,6,24
recession,-3.088362862261912,democrat_2024,democrat_2020,4,21
measure,-3.0260541639573613,democrat_2024,democrat_2020,1,21
party,-3.0149596426028955,democrat_2024,democrat_2020,3,19
obama,-3.0149596426028955,democrat_2024,democrat_2020,3,19
diplomacy,-2.9865455879147453,democrat_2024,democrat_2020,4,20
right,-2.9736287581594527,democrat_2024,democrat_2020,73,111
quality,-2.943078140224215,democrat_2024,democrat_2020,25,50
science,-2.9364397601923615,democrat_2024,democrat_2020,5,21
disability,-2.9005300263704923,democrat_2024,democrat_2020,43,73
war,-2.879366977841025,democrat_2024,democrat_2020,14,34
outcome,-2.8122236273346886,democrat_2024,democrat_2020,3,17
approach,-2.811508394019788,democrat_2024,democrat_2020,9,26
diversity,-2.8114532817431326,democrat_2024,democrat_2020,2,16
service,-2.789267490961607,democrat_2024,democrat_2020,62,95
people,-2.7040743613458544,democrat_2024,democrat_2020,156,202
transparency,-2.7021532617745248,democrat_2024,democrat_2020,3,16
citizen,-2.6960469101548297,democrat_2024,democrat_2020,9,25
substance,-2.642072737207202,democrat_2024,democrat_2020,6,20
disorder,-2.5853766668601055,democrat_2024,democrat_2020,3,15
evidence,-2.5110686692012827,democrat_2024,democrat_2020,1,13
racism,-2.5110686692012827,democrat_2024,democrat_2020,1,13
provision,-2.4998613875790916,democrat_2024,democrat_2020,2,13
institution,-2.4839281017042247,democrat_2024,democrat_2020,13,29
area,-2.464857630260501,democrat_2024,democrat_2020,16,33
transportation,-2.449454866732185,democrat_2024,democrat_2020,7,20
partner,-2.3876689892615155,democrat_2024,democrat_2020,21,39
democrat,-2.3848075535630207,democrat_2024,democrat_2020,6,18
orientation,-2.380284570305412,democrat_2024,democrat_2020,2,12
rights,-2.342146436694466,democrat_2024,democrat_2020,11,25
childhood,-2.3312812236813185,democrat_2024,democrat_2020,1,11
detention,-2.3312812236813185,democrat_2024,democrat_2020,1,11
educator,-2.3195707082733423,democrat_2024,democrat_2020,5,16
century,-2.291517371969163,democrat_2024,democrat_2020,12,26
status,-2.268259773536529,democrat_2024,democrat_2020,10,23
identity,-2.253589548043553,democrat_2024,democrat_2020,4,14
option,-2.2523633526700486,democrat_2024,democrat_2020,8,20
efficiency,-2.250766266692349,democrat_2024,democrat_2020,2,11
effort,-2.248326164310467,democrat_2024,democrat_2020,38,59
aids,-2.2287265819193762,democrat_2024,democrat_2020,1,10
standard,-2.2187327649038195,democrat_2024,democrat_2020,23,40
voter,-2.1856452797263954,democrat_2024,democrat_2020,3,12
retirement,-2.177984381402309,democrat_2024,democrat_2020,7,18
resource,-2.172294310967378,democrat_2024,democrat_2020,21,37
treatment,-2.1413969119839495,democrat_2024,democrat_2020,22,38
asset,-2.1154433477538817,democrat_2024,democrat_2020,1,9
disabilities,-2.1154433477538817,democrat_2024,democrat_2020,1,9
disease,-2.1137505801340897,democrat_2024,democrat_2020,8,19
race,-2.1137505801340897,democrat_2024,democrat_2020,8,19
unit,-2.1095797894761783,democrat_2024,democrat_2020,2,10
united,-2.0970412900969655,democrat_2024,democrat_2020,72,97
government,-2.0547174145066087,democrat_2024,democrat_2020,44,64
tool,-2.0340738429121066,democrat_2024,democrat_2020,15,28
population,-2.0328241689079642,democrat_2024,democrat_2020,7,17
oversight,-2.0318943829192473,democrat_2024,democrat_2020,3,11
broadband,-2.0318943829192473,democrat_2024,democrat_2020,3,11
tribe,-2.0318943829192473,democrat_2024,democrat_2020,3,11
testing,-1.9889994338135493,democrat_2024,democrat_2020,1,8
setting,-1.9889994338135493,democrat_2024,democrat_2020,1,8
bankruptcy,-1.9889994338135493,democrat_2024,democrat_2020,1,8
charter,-1.9889994338135493,democrat_2024,democrat_2020,1,8
waste,-1.9889994338135493,democrat_2024,democrat_2020,1,8
danger,-1.9889994338135493,democrat_2024,democrat_2020,1,8
resort,-1.9889994338135493,democrat_2024,democrat_2020,1,8
islander,-1.9889994338135493,democrat_2024,democrat_2020,1,8
mechanism,-1.9889994338135493,democrat_2024,democrat_2020,1,8
employer,-1.969183588101794,democrat_2024,democrat_2020,8,18
scientist,-1.9545209922488065,democrat_2024,democrat_2020,2,9
priority,-1.9492772504190556,democrat_2024,democrat_2020,6,15
college,-1.9475777819798863,democrat_2024,democrat_2020,14,26
organization,-1.9452884150141958,democrat_2024,democrat_2020,4,12
force,-1.9250364351419504,democrat_2024,democrat_2020,18,31
crisis,-1.8786583925181355,democrat_2024,democrat_2020,28,43
latinos,-1.8651701256390816,democrat_2024,democrat_2020,3,10
official,-1.8651701256390816,democrat_2024,democrat_2020,3,10
indian,-1.8630560123441735,democrat_2024,democrat_2020,5,13
nations,-1.8571305786199133,democrat_2024,democrat_2020,10,20
gap,-1.8571305786199133,democrat_2024,democrat_2020,10,20
wastewater,-1.846050598826998,democrat_2024,democrat_2020,1,7
university,-1.846050598826998,democrat_2024,democrat_2020,1,7
address,-1.846050598826998,democrat_2024,democrat_2020,1,7
segregation,-1.846050598826998,democrat_2024,democrat_2020,1,7
revolution,-1.846050598826998,democrat_2024,democrat_2020,1,7
objective,-1.846050598826998,democrat_2024,democrat_2020,1,7
world,-1.8348401386887134,democrat_2024,democrat_2020,69,90
community,-1.8177383148958353,democrat_2024,democrat_2020,133,160
value,-1.8056596877919708,democrat_2024,democrat_2020,22,35
interest,-1.7949683287692477,democrat_2024,democrat_2020,27,41
facility,-1.7881551967914142,democrat_2024,democrat_2020,6,14
culture,-1.7827196447377163,democrat_2024,democrat_2020,2,8
property,-1.7827196447377163,democrat_2024,democrat_2020,2,8
man,-1.7742556917465673,democrat_2024,democrat_2020,4,11
caregiver,-1.7742556917465673,democrat_2024,democrat_2020,4,11
hiv,-1.7742556917465673,democrat_2024,democrat_2020,4,11
benefit,-1.7596382576963292,democrat_2024,democrat_2020,34,49
change,-1.7155171973532393,democrat_2024,democrat_2020,21,33
defense,-1.7096637244913715,democrat_2024,democrat_2020,10,19
contract,-1.6913346528162134,democrat_2024,democrat_2020,5,12
territory,-1.6913346528162134,democrat_2024,democrat_2020,5,12
district,-1.6913346528162134,democrat_2024,democrat_2020,5,12
carbon,-1.6913346528162134,democrat_2024,democrat_2020,5,12
space,-1.6832313052574597,democrat_2024,democrat_2020,3,9
ballot,-1.6832313052574597,democrat_2024,democrat_2020,3,9
operation,-1.6832313052574597,democrat_2024,democrat_2020,3,9
alaska,-1.681828912812404,democrat_2024,democrat_2020,1,6
relation,-1.681828912812404,democrat_2024,democrat_2020,1,6
being,-1.681828912812404,democrat_2024,democrat_2020,1,6
demand,-1.681828912812404,democrat_2024,democrat_2020,1,6
inequality,-1.681828912812404,democrat_2024,democrat_2020,1,6
speech,-1.681828912812404,democrat_2024,democrat_2020,1,6
learner,-1.681828912812404,democrat_2024,democrat_2020,1,6
contribution,-1.681828912812404,democrat_2024,democrat_2020,1,6
union,-1.649187214954728,democrat_2024,democrat_2020,19,30
risk,-1.645377950640938,democrat_2024,democrat_2020,15,25
wage,-1.6185445059675045,democrat_2024,democrat_2020,25,37
accountability,-1.6176312481402297,democrat_2024,democrat_2020,6,13
states,-1.6097558407153736,democrat_2024,democrat_2020,69,87
labor,-1.5954411721287178,democrat_2024,democrat_2020,21,32
hour,-1.5903504886560598,democrat_2024,democrat_2020,2,7
disclosure,-1.5903504886560598,democrat_2024,democrat_2020,2,7
vaccine,-1.5903504886560598,democrat_2024,democrat_2020,2,7
corps,-1.5903504886560598,democrat_2024,democrat_2020,2,7
lending,-1.5903504886560598,democrat_2024,democrat_2020,2,7
test,-1.5903504886560598,democrat_2024,democrat_2020,2,7
activity,-1.5903504886560598,democrat_2024,democrat_2020,2,7
victim,-1.5903504886560598,democrat_2024,democrat_2020,2,7
vote,-1.589762951426983,democrat_2024,democrat_2020,4,10
adult,-1.589762951426983,democrat_2024,democrat_2020,4,10
homeownership,-1.589762951426983,democrat_2024,democrat_2020,4,10
program,-1.5825635614351519,democrat_2024,democrat_2020,83,102
agreement,-1.5792883694292725,democrat_2024,democrat_2020,13,22
power,-1.5707588007459317,democrat_2024,democrat_2020,22,33
emergency,-1.5563643103388123,democrat_2024,democrat_2020,10,18
end,-1.5524157663206206,democrat_2024,democrat_2020,7,14
tribal,-1.5425445415689314,democrat_2024,democrat_2020,14,23
prison,-1.494569980667203,democrat_2024,democrat_2020,8,15
compensation,-1.4892218308616445,democrat_2024,democrat_2020,1,5
bar,-1.4892218308616445,democrat_2024,democrat_2020,1,5
band,-1.4892218308616445,democrat_2024,democrat_2020,1,5
drinking,-1.4892218308616445,democrat_2024,democrat_2020,1,5
injustice,-1.4892218308616445,democrat_2024,democrat_2020,1,5
island,-1.4892218308616445,democrat_2024,democrat_2020,1,5
governor,-1.4892218308616445,democrat_2024,democrat_2020,1,5
network,-1.4892218308616445,democrat_2024,democrat_2020,1,5
upgrade,-1.4892218308616445,democrat_2024,democrat_2020,1,5
stress,-1.4892218308616445,democrat_2024,democrat_2020,1,5
participation,-1.4892218308616445,democrat_2024,democrat_2020,1,5
usps,-1.4892218308616445,democrat_2024,democrat_2020,1,5
freight,-1.4892218308616445,democrat_2024,democrat_2020,1,5
regime,-1.4892218308616445,democrat_2024,democrat_2020,1,5
arm,-1.4892218308616445,democrat_2024,democrat_2020,1,5
mission,-1.4892218308616445,democrat_2024,democrat_2020,1,5
slavery,-1.4892218308616445,democrat_2024,democrat_2020,1,5
peer,-1.4892218308616445,democrat_2024,democrat_2020,1,5
waiting,-1.4892218308616445,democrat_2024,democrat_2020,1,5
expert,-1.483233949353658,democrat_2024,democrat_2020,3,8
mail,-1.483233949353658,democrat_2024,democrat_2020,3,8
international,-1.483233949353658,democrat_2024,democrat_2020,3,8
management,-1.483233949353658,democrat_2024,democrat_2020,3,8
treaty,-1.483233949353658,democrat_2024,democrat_2020,3,8
case,-1.4366456145964337,democrat_2024,democrat_2020,6,12
transgender,-1.4366456145964337,democrat_2024,democrat_2020,6,12
abuse,-1.4366456145964337,democrat_2024,democrat_2020,6,12
decision,-1.4336016661256086,democrat_2024,democrat_2020,13,21
funding,-1.42402772525271,democrat_2024,democrat_2020,53,67
wealth,-1.3993371789575655,democrat_2024,democrat_2020,14,22
economy,-1.3974178458940198,democrat_2024,democrat_2020,56,70
employee,-1.3896953879759288,democrat_2024,democrat_2020,4,9
inequity,-1.3896953879759288,democrat_2024,democrat_2020,4,9
state,-1.380015635331119,democrat_2024,democrat_2020,69,84
pipeline,-1.3721751474841701,democrat_2024,democrat_2020,2,6
deployment,-1.3721751474841701,democrat_2024,democrat_2020,2,6
creation,-1.3721751474841701,democrat_2024,democrat_2020,2,6
matter,-1.3721751474841701,democrat_2024,democrat_2020,2,6
midst,-1.3721751474841701,democrat_2024,democrat_2020,2,6
msi,-1.3721751474841701,democrat_2024,democrat_2020,2,6
discovery,-1.3721751474841701,democrat_2024,democrat_2020,2,6
democratic,-1.3721751474841701,democrat_2024,democrat_2020,2,6
farmworker,-1.3721751474841701,democrat_2024,democrat_2020,2,6
retiree,-1.3721751474841701,democrat_2024,democrat_2020,2,6
reform,-1.3551619743434349,democrat_2024,democrat_2020,11,18
campaign,-1.310741086461189,democrat_2024,democrat_2020,5,10
language,-1.2946677614587412,democrat_2024,democrat_2020,0,16
employment,-1.2830799601950427,democrat_2024,democrat_2020,13,20
barrier,-1.2729375355131827,democrat_2024,democrat_2020,9,15
sector,-1.2624949896739908,democrat_2024,democrat_2020,19,27
staff,-1.261508265141146,democrat_2024,democrat_2020,3,7
representation,-1.261508265141146,democrat_2024,democrat_2020,3,7
development,-1.2604122875654413,democrat_2024,democrat_2020,33,43
mistake,-1.2569837636624612,democrat_2024,democrat_2020,1,4
workers,-1.2569837636624612,democrat_2024,democrat_2020,1,4
component,-1.2569837636624612,democrat_2024,democrat_2020,1,4
scale,-1.2569837636624612,democrat_2024,democrat_2020,1,4
liberty,-1.2569837636624612,democrat_2024,democrat_2020,1,4
concern,-1.2569837636624612,democrat_2024,democrat_2020,1,4
spread,-1.2569837636624612,democrat_2024,democrat_2020,1,4
whistleblower,-1.2569837636624612,democrat_2024,democrat_2020,1,4
indigenous,-1.2569837636624612,democrat_2024,democrat_2020,1,4
sentence,-1.2569837636624612,democrat_2024,democrat_2020,1,4
location,-1.2569837636624612,democrat_2024,democrat_2020,1,4
human,-1.2569837636624612,democrat_2024,democrat_2020,1,4
consultation,-1.2569837636624612,democrat_2024,democrat_2020,1,4
exchange,-1.2569837636624612,democrat_2024,democrat_2020,1,4
clemency,-1.2569837636624612,democrat_2024,democrat_2020,1,4
usda,-1.2569837636624612,democrat_2024,democrat_2020,1,4
animal,-1.2569837636624612,democrat_2024,democrat_2020,1,4
exposure,-1.2569837636624612,democrat_2024,democrat_2020,1,4
passenger,-1.2569837636624612,democrat_2024,democrat_2020,1,4
access,-1.2549866257039153,democrat_2024,democrat_2020,64,77
land,-1.2518384443120705,democrat_2024,democrat_2020,26,35
response,-1.2516586513752916,democrat_2024,democrat_2020,14,21
immigration,-1.2355532975658334,democrat_2024,democrat_2020,27,36
