term,log_odds,corpus 1,corpus 2,count 1,count 2
republicans,-12.886542018991264,democrat_2024,republican_2024,27,71
american,-11.503375454722951,democrat_2024,republican_2024,43,61
economic,-6.162695638262146,democrat_2024,republican_2024,10,17
republican,-5.884895708230426,democrat_2024,republican_2024,6,15
party,-5.459608106964955,democrat_2024,republican_2024,3,14
inflation,-5.1742341359164765,democrat_2024,republican_2024,16,15
great,-5.144384731072086,democrat_2024,republican_2024,2,14
peace,-4.817478528938046,democrat_2024,republican_2024,11,12
federal,-4.740085081241788,democrat_2024,republican_2024,2,11
policy,-4.704864739857737,democrat_2024,republican_2024,24,16
education,-4.6066861966093136,democrat_2024,republican_2024,42,21
trade,-4.288006640368749,democrat_2024,republican_2024,13,11
jobs,-4.201078727029752,democrat_2024,republican_2024,5,8
workers,-4.184988834162206,democrat_2024,republican_2024,1,11
commitment,-4.178143613575361,democrat_2024,republican_2024,17,12
foreign,-4.074110854814512,democrat_2024,republican_2024,1,10
first,-4.021399736684583,democrat_2024,republican_2024,3,7
strength,-3.976278864224191,democrat_2024,republican_2024,7,8
manufacturing,-3.9498617736940678,democrat_2024,republican_2024,13,10
rights,-3.834071504879665,democrat_2024,republican_2024,11,9
illegal,-3.712267276388155,democrat_2024,republican_2024,2,6
base,-3.7061800209734734,democrat_2024,republican_2024,3,6
invasion,-3.7061800209734734,democrat_2024,republican_2024,3,6
chapter,-3.6343732792961774,democrat_2024,republican_2024,19,11
healthcare,-3.612028962478588,democrat_2024,republican_2024,4,6
defense,-3.586262658756536,democrat_2024,republican_2024,10,8
production,-3.4811950755000365,democrat_2024,republican_2024,5,6
liberty,-3.4706381944467055,democrat_2024,republican_2024,1,6
veterans,-3.339238567149644,democrat_2024,republican_2024,3,5
military,-3.3313638869468005,democrat_2024,republican_2024,22,11
stability,-3.320632023524445,democrat_2024,republican_2024,9,7
speech,-3.2520457318950244,democrat_2024,republican_2024,1,5
critical,-3.2520457318950244,democrat_2024,republican_2024,1,5
government,-3.1209000253551507,democrat_2024,republican_2024,44,16
border,-3.0695769199350065,democrat_2024,republican_2024,49,17
parental,-2.9831524802893283,democrat_2024,republican_2024,1,4
gang,-2.9831524802893283,democrat_2024,republican_2024,1,4
free,-2.9831524802893283,democrat_2024,republican_2024,1,4
religious,-2.9831524802893283,democrat_2024,republican_2024,1,4
regulation,-2.902398257423267,democrat_2024,republican_2024,3,4
democrat,-2.880858261774306,democrat_2024,republican_2024,6,5
future,-2.7837529114310087,democrat_2024,republican_2024,24,10
wall,-2.7276469834157924,democrat_2024,republican_2024,4,4
washington,-2.7276469834157924,democrat_2024,republican_2024,4,4
pillar,-2.636275548835353,democrat_2024,republican_2024,1,3
values,-2.636275548835353,democrat_2024,republican_2024,1,3
love,-2.636275548835353,democrat_2024,republican_2024,1,3
independent,-2.5619107276380966,democrat_2024,republican_2024,2,3
founding,-2.5619107276380966,democrat_2024,republican_2024,2,3
spending,-2.5619107276380966,democrat_2024,republican_2024,2,3
creation,-2.5619107276380966,democrat_2024,republican_2024,2,3
low,-2.5426883522554418,democrat_2024,republican_2024,5,4
social,-2.512514317592577,democrat_2024,republican_2024,19,8
history,-2.39726442579028,democrat_2024,republican_2024,37,12
constitution,-2.366595814033392,democrat_2024,republican_2024,3,3
space,-2.366595814033392,democrat_2024,republican_2024,3,3
america,-2.2622623684561263,democrat_2024,republican_2024,135,31
good,-2.2095876896189752,democrat_2024,republican_2024,14,6
