term,log_odds,corpus 1,corpus 2,count 1,count 2
kamala,-6.211317929135933,harris_2024,harris_2020,10,213
community,-3.719014748946372,harris_2024,harris_2020,8,92
people,-2.7249246727181258,harris_2024,harris_2020,7,61
health,-2.664927903161696,harris_2024,harris_2020,9,68
justice,-2.6587072714811755,harris_2024,harris_2020,4,47
country,-2.4190624615099905,harris_2024,harris_2020,5,46
program,-2.30795223559746,harris_2024,harris_2020,6,48
family,-2.0367633996359684,harris_2024,harris_2020,16,82
access,-2.012713201592363,harris_2024,harris_2020,3,30
disability,-1.9016026327824558,harris_2024,harris_2020,2,24
teacher,-1.8684345730607221,harris_2024,harris_2020,1,20
plan,-1.8267605707869117,harris_2024,harris_2020,11,59
us,-1.7082236995471363,harris_2024,harris_2020,2,21
percent,-1.6985901223258948,harris_2024,harris_2020,1,17
company,-1.637839331415063,harris_2024,harris_2020,2,20
today,-1.6353515665685454,harris_2024,harris_2020,1,16
system,-1.6073269177988043,harris_2024,harris_2020,6,36
black,-1.5681175018508429,harris_2024,harris_2020,1,15
relief,-1.5681175018508429,harris_2024,harris_2020,1,15
school,-1.5640230725648856,harris_2024,harris_2020,2,19
infrastructure,-1.5640230725648856,harris_2024,harris_2020,2,19
income,-1.4864308538145754,harris_2024,harris_2020,2,18
corporation,-1.4708834899533203,harris_2024,harris_2020,3,22
action,-1.464368700868898,harris_2024,harris_2020,5,30
housing,-1.464368700868898,harris_2024,harris_2020,5,30
right,-1.4637272984875371,harris_2024,harris_2020,10,49
career,-1.4194264926499314,harris_2024,harris_2020,1,13
policy,-1.3906159863451535,harris_2024,harris_2020,3,21
pacific,-1.3365378586501053,harris_2024,harris_2020,1,12
assault,-1.3365378586501053,harris_2024,harris_2020,1,12
money,-1.3365378586501053,harris_2024,harris_2020,1,12
priority,-1.3365378586501053,harris_2024,harris_2020,1,12
household,-1.3182635838527557,harris_2024,harris_2020,2,16
united,-1.3137048736959336,harris_2024,harris_2020,5,28
apia,-1.2594476863818418,harris_2024,harris_2020,0,41
end,-1.2467098891028934,harris_2024,harris_2020,1,11
employment,-1.2467098891028934,harris_2024,harris_2020,1,11
wealth,-1.2467098891028934,harris_2024,harris_2020,1,11
group,-1.2467098891028934,harris_2024,harris_2020,1,11
congress,-1.2467098891028934,harris_2024,harris_2020,1,11
citizenship,-1.2467098891028934,harris_2024,harris_2020,1,11
barrier,-1.2467098891028934,harris_2024,harris_2020,1,11
labor,-1.2467098891028934,harris_2024,harris_2020,1,11
states,-1.234765335302709,harris_2024,harris_2020,5,27
water,-1.2266840978338454,harris_2024,harris_2020,2,15
student,-1.2231492506386685,harris_2024,harris_2020,4,23
child,-1.2069240095732492,harris_2024,harris_2020,10,45
immigrant,-1.1653177705714362,harris_2024,harris_2020,0,27
need,-1.1487018069201387,harris_2024,harris_2020,1,10
part,-1.1292861311578817,harris_2024,harris_2020,2,14
fight,-1.1292861311578817,harris_2024,harris_2020,2,14
value,-1.1292861311578817,harris_2024,harris_2020,2,14
prescription,-1.1292861311578817,harris_2024,harris_2020,2,14
discrimination,-1.1292861311578817,harris_2024,harris_2020,2,14
language,-1.1292306087269244,harris_2024,harris_2020,0,23
pay,-1.1192293725834903,harris_2024,harris_2020,0,22
point,-1.0862533321736625,harris_2024,harris_2020,0,19
gap,-1.0612424506907228,harris_2024,harris_2020,0,17
agency,-1.0612424506907228,harris_2024,harris_2020,0,17
kit,-1.047612387434902,harris_2024,harris_2020,0,16
reform,-1.0466301529470723,harris_2024,harris_2020,4,21
hbcu,-1.0409140202545597,harris_2024,harris_2020,1,9
individual,-1.0409140202545597,harris_2024,harris_2020,1,9
weapon,-1.0409140202545597,harris_2024,harris_2020,1,9
rape,-1.0331040322359337,harris_2024,harris_2020,0,15
equality,-1.0253056815343542,harris_2024,harris_2020,2,13
backlog,-1.017596088780959,harris_2024,harris_2020,0,14
dreamer,-1.017596088780959,harris_2024,harris_2020,0,14
resource,-1.017596088780959,harris_2024,harris_2020,0,14
color,-1.0009402765697086,harris_2024,harris_2020,0,13
disparity,-0.9634013722950883,harris_2024,harris_2020,0,11
datum,-0.9634013722950883,harris_2024,harris_2020,0,11
truth,-0.9634013722950883,harris_2024,harris_2020,0,11
native,-0.9634013722950883,harris_2024,harris_2020,0,11
fund,-0.9634013722950883,harris_2024,harris_2020,0,11
government,-0.9527796658292643,harris_2024,harris_2020,4,20
visa,-0.9419880265769119,harris_2024,harris_2020,0,10
refugee,-0.9419880265769119,harris_2024,harris_2020,0,10
protection,-0.9284205524932225,harris_2024,harris_2020,3,16
education,-0.9280448499219822,harris_2024,harris_2020,6,27
immigration,-0.9280448499219822,harris_2024,harris_2020,6,27
treatment,-0.921237597722912,harris_2024,harris_2020,1,8
assistance,-0.9183199922025423,harris_2024,harris_2020,0,9
lep,-0.9183199922025423,harris_2024,harris_2020,0,9
development,-0.9183199922025423,harris_2024,harris_2020,0,9
example,-0.9183199922025423,harris_2024,harris_2020,0,9
resident,-0.9183199922025423,harris_2024,harris_2020,0,9
cent,-0.8918657765476719,harris_2024,harris_2020,0,8
center,-0.8918657765476719,harris_2024,harris_2020,0,8
partner,-0.8918657765476719,harris_2024,harris_2020,0,8
citizen,-0.8918657765476719,harris_2024,harris_2020,0,8
participation,-0.8918657765476719,harris_2024,harris_2020,0,8
data,-0.8618808251139193,harris_2024,harris_2020,0,7
race,-0.8618808251139193,harris_2024,harris_2020,0,7
broadband,-0.8618808251139193,harris_2024,harris_2020,0,7
lift,-0.8618808251139193,harris_2024,harris_2020,0,7
working,-0.8618808251139193,harris_2024,harris_2020,0,7
idea,-0.8618808251139193,harris_2024,harris_2020,0,7
standard,-0.8618808251139193,harris_2024,harris_2020,0,7
collection,-0.8618808251139193,harris_2024,harris_2020,0,7
wall,-0.8272759879285225,harris_2024,harris_2020,0,6
table,-0.8272759879285225,harris_2024,harris_2020,0,6
card,-0.8272759879285225,harris_2024,harris_2020,0,6
movement,-0.8272759879285225,harris_2024,harris_2020,0,6
mother,-0.8272759879285225,harris_2024,harris_2020,0,6
equity,-0.8272759879285225,harris_2024,harris_2020,0,6
american,-0.8208068386028534,harris_2024,harris_2020,3,15
insurance,-0.7868172041280627,harris_2024,harris_2020,1,7
