term,log_odds,corpus 1,corpus 2,count 1,count 2
world,-2.675986986289969,harris_2024,trump_2024,8,4
safe,-2.4825437918229256,harris_2024,trump_2024,1,2
end,-2.4825437918229256,harris_2024,trump_2024,1,2
american,-2.1168614621311104,harris_2024,trump_2024,3,2
cut,-1.898988759389928,harris_2024,trump_2024,4,2
country,-1.698411126537846,harris_2024,trump_2024,5,2
voter,-1.6700484674276195,harris_2024,trump_2024,1,1
secure,-1.6700484674276195,harris_2024,trump_2024,1,1
promise,-1.6700484674276195,harris_2024,trump_2024,1,1
offender,-1.6700484674276195,harris_2024,trump_2024,1,1
pro,-1.6700484674276195,harris_2024,trump_2024,1,1
citizenship,-1.6700484674276195,harris_2024,trump_2024,1,1
vehicle,-1.6700484674276195,harris_2024,trump_2024,1,1
regulation,-1.6700484674276195,harris_2024,trump_2024,1,1
military,-1.6700484674276195,harris_2024,trump_2024,1,1
fundamental,-1.6700484674276195,harris_2024,trump_2024,1,1
east,-1.6700484674276195,harris_2024,trump_2024,1,1
success,-1.6700484674276195,harris_2024,trump_2024,1,1
war,-1.6700484674276195,harris_2024,trump_2024,1,1
our,-1.4925307094188858,harris_2024,trump_2024,0,4
fight,-1.3626685666782108,harris_2024,trump_2024,2,1
gang,-1.3626685666782108,harris_2024,trump_2024,2,1
strengthen,-1.3626685666782108,harris_2024,trump_2024,2,1
us,-1.3626685666782108,harris_2024,trump_2024,2,1
school,-1.3626685666782108,harris_2024,trump_2024,2,1
freedoms,-1.3626685666782108,harris_2024,trump_2024,2,1
defense,-1.3626685666782108,harris_2024,trump_2024,2,1
epidemic,-1.3626685666782108,harris_2024,trump_2024,2,1
great,-1.3309401983955613,harris_2024,trump_2024,0,2
radical,-1.3309401983955613,harris_2024,trump_2024,0,2
cuts,-1.3309401983955613,harris_2024,trump_2024,0,2
migrant,-1.3309401983955613,harris_2024,trump_2024,0,2
america,-1.305653440547773,harris_2024,trump_2024,20,4
constitution,-1.1687777444745768,harris_2024,trump_2024,0,1
proof,-1.1687777444745768,harris_2024,trump_2024,0,1
stop,-1.1687777444745768,harris_2024,trump_2024,0,1
protect,-1.1687777444745768,harris_2024,trump_2024,0,1
far,-1.1687777444745768,harris_2024,trump_2024,0,1
clean,-1.1687777444745768,harris_2024,trump_2024,0,1
question,-1.1687777444745768,harris_2024,trump_2024,0,1
race,-1.1687777444745768,harris_2024,trump_2024,0,1
sports,-1.1687777444745768,harris_2024,trump_2024,0,1
build,-1.1687777444745768,harris_2024,trump_2024,0,1
seal,-1.1687777444745768,harris_2024,trump_2024,0,1
cities,-1.1687777444745768,harris_2024,trump_2024,0,1
electric,-1.1687777444745768,harris_2024,trump_2024,0,1
speech,-1.1687777444745768,harris_2024,trump_2024,0,1
children,-1.1687777444745768,harris_2024,trump_2024,0,1
costly,-1.1687777444745768,harris_2024,trump_2024,0,1
mandate,-1.1687777444745768,harris_2024,trump_2024,0,1
men,-1.1687777444745768,harris_2024,trump_2024,0,1
cancel,-1.1687777444745768,harris_2024,trump_2024,0,1
federal,-1.1687777444745768,harris_2024,trump_2024,0,1
change,-1.1687777444745768,harris_2024,trump_2024,0,1
religion,-1.1687777444745768,harris_2024,trump_2024,0,1
gender,-1.1687777444745768,harris_2024,trump_2024,0,1
content,-1.1687777444745768,harris_2024,trump_2024,0,1
shield,-1.1687777444745768,harris_2024,trump_2024,0,1
sexual,-1.1687777444745768,harris_2024,trump_2024,0,1
retirement,-1.1687777444745768,harris_2024,trump_2024,0,1
reserve,-1.1687777444745768,harris_2024,trump_2024,0,1
missile,-1.1687777444745768,harris_2024,trump_2024,0,1
cartels,-1.1687777444745768,harris_2024,trump_2024,0,1
iron,-1.1687777444745768,harris_2024,trump_2024,0,1
critical,-1.1687777444745768,harris_2024,trump_2024,0,1
ideology,-1.1687777444745768,harris_2024,trump_2024,0,1
deportation,-1.1687777444745768,harris_2024,trump_2024,0,1
arms,-1.1687777444745768,harris_2024,trump_2024,0,1
political,-1.1687777444745768,harris_2024,trump_2024,0,1
