term,log_odds,corpus 1,corpus 2,count 1,count 2
state,-3.287589400387908,republican_2024,republican_2016,1,135
government,-2.853053071095489,republican_2024,republican_2016,16,174
congress,-2.76736064751226,republican_2024,republican_2016,1,82
law,-2.3932059299978614,republican_2024,republican_2016,9,107
administration,-2.385162121151182,republican_2024,republican_2016,5,78
right,-2.1959275089480474,republican_2024,republican_2016,11,114
business,-2.1477168446050907,republican_2024,republican_2016,2,49
market,-2.1191746987735547,republican_2024,republican_2016,1,44
service,-1.9917635076982916,republican_2024,republican_2016,2,44
time,-1.8896142762715513,republican_2024,republican_2016,2,41
court,-1.8512187671404452,republican_2024,republican_2016,1,34
institution,-1.8512187671404452,republican_2024,republican_2016,1,34
act,-1.8095966517102453,republican_2024,republican_2016,3,46
amendment,-1.8095966517102453,republican_2024,republican_2016,3,46
program,-1.7945259682576562,republican_2024,republican_2016,5,60
abortion,-1.7882835427614214,republican_2024,republican_2016,1,32
rule,-1.6497921659628816,republican_2024,republican_2016,1,28
reform,-1.6497921659628816,republican_2024,republican_2016,1,28
individual,-1.6121098146057193,republican_2024,republican_2016,1,27
resource,-1.5767047031853556,republican_2024,republican_2016,2,33
department,-1.5730239812038285,republican_2024,republican_2016,1,26
sector,-1.5324269121219738,republican_2024,republican_2016,1,25
regulation,-1.5163460812477476,republican_2024,republican_2016,4,46
agreement,-1.49019803983551,republican_2024,republican_2016,1,24
part,-1.49019803983551,republican_2024,republican_2016,1,24
investment,-1.49019803983551,republican_2024,republican_2016,1,24
effort,-1.486944398327006,republican_2024,republican_2016,2,31
opportunity,-1.3914128165839919,republican_2024,republican_2016,2,29
power,-1.388795985920855,republican_2024,republican_2016,5,50
standard,-1.3522752860254117,republican_2024,republican_2016,1,21
force,-1.333409970028725,republican_2024,republican_2016,3,35
support,-1.289328629930421,republican_2024,republican_2016,2,27
interest,-1.289328629930421,republican_2024,republican_2016,2,27
development,-1.289328629930421,republican_2024,republican_2016,2,27
protection,-1.289328629930421,republican_2024,republican_2016,2,27
rate,-1.2491524401847383,republican_2024,republican_2016,1,19
marriage,-1.2491524401847383,republican_2024,republican_2016,1,19
century,-1.2491524401847383,republican_2024,republican_2016,1,19
americans,-1.2252879611802778,republican_2024,republican_2016,6,53
company,-1.1935502031194778,republican_2024,republican_2016,1,18
discrimination,-1.1935502031194778,republican_2024,republican_2016,1,18
bank,-1.1935502031194778,republican_2024,republican_2016,1,18
society,-1.1797426143991125,republican_2024,republican_2016,2,25
community,-1.176878626555681,republican_2024,republican_2016,0,50
health,-1.158135305827712,republican_2024,republican_2016,0,46
growth,-1.1372093179950578,republican_2024,republican_2016,4,38
person,-1.1348614062404887,republican_2024,republican_2016,1,17
fund,-1.1348614062404887,republican_2024,republican_2016,1,17
budget,-1.1348614062404887,republican_2024,republican_2016,1,17
research,-1.1348614062404887,republican_2024,republican_2016,1,17
israel,-1.1348614062404887,republican_2024,republican_2016,1,17
