term,log_odds,corpus 1,corpus 2,count 1,count 2
trump,-1.1295931262022125,trump_2024,trump_2016,1,57
clinton,-1.0074252150763559,trump_2024,trump_2016,0,80
hillary,-0.9865159236301903,trump_2024,trump_2016,0,73
year,-0.9261790785523877,trump_2024,trump_2016,0,56
job,-0.904954078966651,trump_2024,trump_2016,0,51
plan,-0.8715037596107725,trump_2024,trump_2016,0,44
donald,-0.838345614918538,trump_2024,trump_2016,0,38
trade,-0.8132231279299512,trump_2024,trump_2016,0,34
state,-0.8132231279299512,trump_2024,trump_2016,0,34
infrastructure,-0.8064848297592422,trump_2024,trump_2016,0,33
obama,-0.784983877963562,trump_2024,trump_2016,0,30
law,-0.7439013408302275,trump_2024,trump_2016,0,25
income,-0.7439013408302275,trump_2024,trump_2016,0,25
us,-0.7366898192913793,trump_2024,trump_2016,1,39
va,-0.7347107509460329,trump_2024,trump_2016,0,24
percent,-0.7347107509460329,trump_2024,trump_2016,0,24
system,-0.7251318234280925,trump_2024,trump_2016,0,23
rate,-0.715130069988253,trump_2024,trump_2016,0,22
cost,-0.715130069988253,trump_2024,trump_2016,0,22
child,-0.7046661958294246,trump_2024,trump_2016,0,21
release,-0.6936951631059701,trump_2024,trump_2016,0,20
care,-0.6936951631059701,trump_2024,trump_2016,0,20
health,-0.6936951631059701,trump_2024,trump_2016,0,20
student,-0.6821650146167942,trump_2024,trump_2016,0,19
press,-0.6821650146167942,trump_2024,trump_2016,0,19
china,-0.6700153800968269,trump_2024,trump_2016,0,18
immigration,-0.6700153800968269,trump_2024,trump_2016,0,18
policy,-0.6571755564720811,trump_2024,trump_2016,0,17
choice,-0.6435620074386487,trump_2024,trump_2016,0,16
veteran,-0.6435620074386487,trump_2024,trump_2016,0,16
obamacare,-0.6435620074386487,trump_2024,trump_2016,0,16
business,-0.6435620074386487,trump_2024,trump_2016,0,16
administration,-0.6435620074386487,trump_2024,trump_2016,0,16
economy,-0.629075058019889,trump_2024,trump_2016,0,15
vision,-0.629075058019889,trump_2024,trump_2016,0,15
sept,-0.629075058019889,trump_2024,trump_2016,0,15
issues,-0.629075058019889,trump_2024,trump_2016,0,15
time,-0.629075058019889,trump_2024,trump_2016,0,15
times,-0.629075058019889,trump_2024,trump_2016,0,15
secretary,-0.629075058019889,trump_2024,trump_2016,0,15
americans,-0.6135944516639583,trump_2024,trump_2016,0,14
key,-0.6135944516639583,trump_2024,trump_2016,0,14
july,-0.5969732654222414,trump_2024,trump_2016,0,13
june,-0.5969732654222414,trump_2024,trump_2016,0,13
program,-0.5969732654222414,trump_2024,trump_2016,0,13
deficit,-0.5969732654222414,trump_2024,trump_2016,0,13
family,-0.5969732654222414,trump_2024,trump_2016,0,13
may,-0.5969732654222414,trump_2024,trump_2016,0,13
cyber,-0.5969732654222414,trump_2024,trump_2016,0,13
immigrant,-0.5790293968555144,trump_2024,trump_2016,0,12
taxpayer,-0.5790293968555144,trump_2024,trump_2016,0,12
today,-0.5790293968555144,trump_2024,trump_2016,0,12
labor,-0.5595333587250642,trump_2024,trump_2016,0,11
force,-0.5595333587250642,trump_2024,trump_2016,0,11
foundation,-0.5595333587250642,trump_2024,trump_2016,0,11
contrast,-0.5595333587250642,trump_2024,trump_2016,0,11
investment,-0.5595333587250642,trump_2024,trump_2016,0,11
childcare,-0.5595333587250642,trump_2024,trump_2016,0,11
project,-0.5595333587250642,trump_2024,trump_2016,0,11
national,-0.5595333587250642,trump_2024,trump_2016,0,11
isis,-0.5595333587250642,trump_2024,trump_2016,0,11
reform,-0.5595333587250642,trump_2024,trump_2016,0,11
street,-0.5381902768173409,trump_2024,trump_2016,0,10
growth,-0.5381902768173409,trump_2024,trump_2016,0,10
household,-0.5381902768173409,trump_2024,trump_2016,0,10
york,-0.5381902768173409,trump_2024,trump_2016,0,10
education,-0.5381902768173409,trump_2024,trump_2016,0,10
water,-0.5381902768173409,trump_2024,trump_2016,0,10
service,-0.5381902768173409,trump_2024,trump_2016,0,10
new,-0.5381902768173409,trump_2024,trump_2016,0,10
employee,-0.5381902768173409,trump_2024,trump_2016,0,10
wall,-0.5381902768173409,trump_2024,trump_2016,0,10
veterans,-0.5146124390421202,trump_2024,trump_2016,0,9
city,-0.5146124390421202,trump_2024,trump_2016,0,9
alien,-0.5146124390421202,trump_2024,trump_2016,0,9
credit,-0.5146124390421202,trump_2024,trump_2016,0,9
center,-0.5146124390421202,trump_2024,trump_2016,0,9
office,-0.5146124390421202,trump_2024,trump_2016,0,9
increase,-0.5146124390421202,trump_2024,trump_2016,0,9
coal,-0.5146124390421202,trump_2024,trump_2016,0,9
department,-0.5146124390421202,trump_2024,trump_2016,0,9
journal,-0.4882757434297424,trump_2024,trump_2016,0,8
place,-0.4882757434297424,trump_2024,trump_2016,0,8
affairs,-0.4882757434297424,trump_2024,trump_2016,0,8
work,-0.4882757434297424,trump_2024,trump_2016,0,8
congress,-0.4882757434297424,trump_2024,trump_2016,0,8
taxis,-0.4882757434297424,trump_2024,trump_2016,0,8
april,-0.4882757434297424,trump_2024,trump_2016,0,8
budget,-0.4882757434297424,trump_2024,trump_2016,0,8
aug,-0.4882757434297424,trump_2024,trump_2016,0,8
expense,-0.4882757434297424,trump_2024,trump_2016,0,8
review,-0.4882757434297424,trump_2024,trump_2016,0,8
account,-0.4882757434297424,trump_2024,trump_2016,0,8
supreme,-0.45844719728453937,trump_2024,trump_2016,0,7
navy,-0.45844719728453937,trump_2024,trump_2016,0,7
shale,-0.45844719728453937,trump_2024,trump_2016,0,7
amendment,-0.45844719728453937,trump_2024,trump_2016,0,7
community,-0.45844719728453937,trump_2024,trump_2016,0,7
air,-0.45844719728453937,trump_2024,trump_2016,0,7
parent,-0.45844719728453937,trump_2024,trump_2016,0,7
filer,-0.45844719728453937,trump_2024,trump_2016,0,7
gas,-0.45844719728453937,trump_2024,trump_2016,0,7
medicaid,-0.45844719728453937,trump_2024,trump_2016,0,7
nation,-0.45844719728453937,trump_2024,trump_2016,0,7
wage,-0.45844719728453937,trump_2024,trump_2016,0,7
court,-0.45844719728453937,trump_2024,trump_2016,0,7
second,-0.45844719728453937,trump_2024,trump_2016,0,7
march,-0.45844719728453937,trump_2024,trump_2016,0,7
interest,-0.45844719728453937,trump_2024,trump_2016,0,7
tax,-0.4574462332731263,trump_2024,trump_2016,2,51
agency,-0.42405680964322334,trump_2024,trump_2016,0,6
email,-0.42405680964322334,trump_2024,trump_2016,0,6
individual,-0.42405680964322334,trump_2024,trump_2016,0,6
contribution,-0.42405680964322334,trump_2024,trump_2016,0,6
rule,-0.42405680964322334,trump_2024,trump_2016,0,6
number,-0.42405680964322334,trump_2024,trump_2016,0,6
terrorism,-0.42405680964322334,trump_2024,trump_2016,0,6
insurance,-0.42405680964322334,trump_2024,trump_2016,0,6
news,-0.42405680964322334,trump_2024,trump_2016,0,6
threat,-0.42405680964322334,trump_2024,trump_2016,0,6
million,-0.42405680964322334,trump_2024,trump_2016,0,6
owner,-0.42405680964322334,trump_2024,trump_2016,0,6
home,-0.42405680964322334,trump_2024,trump_2016,0,6
market,-0.42405680964322334,trump_2024,trump_2016,0,6
korea,-0.42405680964322334,trump_2024,trump_2016,0,6
gun,-0.42405680964322334,trump_2024,trump_2016,0,6
member,-0.42405680964322334,trump_2024,trump_2016,0,6
good,-0.42405680964322334,trump_2024,trump_2016,0,6
justice,-0.42405680964322334,trump_2024,trump_2016,0,6
partnership,-0.42405680964322334,trump_2024,trump_2016,0,6
deal,-0.42405680964322334,trump_2024,trump_2016,0,6
benefit,-0.38345333196742554,trump_2024,trump_2016,0,5
fund,-0.38345333196742554,trump_2024,trump_2016,0,5
wait,-0.38345333196742554,trump_2024,trump_2016,0,5
death,-0.38345333196742554,trump_2024,trump_2016,0,5
exchange,-0.38345333196742554,trump_2024,trump_2016,0,5
exclusion,-0.38345333196742554,trump_2024,trump_2016,0,5
export,-0.38345333196742554,trump_2024,trump_2016,0,5
deduction,-0.38345333196742554,trump_2024,trump_2016,0,5
hundred,-0.38345333196742554,trump_2024,trump_2016,0,5
commission,-0.38345333196742554,trump_2024,trump_2016,0,5
organization,-0.38345333196742554,trump_2024,trump_2016,0,5
pacific,-0.38345333196742554,trump_2024,trump_2016,0,5
cnn,-0.38345333196742554,trump_2024,trump_2016,0,5
house,-0.38345333196742554,trump_2024,trump_2016,0,5
wealth,-0.38345333196742554,trump_2024,trump_2016,0,5
iraq,-0.38345333196742554,trump_2024,trump_2016,0,5
tpp,-0.38345333196742554,trump_2024,trump_2016,0,5
conviction,-0.38345333196742554,trump_2024,trump_2016,0,5
pipeline,-0.38345333196742554,trump_2024,trump_2016,0,5
joint,-0.38345333196742554,trump_2024,trump_2016,0,5
mexico,-0.38345333196742554,trump_2024,trump_2016,0,5
sector,-0.38345333196742554,trump_2024,trump_2016,0,5
trans,-0.38345333196742554,trump_2024,trump_2016,0,5
employer,-0.38345333196742554,trump_2024,trump_2016,0,5
jan,-0.38345333196742554,trump_2024,trump_2016,0,5
need,-0.38345333196742554,trump_2024,trump_2016,0,5
bracket,-0.38345333196742554,trump_2024,trump_2016,0,5
iran,-0.38345333196742554,trump_2024,trump_2016,0,5
person,-0.38345333196742554,trump_2024,trump_2016,0,5
economic,-0.38345333196742554,trump_2024,trump_2016,0,5
transportation,-0.38345333196742554,trump_2024,trump_2016,0,5
woman,-0.38345333196742554,trump_2024,trump_2016,0,5
south,-0.3338890996550488,trump_2024,trump_2016,0,4
rebate,-0.3338890996550488,trump_2024,trump_2016,0,4
goal,-0.3338890996550488,trump_2024,trump_2016,0,4
refugee,-0.3338890996550488,trump_2024,trump_2016,0,4
staff,-0.3338890996550488,trump_2024,trump_2016,0,4
hour,-0.3338890996550488,trump_2024,trump_2016,0,4
