term,log_odds,corpus 1,corpus 2,count 1,count 2
believe,-8.618286861197248,democrat_2024,democrat_2020,18,145
support,-6.519307288220793,democrat_2024,democrat_2020,96,202
ensure,-5.496195367277575,democrat_2024,democrat_2020,71,148
include,-4.739130071988327,democrat_2024,democrat_2020,145,226
access,-3.5842525742722002,democrat_2024,democrat_2020,9,33
recognize,-3.294095320423665,democrat_2024,democrat_2020,20,46
enact,-3.2241007332596867,democrat_2024,democrat_2020,4,22
enforce,-3.1930919765798658,democrat_2024,democrat_2020,7,26
base,-3.031338131603803,democrat_2024,democrat_2020,25,50
enable,-2.9493252306943276,democrat_2024,democrat_2020,3,18
increase,-2.825043380669697,democrat_2024,democrat_2020,76,110
serve,-2.709015117530711,democrat_2024,democrat_2020,12,29
suffer,-2.6859816272986783,democrat_2024,democrat_2020,6,20
exist,-2.444618402842463,democrat_2024,democrat_2020,1,12
commit,-2.311256830225332,democrat_2024,democrat_2020,19,35
mobilize,-2.288964856032858,democrat_2024,democrat_2020,4,14
hold,-2.183222823856168,democrat_2024,democrat_2020,16,30
guarantee,-2.1786271893079125,democrat_2024,democrat_2020,13,26
improve,-2.171202314889991,democrat_2024,democrat_2020,28,45
eliminate,-2.1473963798613713,democrat_2024,democrat_2020,17,31
incentivize,-2.143759160030751,democrat_2024,democrat_2020,6,16
empower,-2.139488714181907,democrat_2024,democrat_2020,4,13
reflect,-2.139488714181907,democrat_2024,democrat_2020,4,13
pursue,-2.062542001361183,democrat_2024,democrat_2020,5,14
endanger,-2.007919206963859,democrat_2024,democrat_2020,1,8
sustain,-2.007919206963859,democrat_2024,democrat_2020,1,8
force,-1.9905377510267028,democrat_2024,democrat_2020,6,15
root,-1.9799081104220786,democrat_2024,democrat_2020,2,9
inform,-1.864721057617938,democrat_2024,democrat_2020,1,7
design,-1.864721057617938,democrat_2024,democrat_2020,1,7
study,-1.864721057617938,democrat_2024,democrat_2020,1,7
maintain,-1.8616425943557084,democrat_2024,democrat_2020,11,21
undermine,-1.8616425943557084,democrat_2024,democrat_2020,11,21
reaffirm,-1.8076915833395575,democrat_2024,democrat_2020,2,8
incarcerate,-1.8076915833395575,democrat_2024,democrat_2020,2,8
encourage,-1.764052903571427,democrat_2024,democrat_2020,7,15
close,-1.7606709355426746,democrat_2024,democrat_2020,10,19
accelerate,-1.7284115881124955,democrat_2024,democrat_2020,5,12
restore,-1.7179813234879562,democrat_2024,democrat_2020,24,36
join,-1.7127467542157804,democrat_2024,democrat_2020,3,9
receive,-1.7059555767844687,democrat_2024,democrat_2020,8,16
explore,-1.7002071848628435,democrat_2024,democrat_2020,1,6
