term,log_odds,corpus 1,corpus 2,count 1,count 2
restore,-7.8454404572413585,democrat_2024,republican_2024,24,27
stop,-5.195939558219697,democrat_2024,republican_2024,17,14
ensure,-4.667048065664911,democrat_2024,republican_2024,71,26
bring,-4.599296243386339,democrat_2024,republican_2024,27,15
offer,-4.25022191843944,democrat_2024,republican_2024,7,8
unleash,-3.905620925571547,democrat_2024,republican_2024,3,6
protect,-3.554497341546425,democrat_2024,republican_2024,99,27
promote,-3.531680540813906,democrat_2024,republican_2024,28,12
secure,-3.464315915628127,democrat_2024,republican_2024,33,13
revive,-3.3820481686219646,democrat_2024,republican_2024,1,5
commit,-3.256508204171303,democrat_2024,republican_2024,19,9
support,-3.2225683663865854,democrat_2024,republican_2024,96,25
crush,-3.192336880945589,democrat_2024,republican_2024,2,4
defend,-3.154822725265798,democrat_2024,republican_2024,20,9
complete,-3.1097373572488474,democrat_2024,republican_2024,1,4
reverse,-3.010561160358607,democrat_2024,republican_2024,10,6
return,-2.954262157861622,democrat_2024,republican_2024,7,5
tell,-2.954262157861622,democrat_2024,republican_2024,7,5
defeat,-2.924509018268191,democrat_2024,republican_2024,4,4
overcome,-2.7580778742638388,democrat_2024,republican_2024,1,3
allow,-2.5489238927969886,democrat_2024,republican_2024,22,8
destroy,-2.53655230909179,democrat_2024,republican_2024,3,3
fire,-2.335049220373781,democrat_2024,republican_2024,4,3
revoke,-2.268317578734378,democrat_2024,republican_2024,1,2
deport,-2.268317578734378,democrat_2024,republican_2024,1,2
spur,-2.268317578734378,democrat_2024,republican_2024,1,2
seal,-2.268317578734378,democrat_2024,republican_2024,1,2
teach,-2.268317578734378,democrat_2024,republican_2024,1,2
begin,-2.268317578734378,democrat_2024,republican_2024,1,2
hold,-2.263968207299278,democrat_2024,republican_2024,16,6
champion,-2.136666019841514,democrat_2024,republican_2024,5,3
reinstate,-2.136666019841514,democrat_2024,republican_2024,5,3
prepare,-2.136666019841514,democrat_2024,republican_2024,5,3
end,-2.1234809533105694,democrat_2024,republican_2024,53,13
root,-2.0784495531087264,democrat_2024,republican_2024,2,2
shift,-2.0784495531087264,democrat_2024,republican_2024,2,2
admit,-2.0784495531087264,democrat_2024,republican_2024,2,2
enter,-2.0784495531087264,democrat_2024,republican_2024,2,2
respect,-1.833017376436052,democrat_2024,republican_2024,3,2
prove,-1.833017376436052,democrat_2024,republican_2024,3,2
cancel,-1.833017376436052,democrat_2024,republican_2024,3,2
violate,-1.833017376436052,democrat_2024,republican_2024,3,2
traffic,-1.833017376436052,democrat_2024,republican_2024,3,2
stand,-1.8131530937852678,democrat_2024,republican_2024,36,9
send,-1.7735451920079717,democrat_2024,republican_2024,7,3
remain,-1.7602948409136892,democrat_2024,republican_2024,16,5
rebuild,-1.6774872257141713,democrat_2024,republican_2024,12,4
become,-1.6774872257141713,democrat_2024,republican_2024,12,4
use,-1.6759209021613508,democrat_2024,republican_2024,38,9
show,-1.6003448012949002,democrat_2024,republican_2024,4,2
empower,-1.6003448012949002,democrat_2024,republican_2024,4,2
prioritize,-1.5534500165025265,democrat_2024,republican_2024,13,4
exist,-1.4867093251877737,democrat_2024,republican_2024,1,1
streamline,-1.4867093251877737,democrat_2024,republican_2024,1,1
overhaul,-1.4867093251877737,democrat_2024,republican_2024,1,1
revitalize,-1.4867093251877737,democrat_2024,republican_2024,1,1
monitor,-1.4867093251877737,democrat_2024,republican_2024,1,1
investigate,-1.4867093251877737,democrat_2024,republican_2024,1,1
invade,-1.4867093251877737,democrat_2024,republican_2024,1,1
fill,-1.4867093251877737,democrat_2024,republican_2024,1,1
replenish,-1.4867093251877737,democrat_2024,republican_2024,1,1
celebrate,-1.4867093251877737,democrat_2024,republican_2024,1,1
censor,-1.4867093251877737,democrat_2024,republican_2024,1,1
perpetrate,-1.4867093251877737,democrat_2024,republican_2024,1,1
pit,-1.4867093251877737,democrat_2024,republican_2024,1,1
dismantle,-1.4867093251877737,democrat_2024,republican_2024,1,1
roam,-1.4867093251877737,democrat_2024,republican_2024,1,1
equip,-1.4867093251877737,democrat_2024,republican_2024,1,1
pave,-1.4867093251877737,democrat_2024,republican_2024,1,1
trust,-1.4867093251877737,democrat_2024,republican_2024,1,1
summon,-1.4867093251877737,democrat_2024,republican_2024,1,1
like,-1.4867093251877737,democrat_2024,republican_2024,1,1
welcome,-1.4867093251877737,democrat_2024,republican_2024,1,1
accord,-1.4867093251877737,democrat_2024,republican_2024,1,1
weaponize,-1.4867093251877737,democrat_2024,republican_2024,1,1
slash,-1.4511040119102936,democrat_2024,republican_2024,19,5
renew,-1.4334933544643418,democrat_2024,republican_2024,0,4
pursue,-1.389749638715343,democrat_2024,republican_2024,5,2
thrive,-1.389749638715343,democrat_2024,republican_2024,5,2
engage,-1.389749638715343,democrat_2024,republican_2024,5,2
discriminate,-1.389749638715343,democrat_2024,republican_2024,5,2
cultivate,-1.367461488123483,democrat_2024,republican_2024,0,3
want,-1.3231903685377662,democrat_2024,republican_2024,15,4
affordable,-1.2740609192304355,democrat_2024,republican_2024,0,2
learn,-1.2003869395144913,democrat_2024,republican_2024,6,2
impose,-1.2003869395144913,democrat_2024,republican_2024,6,2
maintain,-1.1834376016957455,democrat_2024,republican_2024,11,3
hate,-1.1521283450430448,democrat_2024,republican_2024,2,1
lock,-1.1521283450430448,democrat_2024,republican_2024,2,1
halt,-1.1521283450430448,democrat_2024,republican_2024,2,1
lift,-1.1521283450430448,democrat_2024,republican_2024,2,1
terminate,-1.1521283450430448,democrat_2024,republican_2024,2,1
stabilize,-1.1521283450430448,democrat_2024,republican_2024,2,1
prevail,-1.1521283450430448,democrat_2024,republican_2024,2,1
educate,-1.1521283450430448,democrat_2024,republican_2024,2,1
deploy,-1.1521283450430448,democrat_2024,republican_2024,2,1
station,-1.1521283450430448,democrat_2024,republican_2024,2,1
stifle,-1.1521283450430448,democrat_2024,republican_2024,2,1
misuse,-1.1134186849570833,democrat_2024,republican_2024,0,1
collude,-1.1134186849570833,democrat_2024,republican_2024,0,1
rock,-1.1134186849570833,democrat_2024,republican_2024,0,1
harness,-1.1134186849570833,democrat_2024,republican_2024,0,1
unpaid,-1.1134186849570833,democrat_2024,republican_2024,0,1
rein,-1.1134186849570833,democrat_2024,republican_2024,0,1
belong,-1.1134186849570833,democrat_2024,republican_2024,0,1
perform,-1.1134186849570833,democrat_2024,republican_2024,0,1
alter,-1.1134186849570833,democrat_2024,republican_2024,0,1
phase,-1.1134186849570833,democrat_2024,republican_2024,0,1
harden,-1.1134186849570833,democrat_2024,republican_2024,0,1
reignite,-1.1134186849570833,democrat_2024,republican_2024,0,1
rulemake,-1.1134186849570833,democrat_2024,republican_2024,0,1
nationalize,-1.1134186849570833,democrat_2024,republican_2024,0,1
deplete,-1.1134186849570833,democrat_2024,republican_2024,0,1
leftwe,-1.1134186849570833,democrat_2024,republican_2024,0,1
invoke,-1.1134186849570833,democrat_2024,republican_2024,0,1
demolish,-1.1134186849570833,democrat_2024,republican_2024,0,1
emphasize,-1.1134186849570833,democrat_2024,republican_2024,0,1
accomplish,-1.1134186849570833,democrat_2024,republican_2024,0,1
declassify,-1.1134186849570833,democrat_2024,republican_2024,0,1
orient,-1.1134186849570833,democrat_2024,republican_2024,0,1
renegotiate,-1.1134186849570833,democrat_2024,republican_2024,0,1
insulate,-1.1134186849570833,democrat_2024,republican_2024,0,1
worship,-1.1134186849570833,democrat_2024,republican_2024,0,1
outsource,-1.1134186849570833,democrat_2024,republican_2024,0,1
inspect,-1.1134186849570833,democrat_2024,republican_2024,0,1
suffocate,-1.1134186849570833,democrat_2024,republican_2024,0,1
transact,-1.1134186849570833,democrat_2024,republican_2024,0,1
disappear,-1.1134186849570833,democrat_2024,republican_2024,0,1
overtake,-1.1134186849570833,democrat_2024,republican_2024,0,1
induce,-1.1134186849570833,democrat_2024,republican_2024,0,1
triumph,-1.1134186849570833,democrat_2024,republican_2024,0,1
overstay,-1.1134186849570833,democrat_2024,republican_2024,0,1
involve,-1.1134186849570833,democrat_2024,republican_2024,0,1
rob,-1.1134186849570833,democrat_2024,republican_2024,0,1
reassert,-1.1134186849570833,democrat_2024,republican_2024,0,1
revolutionize,-1.1134186849570833,democrat_2024,republican_2024,0,1
wake,-1.1134186849570833,democrat_2024,republican_2024,0,1
campuse,-1.1134186849570833,democrat_2024,republican_2024,0,1
everyone,-1.1134186849570833,democrat_2024,republican_2024,0,1
burden,-1.1134186849570833,democrat_2024,republican_2024,0,1
suspect,-1.1134186849570833,democrat_2024,republican_2024,0,1
attain,-1.1134186849570833,democrat_2024,republican_2024,0,1
rest,-1.1134186849570833,democrat_2024,republican_2024,0,1
center,-1.1134186849570833,democrat_2024,republican_2024,0,1
distort,-1.1134186849570833,democrat_2024,republican_2024,0,1
breed,-1.1134186849570833,democrat_2024,republican_2024,0,1
baseline,-1.1134186849570833,democrat_2024,republican_2024,0,1
read,-1.1134186849570833,democrat_2024,republican_2024,0,1
cheat,-1.1134186849570833,democrat_2024,republican_2024,0,1
hinder,-1.1134186849570833,democrat_2024,republican_2024,0,1
check,-1.1134186849570833,democrat_2024,republican_2024,0,1
vanquish,-1.1134186849570833,democrat_2024,republican_2024,0,1
cherish,-1.1134186849570833,democrat_2024,republican_2024,0,1
mark,-1.1134186849570833,democrat_2024,republican_2024,0,1
forge,-1.1134186849570833,democrat_2024,republican_2024,0,1
