term,log_odds,corpus 1,corpus 2,count 1,count 2
have,-2.3172609734651886,harris_2024,harris_2020,13,78
need,-2.241030973853968,harris_2024,harris_2020,2,31
use,-1.989210910076889,harris_2024,harris_2020,1,23
provide,-1.8915388634869759,harris_2024,harris_2020,4,33
face,-1.4489927054938734,harris_2024,harris_2020,2,18
base,-1.3917403613290713,harris_2024,harris_2020,1,13
receive,-1.308684914177271,harris_2024,harris_2020,1,12
require,-1.2614214395300192,harris_2024,harris_2020,3,20
take,-1.219445365237184,harris_2024,harris_2020,11,50
hold,-1.1885851438024913,harris_2024,harris_2020,2,15
treat,-1.1205688698697156,harris_2024,harris_2020,1,10
fail,-1.1205688698697156,harris_2024,harris_2020,1,10
mean,-1.0805024637215608,harris_2024,harris_2020,0,19
cover,-1.0126787370211812,harris_2024,harris_2020,1,9
start,-0.9948488139624316,harris_2024,harris_2020,0,13
close,-0.9868688266256614,harris_2024,harris_2020,2,13
leave,-0.9768049774175633,harris_2024,harris_2020,0,12
speak,-0.9571976471526771,harris_2024,harris_2020,0,11
wait,-0.9357285734321639,harris_2024,harris_2020,0,10
reverse,-0.9357285734321639,harris_2024,harris_2020,0,10
improve,-0.9120051828573047,harris_2024,harris_2020,0,9
champion,-0.8929363921895416,harris_2024,harris_2020,1,8
establish,-0.8929363921895416,harris_2024,harris_2020,1,8
lift,-0.8854961077834433,harris_2024,harris_2020,0,8
introduce,-0.8854961077834433,harris_2024,harris_2020,0,8
spend,-0.8854961077834433,harris_2024,harris_2020,0,8
allow,-0.8821525713584741,harris_2024,harris_2020,3,16
address,-0.8752608182892498,harris_2024,harris_2020,2,12
change,-0.8554569892469602,harris_2024,harris_2020,0,7
re,-0.8554569892469602,harris_2024,harris_2020,0,7
stay,-0.8554569892469602,harris_2024,harris_2020,0,7
purchase,-0.8554569892469602,harris_2024,harris_2020,0,7
enter,-0.8554569892469602,harris_2024,harris_2020,0,7
act,-0.8207990013168178,harris_2024,harris_2020,0,6
guarantee,-0.8207990013168178,harris_2024,harris_2020,0,6
recognize,-0.8207990013168178,harris_2024,harris_2020,0,6
limit,-0.8207990013168178,harris_2024,harris_2020,0,6
target,-0.8207990013168178,harris_2024,harris_2020,0,6
impact,-0.7798372513521924,harris_2024,harris_2020,0,5
understand,-0.7798372513521924,harris_2024,harris_2020,0,5
collect,-0.7798372513521924,harris_2024,harris_2020,0,5
contribute,-0.7798372513521924,harris_2024,harris_2020,0,5
join,-0.7798372513521924,harris_2024,harris_2020,0,5
find,-0.7798372513521924,harris_2024,harris_2020,0,5
access,-0.7798372513521924,harris_2024,harris_2020,0,5
come,-0.7798372513521924,harris_2024,harris_2020,0,5
prevent,-0.7798372513521924,harris_2024,harris_2020,0,5
make,-0.7593669315739424,harris_2024,harris_2020,22,80
develop,-0.7585004374267685,harris_2024,harris_2020,1,7
set,-0.7585004374267685,harris_2024,harris_2020,1,7
deserve,-0.7550674847250572,harris_2024,harris_2020,2,11
harm,-0.7297575056804638,harris_2024,harris_2020,0,4
claim,-0.7297575056804638,harris_2024,harris_2020,0,4
ignore,-0.7297575056804638,harris_2024,harris_2020,0,4
buy,-0.7297575056804638,harris_2024,harris_2020,0,4
empower,-0.7297575056804638,harris_2024,harris_2020,0,4
deny,-0.7297575056804638,harris_2024,harris_2020,0,4
consider,-0.7297575056804638,harris_2024,harris_2020,0,4
clear,-0.7297575056804638,harris_2024,harris_2020,0,4
reinstate,-0.7297575056804638,harris_2024,harris_2020,0,4
rise,-0.7297575056804638,harris_2024,harris_2020,0,4
apply,-0.7297575056804638,harris_2024,harris_2020,0,4
pursue,-0.7297575056804638,harris_2024,harris_2020,0,4
affect,-0.7297575056804638,harris_2024,harris_2020,0,4
seek,-0.7297575056804638,harris_2024,harris_2020,0,4
repair,-0.7297575056804638,harris_2024,harris_2020,0,4
preserve,-0.7297575056804638,harris_2024,harris_2020,0,4
sponsor,-0.7297575056804638,harris_2024,harris_2020,0,4
tear,-0.7297575056804638,harris_2024,harris_2020,0,4
transform,-0.7297575056804638,harris_2024,harris_2020,0,4
mandate,-0.7297575056804638,harris_2024,harris_2020,0,4
value,-0.7297575056804638,harris_2024,harris_2020,0,4
prepare,-0.7297575056804638,harris_2024,harris_2020,0,4
believe,-0.691074732980506,harris_2024,harris_2020,8,32
submit,-0.6653114951959406,harris_2024,harris_2020,0,3
date,-0.6653114951959406,harris_2024,harris_2020,0,3
save,-0.6653114951959406,harris_2024,harris_2020,0,3
wage,-0.6653114951959406,harris_2024,harris_2020,0,3
result,-0.6653114951959406,harris_2024,harris_2020,0,3
discriminate,-0.6653114951959406,harris_2024,harris_2020,0,3
dismantle,-0.6653114951959406,harris_2024,harris_2020,0,3
instruct,-0.6653114951959406,harris_2024,harris_2020,0,3
rescind,-0.6653114951959406,harris_2024,harris_2020,0,3
launch,-0.6653114951959406,harris_2024,harris_2020,0,3
exercise,-0.6653114951959406,harris_2024,harris_2020,0,3
reflect,-0.6653114951959406,harris_2024,harris_2020,0,3
prohibit,-0.6653114951959406,harris_2024,harris_2020,0,3
flee,-0.6653114951959406,harris_2024,harris_2020,0,3
focus,-0.6653114951959406,harris_2024,harris_2020,0,3
forge,-0.6653114951959406,harris_2024,harris_2020,0,3
govern,-0.6653114951959406,harris_2024,harris_2020,0,3
overhaul,-0.6653114951959406,harris_2024,harris_2020,0,3
modernize,-0.6653114951959406,harris_2024,harris_2020,0,3
miss,-0.6653114951959406,harris_2024,harris_2020,0,3
look,-0.6653114951959406,harris_2024,harris_2020,0,3
infect,-0.6653114951959406,harris_2024,harris_2020,0,3
employ,-0.6653114951959406,harris_2024,harris_2020,0,3
intend,-0.6653114951959406,harris_2024,harris_2020,0,3
write,-0.6653114951959406,harris_2024,harris_2020,0,3
block,-0.6653114951959406,harris_2024,harris_2020,0,3
cause,-0.6653114951959406,harris_2024,harris_2020,0,3
celebrate,-0.6653114951959406,harris_2024,harris_2020,0,3
carry,-0.6653114951959406,harris_2024,harris_2020,0,3
charge,-0.6653114951959406,harris_2024,harris_2020,0,3
appoint,-0.6653114951959406,harris_2024,harris_2020,0,3
be,-0.6653114951959406,harris_2024,harris_2020,0,3
pay,-0.6441081422703894,harris_2024,harris_2020,7,28
reform,-0.6054018558712818,harris_2024,harris_2020,1,6
prioritize,-0.6054018558712818,harris_2024,harris_2020,1,6
stop,-0.6054018558712818,harris_2024,harris_2020,1,6
rebuild,-0.6054018558712818,harris_2024,harris_2020,1,6
eliminate,-0.5915783920375035,harris_2024,harris_2020,4,17
evolve,-0.5748390564955916,harris_2024,harris_2020,0,2
hand,-0.5748390564955916,harris_2024,harris_2020,0,2
obtain,-0.5748390564955916,harris_2024,harris_2020,0,2
neglect,-0.5748390564955916,harris_2024,harris_2020,0,2
shoot,-0.5748390564955916,harris_2024,harris_2020,0,2
move,-0.5748390564955916,harris_2024,harris_2020,0,2
shrink,-0.5748390564955916,harris_2024,harris_2020,0,2
promote,-0.5748390564955916,harris_2024,harris_2020,0,2
arrive,-0.5748390564955916,harris_2024,harris_2020,0,2
prey,-0.5748390564955916,harris_2024,harris_2020,0,2
determine,-0.5748390564955916,harris_2024,harris_2020,0,2
adopt,-0.5748390564955916,harris_2024,harris_2020,0,2
hide,-0.5748390564955916,harris_2024,harris_2020,0,2
marginalize,-0.5748390564955916,harris_2024,harris_2020,0,2
defund,-0.5748390564955916,harris_2024,harris_2020,0,2
attend,-0.5748390564955916,harris_2024,harris_2020,0,2
run,-0.5748390564955916,harris_2024,harris_2020,0,2
revoke,-0.5748390564955916,harris_2024,harris_2020,0,2
exclude,-0.5748390564955916,harris_2024,harris_2020,0,2
estimate,-0.5748390564955916,harris_2024,harris_2020,0,2
redline,-0.5748390564955916,harris_2024,harris_2020,0,2
fortify,-0.5748390564955916,harris_2024,harris_2020,0,2
remind,-0.5748390564955916,harris_2024,harris_2020,0,2
renew,-0.5748390564955916,harris_2024,harris_2020,0,2
investigate,-0.5748390564955916,harris_2024,harris_2020,0,2
enforce,-0.5748390564955916,harris_2024,harris_2020,0,2
replace,-0.5748390564955916,harris_2024,harris_2020,0,2
further,-0.5748390564955916,harris_2024,harris_2020,0,2
respect,-0.5748390564955916,harris_2024,harris_2020,0,2
emerge,-0.5748390564955916,harris_2024,harris_2020,0,2
range,-0.5748390564955916,harris_2024,harris_2020,0,2
gouge,-0.5748390564955916,harris_2024,harris_2020,0,2
graduate,-0.5748390564955916,harris_2024,harris_2020,0,2
