term,log_odds,corpus 1,corpus 2,count 1,count 2
make,-4.502218972396099,harris_2024,trump_2024,22,7
stop,-3.03725500139898,harris_2024,trump_2024,1,2
keep,-2.8759137098945615,harris_2024,trump_2024,9,3
include,-2.3072151140534563,harris_2024,trump_2024,14,3
rebuild,-2.137441657436211,harris_2024,trump_2024,1,1
turn,-2.137441657436211,harris_2024,trump_2024,1,1
push,-1.8995097932492975,harris_2024,trump_2024,2,1
restore,-1.6623465431856523,harris_2024,trump_2024,3,1
record,-1.3098793416188366,harris_2024,trump_2024,0,1
crush,-1.3098793416188366,harris_2024,trump_2024,0,1
modernize,-1.3098793416188366,harris_2024,trump_2024,0,1
campuse,-1.3098793416188366,harris_2024,trump_2024,0,1
demolish,-1.3098793416188366,harris_2024,trump_2024,0,1
carry,-1.3098793416188366,harris_2024,trump_2024,0,1
lock,-1.3098793416188366,harris_2024,trump_2024,0,1
bring,-0.5707077339137026,harris_2024,trump_2024,11,1
scamme,0.026184971655104056,harris_2024,trump_2024,1,0
scale,0.026184971655104056,harris_2024,trump_2024,1,0
rule,0.026184971655104056,harris_2024,trump_2024,1,0
freedoms,0.026184971655104056,harris_2024,trump_2024,1,0
hear,0.026184971655104056,harris_2024,trump_2024,1,0
rip,0.026184971655104056,harris_2024,trump_2024,1,0
hesitate,0.026184971655104056,harris_2024,trump_2024,1,0
return,0.026184971655104056,harris_2024,trump_2024,1,0
hoard,0.026184971655104056,harris_2024,trump_2024,1,0
fulfill,0.026184971655104056,harris_2024,trump_2024,1,0
fuel,0.026184971655104056,harris_2024,trump_2024,1,0
follow,0.026184971655104056,harris_2024,trump_2024,1,0
force,0.026184971655104056,harris_2024,trump_2024,1,0
smuggle,0.026184971655104056,harris_2024,trump_2024,1,0
endorse,0.026184971655104056,harris_2024,trump_2024,1,0
engage,0.026184971655104056,harris_2024,trump_2024,1,0
slash,0.026184971655104056,harris_2024,trump_2024,1,0
slap,0.026184971655104056,harris_2024,trump_2024,1,0
establish,0.026184971655104056,harris_2024,trump_2024,1,0
exist,0.026184971655104056,harris_2024,trump_2024,1,0
form,0.026184971655104056,harris_2024,trump_2024,1,0
shutter,0.026184971655104056,harris_2024,trump_2024,1,0
exploit,0.026184971655104056,harris_2024,trump_2024,1,0
expose,0.026184971655104056,harris_2024,trump_2024,1,0
show,0.026184971655104056,harris_2024,trump_2024,1,0
set,0.026184971655104056,harris_2024,trump_2024,1,0
fail,0.026184971655104056,harris_2024,trump_2024,1,0
separate,0.026184971655104056,harris_2024,trump_2024,1,0
send,0.026184971655104056,harris_2024,trump_2024,1,0
experience,0.026184971655104056,harris_2024,trump_2024,1,0
restrict,0.026184971655104056,harris_2024,trump_2024,1,0
enact,0.026184971655104056,harris_2024,trump_2024,1,0
report,0.026184971655104056,harris_2024,trump_2024,1,0
read,0.026184971655104056,harris_2024,trump_2024,1,0
rank,0.026184971655104056,harris_2024,trump_2024,1,0
offer,0.026184971655104056,harris_2024,trump_2024,1,0
officiate,0.026184971655104056,harris_2024,trump_2024,1,0
rally,0.026184971655104056,harris_2024,trump_2024,1,0
outlaw,0.026184971655104056,harris_2024,trump_2024,1,0
mourn,0.026184971655104056,harris_2024,trump_2024,1,0
overlook,0.026184971655104056,harris_2024,trump_2024,1,0
participate,0.026184971655104056,harris_2024,trump_2024,1,0
purge,0.026184971655104056,harris_2024,trump_2024,1,0
penalize,0.026184971655104056,harris_2024,trump_2024,1,0
plan,0.026184971655104056,harris_2024,trump_2024,1,0
play,0.026184971655104056,harris_2024,trump_2024,1,0
preschool,0.026184971655104056,harris_2024,trump_2024,1,0
quadruple,0.026184971655104056,harris_2024,trump_2024,1,0
honor,0.026184971655104056,harris_2024,trump_2024,1,0
mobilize,0.026184971655104056,harris_2024,trump_2024,1,0
realize,0.026184971655104056,harris_2024,trump_2024,1,0
import,0.026184971655104056,harris_2024,trump_2024,1,0
impose,0.026184971655104056,harris_2024,trump_2024,1,0
spearhead,0.026184971655104056,harris_2024,trump_2024,1,0
repeal,0.026184971655104056,harris_2024,trump_2024,1,0
innovate,0.026184971655104056,harris_2024,trump_2024,1,0
inspire,0.026184971655104056,harris_2024,trump_2024,1,0
miscarry,0.026184971655104056,harris_2024,trump_2024,1,0
invade,0.026184971655104056,harris_2024,trump_2024,1,0
jeopardize,0.026184971655104056,harris_2024,trump_2024,1,0
release,0.026184971655104056,harris_2024,trump_2024,1,0
register,0.026184971655104056,harris_2024,trump_2024,1,0
reform,0.026184971655104056,harris_2024,trump_2024,1,0
lifesave,0.026184971655104056,harris_2024,trump_2024,1,0
receive,0.026184971655104056,harris_2024,trump_2024,1,0
rely,0.026184971655104056,harris_2024,trump_2024,1,0
prioritize,0.026184971655104056,harris_2024,trump_2024,1,0
promise,0.026184971655104056,harris_2024,trump_2024,1,0
clean,0.026184971655104056,harris_2024,trump_2024,1,0
confront,0.026184971655104056,harris_2024,trump_2024,1,0
comply,0.026184971655104056,harris_2024,trump_2024,1,0
compete,0.026184971655104056,harris_2024,trump_2024,1,0
treat,0.026184971655104056,harris_2024,trump_2024,1,0
combat,0.026184971655104056,harris_2024,trump_2024,1,0
trigger,0.026184971655104056,harris_2024,trump_2024,1,0
enable,0.026184971655104056,harris_2024,trump_2024,1,0
triple,0.026184971655104056,harris_2024,trump_2024,1,0
chart,0.026184971655104056,harris_2024,trump_2024,1,0
champion,0.026184971655104056,harris_2024,trump_2024,1,0
advise,0.026184971655104056,harris_2024,trump_2024,1,0
cave,0.026184971655104056,harris_2024,trump_2024,1,0
affirm,0.026184971655104056,harris_2024,trump_2024,1,0
trump,0.026184971655104056,harris_2024,trump_2024,1,0
connect,0.026184971655104056,harris_2024,trump_2024,1,0
trust,0.026184971655104056,harris_2024,trump_2024,1,0
