term,log_odds,corpus 1,corpus 2,count 1,count 2
call,-2.251304299628145,republican_2024,republican_2016,2,55
continue,-2.023570414503898,republican_2024,republican_2016,1,42
advance,-1.9725824672903394,republican_2024,republican_2016,1,40
oppose,-1.892297366123674,republican_2024,republican_2016,2,43
encourage,-1.8029635299311513,republican_2024,republican_2016,1,34
base,-1.6103449854197027,republican_2024,republican_2016,3,43
create,-1.5690573168618274,republican_2024,republican_2016,3,42
seek,-1.4408002203073755,republican_2024,republican_2016,1,24
believe,-1.3718000438267688,republican_2024,republican_2016,2,30
take,-1.3718000438267688,republican_2024,republican_2016,2,30
give,-1.328485977798171,republican_2024,republican_2016,5,51
improve,-1.2522080500528234,republican_2024,republican_2016,1,20
have,-1.1832815594495547,republican_2024,republican_2016,8,68
reject,-1.143636451575368,republican_2024,republican_2016,1,18
urge,-1.1219971023225588,republican_2024,republican_2016,0,41
impose,-1.1110398645867698,republican_2024,republican_2016,2,25
provide,-1.104830603486731,republican_2024,republican_2016,0,38
pay,-1.0848856741687471,republican_2024,republican_2016,1,17
require,-1.0409926269899885,republican_2024,republican_2016,3,31
spend,-1.0227006226106035,republican_2024,republican_2016,1,16
affirm,-1.0104065134613365,republican_2024,republican_2016,0,25
recognize,-1.0012133865451511,republican_2024,republican_2016,0,24
propose,-0.9711549096003997,republican_2024,republican_2016,0,21
limit,-0.9601766111996324,republican_2024,republican_2016,0,20
establish,-0.9566600889642459,republican_2024,republican_2016,1,15
control,-0.9486375417889421,republican_2024,republican_2016,0,19
face,-0.9364770572654549,republican_2024,republican_2016,0,18
serve,-0.9364770572654549,republican_2024,republican_2016,0,18
need,-0.9355363046994999,republican_2024,republican_2016,4,36
enact,-0.8954887832935529,republican_2024,republican_2016,0,15
undermine,-0.8954887832935529,republican_2024,republican_2016,0,15
come,-0.8862613261045365,republican_2024,republican_2016,1,14
intend,-0.8799852398332081,republican_2024,republican_2016,0,14
deal,-0.8799852398332081,republican_2024,republican_2016,0,14
understand,-0.8799852398332081,republican_2024,republican_2016,0,14
force,-0.8799852398332081,republican_2024,republican_2016,0,14
concern,-0.8633363133208359,republican_2024,republican_2016,0,13
applaud,-0.8633363133208359,republican_2024,republican_2016,0,13
leave,-0.8453587102579017,republican_2024,republican_2016,0,12
pledge,-0.8453587102579017,republican_2024,republican_2016,0,12
manage,-0.8453587102579017,republican_2024,republican_2016,0,12
consider,-0.8453587102579017,republican_2024,republican_2016,0,12
bear,-0.8453587102579017,republican_2024,republican_2016,0,12
fight,-0.8453587102579017,republican_2024,republican_2016,0,12
vote,-0.825821322648451,republican_2024,republican_2016,0,11
meet,-0.8108977942143698,republican_2024,republican_2016,1,13
enforce,-0.8108977942143698,republican_2024,republican_2016,1,13
change,-0.8044270128368133,republican_2024,republican_2016,0,10
assist,-0.8044270128368133,republican_2024,republican_2016,0,10
enable,-0.8044270128368133,republican_2024,republican_2016,0,10
endanger,-0.7807848089932443,republican_2024,republican_2016,0,9
endorse,-0.7807848089932443,republican_2024,republican_2016,0,9
foster,-0.7807848089932443,republican_2024,republican_2016,0,9
demand,-0.7807848089932443,republican_2024,republican_2016,0,9
accept,-0.7807848089932443,republican_2024,republican_2016,0,9
prohibit,-0.7543657371552797,republican_2024,republican_2016,0,8
reaffirm,-0.7543657371552797,republican_2024,republican_2016,0,8
earn,-0.7543657371552797,republican_2024,republican_2016,0,8
benefit,-0.7543657371552797,republican_2024,republican_2016,0,8
share,-0.7543657371552797,republican_2024,republican_2016,0,8
practice,-0.7543657371552797,republican_2024,republican_2016,0,8
regulate,-0.7543657371552797,republican_2024,republican_2016,0,8
place,-0.7543657371552797,republican_2024,republican_2016,0,8
kill,-0.7543657371552797,republican_2024,republican_2016,0,8
set,-0.7298288486551477,republican_2024,republican_2016,1,12
mean,-0.7298288486551477,republican_2024,republican_2016,1,12
know,-0.7298288486551477,republican_2024,republican_2016,1,12
suffer,-0.72442918297278,republican_2024,republican_2016,0,7
tolerate,-0.72442918297278,republican_2024,republican_2016,0,7
seize,-0.72442918297278,republican_2024,republican_2016,0,7
result,-0.72442918297278,republican_2024,republican_2016,0,7
retain,-0.72442918297278,republican_2024,republican_2016,0,7
expedite,-0.72442918297278,republican_2024,republican_2016,0,7
write,-0.72442918297278,republican_2024,republican_2016,0,7
try,-0.72442918297278,republican_2024,republican_2016,0,7
regard,-0.72442918297278,republican_2024,republican_2016,0,7
replace,-0.72442918297278,republican_2024,republican_2016,0,7
agree,-0.72442918297278,republican_2024,republican_2016,0,7
operate,-0.72442918297278,republican_2024,republican_2016,0,7
approve,-0.72442918297278,republican_2024,republican_2016,0,7
permit,-0.72442918297278,republican_2024,republican_2016,0,7
guard,-0.6898925256748648,republican_2024,republican_2016,0,6
declare,-0.6898925256748648,republican_2024,republican_2016,0,6
age,-0.6898925256748648,republican_2024,republican_2016,0,6
participate,-0.6898925256748648,republican_2024,republican_2016,0,6
lose,-0.6898925256748648,republican_2024,republican_2016,0,6
negotiate,-0.6898925256748648,republican_2024,republican_2016,0,6
combat,-0.6898925256748648,republican_2024,republican_2016,0,6
produce,-0.6898925256748648,republican_2024,republican_2016,0,6
depend,-0.6898925256748648,republican_2024,republican_2016,0,6
challenge,-0.6898925256748648,republican_2024,republican_2016,0,6
design,-0.6898925256748648,republican_2024,republican_2016,0,6
avoid,-0.6898925256748648,republican_2024,republican_2016,0,6
salute,-0.6898925256748648,republican_2024,republican_2016,0,6
expect,-0.6898925256748648,republican_2024,republican_2016,0,6
embrace,-0.6898925256748648,republican_2024,republican_2016,0,6
form,-0.6898925256748648,republican_2024,republican_2016,0,6
assert,-0.6898925256748648,republican_2024,republican_2016,0,6
do,-0.6658470645362293,republican_2024,republican_2016,6,44
reach,-0.6490819566176839,republican_2024,republican_2016,0,5
succeed,-0.6490819566176839,republican_2024,republican_2016,0,5
refuse,-0.6490819566176839,republican_2024,republican_2016,0,5
reform,-0.6490819566176839,republican_2024,republican_2016,0,5
compete,-0.6490819566176839,republican_2024,republican_2016,0,5
invite,-0.6490819566176839,republican_2024,republican_2016,0,5
insist,-0.6490819566176839,republican_2024,republican_2016,0,5
ignore,-0.6490819566176839,republican_2024,republican_2016,0,5
divide,-0.6490819566176839,republican_2024,republican_2016,0,5
decide,-0.6490819566176839,republican_2024,republican_2016,0,5
fall,-0.6490819566176839,republican_2024,republican_2016,0,5
decline,-0.6490819566176839,republican_2024,republican_2016,0,5
defy,-0.6490819566176839,republican_2024,republican_2016,0,5
favor,-0.6490819566176839,republican_2024,republican_2016,0,5
govern,-0.6490819566176839,republican_2024,republican_2016,0,5
extend,-0.6490819566176839,republican_2024,republican_2016,0,5
relate,-0.6490819566176839,republican_2024,republican_2016,0,5
abandon,-0.6490819566176839,republican_2024,republican_2016,0,5
transform,-0.6490819566176839,republican_2024,republican_2016,0,5
assure,-0.6490819566176839,republican_2024,republican_2016,0,5
affect,-0.6490819566176839,republican_2024,republican_2016,0,5
bar,-0.6490819566176839,republican_2024,republican_2016,0,5
apply,-0.6490819566176839,republican_2024,republican_2016,0,5
usurp,-0.6490819566176839,republican_2024,republican_2016,0,5
thank,-0.6490819566176839,republican_2024,republican_2016,0,5
ask,-0.6490819566176839,republican_2024,republican_2016,0,5
develop,-0.6482517474302797,republican_2024,republican_2016,2,18
