term,log_odds,corpus 1,corpus 2,count 1,count 2
have,-0.6555711203133241,trump_2024,trump_2016,0,21
increase,-0.6327708347151675,trump_2024,trump_2016,0,19
reduce,-0.6327708347151675,trump_2024,trump_2016,0,19
create,-0.6327708347151675,trump_2024,trump_2016,0,19
ensure,-0.620472465924744,trump_2024,trump_2016,0,18
support,-0.6074845369561668,trump_2024,trump_2016,0,17
take,-0.5790900659254913,trump_2024,trump_2016,0,15
need,-0.5790900659254913,trump_2024,trump_2016,0,15
pay,-0.5634638306146518,trump_2024,trump_2016,0,14
provide,-0.5634638306146518,trump_2024,trump_2016,0,14
allow,-0.5466981400407681,trump_2024,trump_2016,0,13
work,-0.5286111248887203,trump_2024,trump_2016,0,12
use,-0.5286111248887203,trump_2024,trump_2016,0,12
eliminate,-0.5089736152817886,trump_2024,trump_2016,0,11
establish,-0.5089736152817886,trump_2024,trump_2016,0,11
spend,-0.4874911803596932,trump_2024,trump_2016,0,10
get,-0.4874911803596932,trump_2024,trump_2016,0,10
say,-0.4874911803596932,trump_2024,trump_2016,0,10
lose,-0.4874911803596932,trump_2024,trump_2016,0,10
grow,-0.46377674669799585,trump_2024,trump_2016,0,9
put,-0.46377674669799585,trump_2024,trump_2016,0,9
expand,-0.46377674669799585,trump_2024,trump_2016,0,9
protect,-0.46377674669799585,trump_2024,trump_2016,0,9
cut,-0.43730716705566874,trump_2024,trump_2016,0,8
find,-0.40735094250298215,trump_2024,trump_2016,0,7
go,-0.40735094250298215,trump_2024,trump_2016,0,7
add,-0.40735094250298215,trump_2024,trump_2016,0,7
continue,-0.40735094250298215,trump_2024,trump_2016,0,7
do,-0.37284055762843527,trump_2024,trump_2016,0,6
call,-0.37284055762843527,trump_2024,trump_2016,0,6
cost,-0.37284055762843527,trump_2024,trump_2016,0,6
give,-0.37284055762843527,trump_2024,trump_2016,0,6
destroy,-0.37284055762843527,trump_2024,trump_2016,0,6
send,-0.37284055762843527,trump_2024,trump_2016,0,6
defend,-0.37284055762843527,trump_2024,trump_2016,0,6
accord,-0.37284055762843527,trump_2024,trump_2016,0,6
base,-0.37284055762843527,trump_2024,trump_2016,0,6
leave,-0.33212918615517123,trump_2024,trump_2016,0,5
reform,-0.33212918615517123,trump_2024,trump_2016,0,5
show,-0.33212918615517123,trump_2024,trump_2016,0,5
improve,-0.33212918615517123,trump_2024,trump_2016,0,5
identify,-0.33212918615517123,trump_2024,trump_2016,0,5
live,-0.33212918615517123,trump_2024,trump_2016,0,5
help,-0.33212918615517123,trump_2024,trump_2016,0,5
earn,-0.33212918615517123,trump_2024,trump_2016,0,5
appoint,-0.33212918615517123,trump_2024,trump_2016,0,5
meet,-0.33212918615517123,trump_2024,trump_2016,0,5
end,-0.33212918615517123,trump_2024,trump_2016,0,5
run,-0.2824779138369772,trump_2024,trump_2016,0,4
mean,-0.2824779138369772,trump_2024,trump_2016,0,4
block,-0.2824779138369772,trump_2024,trump_2016,0,4
contrast,-0.2824779138369772,trump_2024,trump_2016,0,4
seek,-0.2824779138369772,trump_2024,trump_2016,0,4
serve,-0.2824779138369772,trump_2024,trump_2016,0,4
