term,log_odds,corpus 1,corpus 2,count 1,count 2
middle,-14.587151690470504,trump,harris,37,165
former,-12.418470207967008,trump,harris,19,127
small,-12.265685888545242,trump,harris,102,154
american,-12.064751812280493,trump,harris,381,302
clear,-10.779289275939762,trump,harris,7,142
national,-10.5456987940223,trump,harris,17,88
new,-9.278588247504365,trump,harris,165,149
high,-8.913946031115328,trump,harris,153,138
public,-8.731466629492889,trump,harris,11,61
hard,-8.415528880479012,trump,harris,80,92
own,-8.372782254564802,trump,harris,39,67
economic,-7.784554941967022,trump,harris,18,49
extraordinary,-7.760027321694389,trump,harris,8,49
affordable,-7.561661019316943,trump,harris,24,50
ready,-6.979270559178719,trump,harris,81,78
first,-6.772945269028225,trump,harris,237,152
private,-6.548226525581934,trump,harris,11,34
common,-6.458778135200535,trump,harris,66,65
red,-6.423616920228554,trump,harris,27,42
full,-6.237199579107174,trump,harris,36,46
fundamental,-6.058621640539846,trump,harris,2,49
sexual,-5.762903499118763,trump,harris,6,26
human,-5.529490246487871,trump,harris,28,36
bipartisan,-5.502609293190974,trump,harris,3,27
corporate,-5.488817069268102,trump,harris,8,24
medical,-5.274117107504044,trump,harris,3,24
universal,-5.182130217913216,trump,harris,5,21
historic,-5.182130217913216,trump,harris,5,21
personal,-5.145035134861882,trump,harris,19,28
extreme,-5.10485655906663,trump,harris,3,22
tired,-5.0320503081850925,trump,harris,12,23
clean,-5.029977698530616,trump,harris,54,47
dear,-5.016117655990578,trump,harris,2,25
able,-4.892558377753475,trump,harris,158,95
possible,-4.780851043954985,trump,harris,46,41
everyday,-4.755298890230189,trump,harris,1,37
sacred,-4.713313865868781,trump,harris,3,18
vast,-4.683169475777242,trump,harris,7,18
important,-4.668471041070276,trump,harris,203,112
tight,-4.662288946577487,trump,harris,4,17
democratic,-4.597809532542532,trump,harris,6,17
immune,-4.498218634778885,trump,harris,2,18
black,-4.497473513926716,trump,harris,76,54
next,-4.404530178581288,trump,harris,86,58
particular,-4.400685628518799,trump,harris,53,42
serious,-4.3881087986695055,trump,harris,34,32
young,-4.3878894267274955,trump,harris,126,76
transnational,-4.3297335076712375,trump,harris,1,25
basic,-4.297983544078136,trump,harris,14,20
