term,log_odds,corpus 1,corpus 2,count 1,count 2
who,-24.91064915528901,trump,harris,747,899
donald,-22.974908105542223,trump,harris,70,467
trump,-22.878270182606897,trump,harris,331,566
for,-22.596330164405078,trump,harris,2303,1667
is,-21.690901130925685,trump,harris,3044,1990
work,-20.932455068757836,trump,harris,193,419
president,-20.658720243864895,trump,harris,636,694
of,-18.540958134309523,trump,harris,6850,3515
fight,-17.605046617231466,trump,harris,104,277
states,-17.212992221659626,trump,harris,405,460
united,-16.79839562406435,trump,harris,337,408
plan,-16.731030037642668,trump,harris,61,237
as,-16.440911679605954,trump,harris,920,730
freedom,-15.693444245713444,trump,harris,25,238
americans,-15.256191742866783,trump,harris,90,215
america,-15.12664969439719,trump,harris,561,500
has,-14.946875034591123,trump,harris,651,545
the,-14.932645132265447,trump,harris,13577,5974
my,-14.733026241370785,trump,harris,573,497
about,-14.582955125549088,trump,harris,1235,834
future,-14.496428441817619,trump,harris,46,178
class,-14.081746735034333,trump,harris,48,169
on,-14.031204242578047,trump,harris,1673,1025
economy,-13.560394508698078,trump,harris,116,199
need,-13.37344763187098,trump,harris,222,264
opportunity,-13.337917625528787,trump,harris,24,157
and,-13.067647360079116,trump,harris,12251,5308
his,-13.028721238377942,trump,harris,335,325
leaders,-12.951174584223343,trump,harris,36,142
middle,-12.502760601325091,trump,harris,121,184
small,-12.146292754575956,trump,harris,86,155
former,-12.047948552293205,trump,harris,19,129
american,-11.88270332088231,trump,harris,412,345
understand,-11.731171838795996,trump,harris,105,161
what,-11.694073238823519,trump,harris,1821,1012
families,-11.637148319154049,trump,harris,77,141
including,-11.421881843721756,trump,harris,120,166
forward,-11.363349451798165,trump,harris,31,110
affordable,-11.343561093252164,trump,harris,24,109
act,-11.319020749988342,trump,harris,38,112
security,-11.27277680688703,trump,harris,122,165
vice,-11.265895771882288,trump,harris,84,140
each,-11.258264208671193,trump,harris,17,112
nation,-11.138071993980654,trump,harris,165,190
point,-11.03845497321803,trump,harris,51,115
believe,-10.944953275407418,trump,harris,350,293
attorney,-10.942544931201283,trump,harris,40,107
cost,-10.879887801850394,trump,harris,82,133
home,-10.853704821445595,trump,harris,69,124
clear,-10.804757517137944,trump,harris,8,142
together,-10.62561572092608,trump,harris,131,161
to,-10.615033801420289,trump,harris,10789,4558
businesses,-10.585256238572226,trump,harris,52,109
let,-10.495831430129144,trump,harris,592,409
general,-10.452479728348848,trump,harris,67,117
terms,-10.399498299818283,trump,harris,33,95
