term,log_odds,corpus 1,corpus 2,count 1,count 2
donald,-22.51856578305546,trump,harris,70,467
trump,-22.032778564447433,trump,harris,331,566
donald trump,-21.720064441701645,trump,harris,51,467
work,-20.251943208719652,trump,harris,193,419
president,-19.59402444900082,trump,harris,636,694
fight,-17.083275250816424,trump,harris,104,277
united states,-16.382129253427344,trump,harris,315,403
states,-16.339507824753863,trump,harris,405,460
plan,-16.311831559668963,trump,harris,61,237
united,-15.987252460888874,trump,harris,337,408
freedom,-15.407559124078778,trump,harris,25,238
americans,-14.774877026833362,trump,harris,90,215
america,-14.156249317530845,trump,harris,561,500
future,-14.13011849581467,trump,harris,46,178
class,-13.710868582997083,trump,harris,48,169
middle class,-13.49403565878988,trump,harris,28,165
american people,-13.474754793333583,trump,harris,20,179
opportunity,-13.060933032675539,trump,harris,24,157
economy,-13.041442702796896,trump,harris,116,199
need,-12.709663081264516,trump,harris,222,264
leaders,-12.625163389688511,trump,harris,36,142
middle,-11.983741774497647,trump,harris,121,184
small,-11.693635348966536,trump,harris,86,155
vice president,-11.276392501874117,trump,harris,74,140
understand,-11.245888394361847,trump,harris,105,161
president united,-11.229951420224173,trump,harris,62,131
families,-11.207062160141998,trump,harris,77,141
affordable,-11.07274733720448,trump,harris,24,109
forward,-11.063055767672898,trump,harris,31,110
american,-11.055025380164938,trump,harris,412,345
act,-10.993769973113004,trump,harris,38,112
including,-10.913801556504081,trump,harris,120,166
vice,-10.824121229087782,trump,harris,84,140
security,-10.762804935844017,trump,harris,122,165
point,-10.6754632084083,trump,harris,51,115
clear,-10.637175619546674,trump,harris,8,142
attorney,-10.612843802389671,trump,harris,40,107
nation,-10.566419450893166,trump,harris,165,190
home,-10.447231445810296,trump,harris,69,124
cost,-10.445310841188526,trump,harris,82,133
businesses,-10.222634052889312,trump,harris,52,109
small businesses,-10.185137309132164,trump,harris,15,95
believe,-10.179553691208115,trump,harris,350,293
terms,-10.09673267783313,trump,harris,33,95
general,-10.053703135236962,trump,harris,67,117
attorney general,-10.029310277018341,trump,harris,27,91
national,-9.802729561160714,trump,harris,46,99
healthcare,-9.778380872228075,trump,harris,19,85
care,-9.591906828794523,trump,harris,154,168
working,-9.562653361015398,trump,harris,114,142
let,-9.555563855710478,trump,harris,592,409
campaign,-9.462929168713554,trump,harris,41,91
tim,-9.448273340167772,trump,harris,32,85
child,-9.408021472061153,trump,harris,58,102
walz,-9.300577464507246,trump,harris,7,99
congress,-9.230286831051503,trump,harris,57,99
abortion,-9.185458016740846,trump,harris,17,75
housing,-9.17314017736759,trump,harris,19,75
issue,-9.069110162692944,trump,harris,21,74
promise,-8.979444379118133,trump,harris,37,82
power,-8.841058532199394,trump,harris,67,101
court,-8.668745207631224,trump,harris,26,71
elected,-8.618076811474227,trump,harris,55,90
leader,-8.471457606706407,trump,harris,46,82
page,-8.40805430336258,trump,harris,10,65
based,-8.384968449884719,trump,harris,30,70
rights,-8.199379535601087,trump,harris,12,60
law,-8.187397477328837,trump,harris,126,131
public,-8.187083101151298,trump,harris,29,67
continue,-8.058171999140749,trump,harris,18,59
dignity,-7.978232412742945,trump,harris,20,59
strength,-7.970060946972405,trump,harris,37,70
help,-7.953625828685465,trump,harris,105,115
ability,-7.916934741802171,trump,harris,11,56
body,-7.89594823940013,trump,harris,7,61
love country,-7.759717432961509,trump,harris,36,67
laws,-7.721713184522636,trump,harris,12,53
career,-7.714690995841914,trump,harris,25,59
states america,-7.613955944397229,trump,harris,44,71
support,-7.59173154735219,trump,harris,68,87
children,-7.518483468651922,trump,harris,99,106
small business,-7.51193198163845,trump,harris,15,51
kind,-7.483351249760854,trump,harris,46,71
coach,-7.428457466315452,trump,harris,7,52
needs,-7.427557992864843,trump,harris,15,50
ban,-7.382450356523918,trump,harris,49,72
plans,-7.340907834228879,trump,harris,12,48
extraordinary,-7.334418254249931,trump,harris,8,49
hard,-7.3270276041028595,trump,harris,155,137
strengthen,-7.140406875329714,trump,harris,19,49
constitution,-7.0915959476324515,trump,harris,0,58
hard work,-7.08963551161608,trump,harris,0,72
medicare,-7.06224385453159,trump,harris,45,66
community,-7.051442131621638,trump,harris,35,59
labor,-7.028505563797112,trump,harris,11,44
