term,log_odds,corpus 1,corpus 2,count 1,count 2
donald,-21.333142106748557,trump,harris,70,467
trump,-19.905347427423578,trump,harris,328,566
work,-16.617569783370133,trump,harris,27,327
president,-16.590649638362624,trump,harris,664,706
plan,-16.221451315095884,trump,harris,72,270
freedom,-15.814821343222354,trump,harris,27,284
leader,-14.201898489562435,trump,harris,82,224
united,-14.10165320291298,trump,harris,328,407
states,-13.935969772395124,trump,harris,328,403
americans,-13.564562140833536,trump,harris,89,215
future,-13.181883200823565,trump,harris,40,176
class,-12.727079326974959,trump,harris,49,169
opportunity,-12.726743965517917,trump,harris,28,165
economy,-11.859733650512215,trump,harris,116,202
america,-11.628280061907631,trump,harris,561,500
issue,-11.129580181415756,trump,harris,22,126
home,-11.04162801191491,trump,harris,62,145
child,-10.478855849580498,trump,harris,157,208
fight,-9.976252830759957,trump,harris,35,107
law,-9.890149579049956,trump,harris,138,184
vice,-9.68191916797681,trump,harris,84,140
attorney,-9.666523994449385,trump,harris,42,107
care,-9.495341164609119,trump,harris,89,141
act,-9.436432651123807,trump,harris,44,105
security,-9.397068365930615,trump,harris,123,165
term,-9.186779068450205,trump,harris,82,131
healthcare,-9.155113367883624,trump,harris,19,85
campaign,-9.00058498740235,trump,harris,34,91
walz,-8.896142215329329,trump,harris,7,99
decision,-8.715848434294324,trump,harris,24,80
promise,-8.688132597297383,trump,harris,23,79
tim,-8.685512574636224,trump,harris,32,85
right,-8.675032302344242,trump,harris,63,109
ban,-8.630846000002462,trump,harris,26,80
abortion,-8.579413510360006,trump,harris,18,75
housing,-8.5566752001659,trump,harris,19,75
court,-8.535544740378324,trump,harris,28,80
cost,-8.492452630310396,trump,harris,120,149
congress,-8.279254144315793,trump,harris,57,99
page,-8.249461146307356,trump,harris,13,69
nation,-8.191251168292354,trump,harris,191,193
power,-7.993055943664885,trump,harris,67,103
point,-7.818590233818916,trump,harris,82,112
rule,-7.733070499383872,trump,harris,22,65
generation,-7.700564299475358,trump,harris,8,63
business,-7.621640177962126,trump,harris,232,210
body,-7.600184597444618,trump,harris,8,61
kind,-7.564988711074642,trump,harris,48,83
family,-7.518148292373301,trump,harris,246,217
community,-7.43720690505201,trump,harris,67,96
ability,-7.421469273148817,trump,harris,13,56
dignity,-7.365282305521788,trump,harris,20,59
strength,-7.3646966583790485,trump,harris,37,72
general,-7.324750087820137,trump,harris,88,110
voice,-7.310871425473169,trump,harris,18,57
value,-7.284525450649527,trump,harris,28,64
career,-7.225366570279094,trump,harris,25,61
folk,-7.210554317849513,trump,harris,3,89
student,-7.185236764366378,trump,harris,32,66
price,-7.16537033080145,trump,harris,127,135
coach,-7.0891268675900365,trump,harris,7,53
constitution,-6.783556334734806,trump,harris,4,58
owner,-6.73669946809635,trump,harris,10,46
labor,-6.5570811675813685,trump,harris,11,44
background,-6.538279820950326,trump,harris,6,45
role,-6.510343243397349,trump,harris,8,43
insurance,-6.4776636615205,trump,harris,6,44
violence,-6.473673365762582,trump,harris,11,43
prosecutor,-6.4208579440098275,trump,harris,10,42
behalf,-6.306233702318687,trump,harris,5,43
mother,-6.292263344736532,trump,harris,43,65
medicare,-6.241845661840612,trump,harris,45,66
supreme,-6.188122114767135,trump,harris,16,43
conversation,-6.152034053030748,trump,harris,6,39
roe,-6.128409972764232,trump,harris,5,40
example,-6.1176437424216275,trump,harris,31,54
project,-6.088022270368378,trump,harris,16,42
leadership,-6.08306231456243,trump,harris,34,56
resource,-6.001999381641285,trump,harris,13,39
wade,-5.957200256161921,trump,harris,8,36
afternoon,-5.936471360221243,trump,harris,5,37
past,-5.930738228308036,trump,harris,11,37
ambition,-5.900351500148631,trump,harris,3,44
majority,-5.791135902163618,trump,harris,10,35
corporation,-5.7674291884802065,trump,harris,3,41
bill,-5.747735797870481,trump,harris,139,124
being,-5.731211191396212,trump,harris,11,35
