term,log_odds,corpus 1,corpus 2,count 1,count 2
understand,-15.748215975427991,trump,harris,134,230
fight,-15.415510919710787,trump,harris,136,225
need,-15.183907749887133,trump,harris,247,286
include,-14.238195358816785,trump,harris,166,222
believe,-12.970877319540977,trump,harris,372,312
work,-12.51434429411674,trump,harris,407,321
let,-11.913503537852085,trump,harris,614,407
elect,-10.266813771794139,trump,harris,60,100
focus,-10.043882815695929,trump,harris,14,80
help,-9.992671409364304,trump,harris,101,121
pass,-9.802239039622217,trump,harris,66,98
strengthen,-9.752044639971206,trump,harris,19,73
continue,-9.498054164362038,trump,harris,25,71
support,-9.477121741980078,trump,harris,59,90
stand,-9.298097708766594,trump,harris,211,171
base,-9.220744911565596,trump,harris,30,70
grow,-9.087405778255583,trump,harris,31,69
intend,-8.871509304390925,trump,harris,4,112
serve,-8.191081169687324,trump,harris,19,53
hold,-8.15332002309466,trump,harris,61,77
deny,-8.056433538090365,trump,harris,20,52
lift,-7.85048612078614,trump,harris,24,52
live,-7.5924338013020405,trump,harris,85,85
increase,-7.5263218774113705,trump,harris,14,44
provide,-7.4693196675058555,trump,harris,8,44
ensure,-7.3034439770919315,trump,harris,5,48
deal,-7.225369849055402,trump,harris,37,54
create,-7.22316017869115,trump,harris,68,72
address,-7.163194332908096,trump,harris,4,51
invest,-7.0867985742476725,trump,harris,2,95
face,-7.027996205393867,trump,harris,9,38
invite,-7.025667379594108,trump,harris,7,39
lower,-7.024319792861591,trump,harris,14,39
afford,-6.946478547566418,trump,harris,36,51
bless,-6.881985010034458,trump,harris,54,61
meet,-6.590866402970235,trump,harris,96,81
share,-6.551821287182365,trump,harris,9,33
be,-6.543968634725948,trump,harris,217,138
tell,-6.509873541396313,trump,harris,576,287
recognize,-6.469420622170103,trump,harris,6,33
defend,-6.413306570863196,trump,harris,54,57
travel,-6.341407168252082,trump,harris,9,31
achieve,-6.335666576009697,trump,harris,12,32
talk,-6.277819996322199,trump,harris,473,242
prosecute,-6.226849825670668,trump,harris,19,35
offer,-6.200220540718063,trump,harris,21,36
move,-6.188605465814355,trump,harris,78,68
pledge,-6.151692074586595,trump,harris,13,31
require,-6.112451113474725,trump,harris,6,29
answer,-6.090676900439374,trump,harris,24,37
carry,-6.065661404987919,trump,harris,21,35
earn,-5.906692120358917,trump,harris,4,29
expand,-5.827854045304256,trump,harris,4,28
negotiate,-5.757440989643023,trump,harris,28,37
know,-5.746531346441761,trump,harris,1874,746
care,-5.669143930630568,trump,harris,77,63
relate,-5.661149011727666,trump,harris,4,26
engage,-5.608469066213102,trump,harris,3,28
deserve,-5.487019652020563,trump,harris,40,42
uphold,-5.465073587246708,trump,harris,3,26
suggest,-5.455875483911134,trump,harris,5,23
cap,-5.4306121595695975,trump,harris,2,32
try,-5.4249488669078785,trump,harris,156,98
raise,-5.3749883773303475,trump,harris,109,76
choose,-5.34618658876177,trump,harris,9,23
respond,-5.222939697915464,trump,harris,2,28
build,-5.198492914298864,trump,harris,369,184
remind,-5.069395015357786,trump,harris,4,20
sign,-4.981724506585743,trump,harris,93,65
inspire,-4.954879954513491,trump,harris,3,20
buy,-4.93127977366047,trump,harris,120,77
extend,-4.84516281564085,trump,harris,2,22
experience,-4.733311208028618,trump,harris,7,18
listen,-4.721904096763282,trump,harris,64,49
witness,-4.695366127629318,trump,harris,5,17
point,-4.567393986559198,trump,harris,7,17
benefit,-4.513333986060526,trump,harris,11,19
attend,-4.480736101908924,trump,harris,6,16
teach,-4.436474168772498,trump,harris,15,21
quote,-4.420647040952649,trump,harris,4,15
apply,-4.392430402951418,trump,harris,3,15
abandon,-4.362050810649261,trump,harris,14,20
rely,-4.32682124172253,trump,harris,11,18
trust,-4.306787504274023,trump,harris,6,15
receive,-4.2481975131553895,trump,harris,15,20
own,-4.233485889834484,trump,harris,33,30
plan,-4.207503774391203,trump,harris,7,15
ban,-4.153221490115088,trump,harris,32,29
start,-4.13570856869869,trump,harris,265,129
remember,-4.110483853421732,trump,harris,276,133
divide,-4.107066935710664,trump,harris,1,20
agree,-4.056089258171738,trump,harris,70,47
ground,-4.010215390285216,trump,harris,2,13
feel,-3.9596704957843203,trump,harris,65,44
seek,-3.92106030578953,trump,harris,4,12
abuse,-3.8883083862867944,trump,harris,8,14
attempt,-3.882221893646567,trump,harris,2,12
forgive,-3.882221893646567,trump,harris,2,12
preserve,-3.882221893646567,trump,harris,2,12
affect,-3.87961722820947,trump,harris,20,21
undo,-3.860722248594369,trump,harris,1,16
overturn,-3.8321970813110533,trump,harris,5,12
eliminate,-3.8321970813110533,trump,harris,5,12
describe,-3.80298937320414,trump,harris,7,13
define,-3.7577705243818884,trump,harris,9,14
impact,-3.742939367874749,trump,harris,2,11
fix,-3.733414664490408,trump,harris,91,54
unite,-3.727941649413417,trump,harris,4,11
rent,-3.712310058002817,trump,harris,1,14
review,-3.712310058002817,trump,harris,1,14
organize,-3.712310058002817,trump,harris,1,14
register,-3.670288819392785,trump,harris,8,13
maintain,-3.6296214745226383,trump,harris,1,13
unlock,-3.601046754432741,trump,harris,3,10
debate,-3.590289531462007,trump,harris,2,10
exist,-3.585964623353259,trump,harris,19,19
design,-3.5805763965549704,trump,harris,7,12
prefer,-3.540056595488506,trump,harris,1,12
hand,-3.5317994748060317,trump,harris,9,13
refuse,-3.5282564481000906,trump,harris,35,27
act,-3.4424012961132133,trump,harris,1,11
turn,-3.4324179642744594,trump,harris,155,78
energize,-3.4215822885219853,trump,harris,2,9
reelect,-3.397223929467266,trump,harris,3,9
determine,-3.397223929467266,trump,harris,3,9
learn,-3.337236681509593,trump,harris,31,24
weaken,-3.3350954670528212,trump,harris,1,10
fracke,-3.3200101265489343,trump,harris,48,32
retire,-3.2879850134537025,trump,harris,4,9
dare,-3.2879850134537025,trump,harris,4,9
find,-3.2631030426047882,trump,harris,119,62
stem,-3.233255884712562,trump,harris,2,8
present,-3.233255884712562,trump,harris,2,8
tap,-3.233255884712562,trump,harris,2,8
invent,-3.2160899226914195,trump,harris,1,9
manipulate,-3.2160899226914195,trump,harris,1,9
participate,-3.2160899226914195,trump,harris,1,9
implement,-3.171028831132198,trump,harris,3,8
drink,-3.171028831132198,trump,harris,3,8
warn,-3.0826218382303314,trump,harris,1,8
slaughter,-3.0826218382303314,trump,harris,1,8
applaud,-3.0826218382303314,trump,harris,1,8
connect,-3.0826218382303314,trump,harris,1,8
diminish,-3.0826218382303314,trump,harris,1,8
jack,-3.0826218382303314,trump,harris,1,8
enforce,-3.0826218382303314,trump,harris,1,8
encourage,-3.0343201559211215,trump,harris,4,8
violate,-3.0204658206096204,trump,harris,2,7
represent,-2.9318504949899356,trump,harris,17,15
traffic,-2.9250156637481983,trump,harris,8,10
handle,-2.923083353174286,trump,harris,19,16
roll,-2.917365752230402,trump,harris,3,7
file,-2.8676275058150518,trump,harris,5,8
challenge,-2.8676275058150518,trump,harris,5,8
spew,-2.7764051485448666,trump,harris,2,6
outlaw,-2.7764051485448666,trump,harris,2,6
repeat,-2.763544650182168,trump,harris,9,10
tank,-2.7552012720475934,trump,harris,1,6
aspire,-2.7552012720475934,trump,harris,1,6
shine,-2.7552012720475934,trump,harris,1,6
defy,-2.7552012720475934,trump,harris,1,6
